paper_id,issue_type,what_to_check,suggested_search_terms,candidate_locators
O_ISAC_001,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_002,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_003,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_008,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_009,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_011,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_012,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_016,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_019,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_020,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_021,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_022,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_029,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_032,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_035,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_036,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_047,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_050,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_051,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_055,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_056,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_057,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_058,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_060,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_061,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_062,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_063,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_065,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_067,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_068,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_070,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_076,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_077,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_081,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_086,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_088,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_090,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_091,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_093,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_095,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_096,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_097,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_100,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_102,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_107,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_109,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_113,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_114,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_115,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_117,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_118,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_120,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_121,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_122,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_124,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_125,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_127,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_129,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_132,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_133,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_135,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_136,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_138,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
