claim_id,claim_key,section,paper_id,concept,strength,quote,line_start,line_end,heading_path,claim_supported
081fd72c1f07,2A|O_ISAC_001|observation_plane,2A,O_ISAC_001,observation_plane,INDIRECT,"In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced robustness against system nonlinearities. CE-OFDM has been successfully applied to visible light communication (VLC) systems [7], where it has demonstrated particular effectiveness under low signal-to-noise ratio (SNR) conditions [8].",33,33,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,True
fa0b5b71bd71,2A|O_ISAC_001|integration_paradigm,2A,O_ISAC_001,integration_paradigm,INDIRECT,"*Keywords—Visible Light Communication (VLC), Constant envelope orthogonal frequency division multiplexing (CE-OFDM), Integrated Sensing and Communication (ISAC)*",15,15,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,True
fa0b5b71bd71,2A|O_ISAC_001|integration_paradigm,2A,O_ISAC_001,integration_paradigm,INDIRECT,communication and sensing in 6G opens up new possibilities for designing waveforms that serve both purposes [3].,31,31,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,True
fa0b5b71bd71,2A|O_ISAC_001|integration_paradigm,2A,O_ISAC_001,integration_paradigm,INDIRECT,"The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs,",35,35,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,True
fa0b5b71bd71,2A|O_ISAC_001|integration_paradigm,2A,O_ISAC_001,integration_paradigm,INDIRECT,"- [3] A. Liu et al., ""A Survey on Fundamental Limits of Integrated Sensing and Communication,"" in IEEE Communications Surveys & Tutorials, vol. 24, no. 2, pp. 994-1034, Secondquarter 2022, doi: 10.1109/COMST.2022.3149272.",134,134,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > REFERENCES,True
527b8d09f4bb,2C|O_ISAC_001|transceiver_hardware,2C,O_ISAC_001,transceiver_hardware,INDIRECT,"However, OWC systems face unique challenges, including sensitivity to ambient light interference, alignment issues, and nonlinearities in light-emitting components such as light-emitting diodes (LEDs) and laser diodes (LDs). To address these issues, advanced modulation techniques are being investigated. Moreover, the push for integration of",21,21,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,True
527b8d09f4bb,2C|O_ISAC_001|transceiver_hardware,2C,O_ISAC_001,transceiver_hardware,DIRECT,"At the receiver, the optical signal is first detected by a photodiode and converted into an electrical signal. This analog waveform, which corresponds to the bandpass signal, given by:",82,82,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION > B. VLC CE-OFDM Receiver,True
527b8d09f4bb,2C|O_ISAC_001|transceiver_hardware,2C,O_ISAC_001,transceiver_hardware,INDIRECT,"Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment, the CE-OFDM signal was generated using 64 QAM-modulated subcarriers occupying 250 MHz bandwidth, the OFDM modulator is followed by Hermitian symmetry enforcement, inverse FFT, cyclic prefix insertion, and SRRC filtering with a roll-off factor  $\beta$ =0.1 and an up-sampling factor of  $N_{up}$  = 10. The resulting constant-envelope signal was generated by phase modulating a 300 MHz carrier and subsequently transmitted through a 2-meter free-space optical link using a directly modulated laser diode (Thorlabs L638P040). The light was collimated and focused at the receiver side, where it was detected using an avalanche photodiode with integrated amplification. The received signal was digitized at 25 GSa/s and processed by a custom DSP chain implementing decimation, synchronization, digital filtering, phase demodulation and correction. The peak-to-peak amplitude of both the OFDM and CE-OFDM signals was kept at 1.8 V at the AWG. Performance was quantified in terms of the error vector magnitude (EVM) averaged over multiple transmission bursts.",96,96,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,True
527b8d09f4bb,2C|O_ISAC_001|transceiver_hardware,2C,O_ISAC_001,transceiver_hardware,DIRECT,"CE-OFDM can serve as a strong candidate waveform for VLC in future 6G systems, especially where dualfunctionality for communication and localization is desired. CE-OFDM combines the spectral efficiency and subcarrierbased structure of conventional OFDM with the hardware compatibility of constant-envelope transmission, which is particularly advantageous for nonlinear optical devices like LEDs and laser diodes. Unlike standard OFDM, CE-OFDM modulates information in the phase domain, producing a constant-envelope signal that enables efficient transmission through power-limited or nonlinear channels without distortion. This feature directly benefits VLC systems, where nonlinear optical front-ends often limit the performance of amplitude-varying signals.",118,118,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS,True
fd4f49cf142e,2D|O_ISAC_001|performance_metrics,2D,O_ISAC_001,performance_metrics,NONE,"The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs,",35,35,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,True
