section_key,group,paper_ids
2A,raw_only,O_ISAC_014;O_ISAC_135;O_ISAC_140;O_ISAC_146;O_ISAC_147;O_ISAC_149;O_ISAC_154;O_ISAC_248;O_ISAC_276;O_ISAC_340
2A,supported_only,
2B,raw_only,O_ISAC_001;O_ISAC_006;O_ISAC_007;O_ISAC_008;O_ISAC_014;O_ISAC_017;O_ISAC_019;O_ISAC_021;O_ISAC_025;O_ISAC_026;O_ISAC_028;O_ISAC_032;O_ISAC_033;O_ISAC_036;O_ISAC_037;O_ISAC_043;O_ISAC_044;O_ISAC_045;O_ISAC_047;O_ISAC_048;O_ISAC_053;O_ISAC_057;O_ISAC_058;O_ISAC_066;O_ISAC_071;O_ISAC_072;O_ISAC_073;O_ISAC_075;O_ISAC_076;O_ISAC_081
2B,supported_only,
2C,raw_only,O_ISAC_088;O_ISAC_106;O_ISAC_122;O_ISAC_123;O_ISAC_135;O_ISAC_146;O_ISAC_147;O_ISAC_148;O_ISAC_149;O_ISAC_151;O_ISAC_157
2C,supported_only,
2D,raw_only,
2D,supported_only,
2E,raw_only,O_ISAC_018;O_ISAC_025;O_ISAC_041;O_ISAC_053;O_ISAC_066;O_ISAC_089;O_ISAC_095;O_ISAC_098;O_ISAC_102;O_ISAC_105;O_ISAC_119;O_ISAC_128;O_ISAC_139;O_ISAC_157;O_ISAC_158;O_ISAC_167;O_ISAC_195;O_ISAC_220;O_ISAC_245;O_ISAC_276;O_ISAC_288;O_ISAC_303
2E,supported_only,
