paper_id,source_type,source_path,md_path,section_key,concept_key,variant,match_type,quote,line_start,line_end,heading_path,context,label,strength,rationale,model_used
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2C,transceiver_hardware,laser diode,lexical,"However, OWC systems face unique challenges, including sensitivity to ambient light interference, alignment issues, and nonlinearities in light-emitting components such as light-emitting diodes (LEDs) and laser diodes (LDs). To address these issues, advanced modulation techniques are being investigated. Moreover, the push for integration of",21,21,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,"The next generation of wireless networks, commonly referred to as 6G, is expected to revolutionize the landscape of telecommunication by enabling ubiquitous connectivity, extreme reliability, ultra-low latency, and integration with sensing and intelligence. Optical Wireless Communication (OWC), which includes free-space communications mainly in visible light (VLC) or infrared free space optics (FSO), is gaining recognition as a complementary technology to traditional radio frequency (RF) communication [1]. OWC offers several advantages, including ultra-large unlicensed bandwidth, immunity to electromagnetic interference, and enhanced physical layer security due to its spatial confinement [2].

However, OWC systems face unique challenges, including sensitivity to ambient light interference, alignment issues, and nonlinearities in light-emitting components such as light-emitting diodes (LE",INDIRECT,INDIRECT,"The text discusses challenges in Optical Wireless Communication (OWC) systems, including sensitivity to ambient light interference and nonlinearities in light-emitting components, which is related to the concept of transceiver hardware, but does not provide explicit support.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2C,transceiver_hardware,photodiode,lexical,"At the receiver, the optical signal is first detected by a photodiode and converted into an electrical signal. This analog waveform, which corresponds to the bandpass signal, given by:",82,82,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION > B. VLC CE-OFDM Receiver,"### B. VLC CE-OFDM Receiver

At the receiver, the optical signal is first detected by a photodiode and converted into an electrical signal. This analog waveform, which corresponds to the bandpass signal, given by:

$$s_r(t) = A_r \cos(2\pi f_c t + \phi(t)) + n(t) \tag{7}$$",DIRECT,DIRECT,"The context explicitly discusses the conversion of an optical signal into an electrical signal at the receiver, which directly relates to the concept of transceiver hardware.",meta-llama/llama-4-scout-17b-16e-instruct
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2C,transceiver_hardware,laser diode,lexical,"Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment, the CE-OFDM signal was generated using 64 QAM-modulated subcarriers occupying 250 MHz bandwidth, the OFDM modulator is followed by Hermitian symmetry enforcement, inverse FFT, cyclic prefix insertion, and SRRC filtering with a roll-off factor  $\beta$ =0.1 and an up-sampling factor of  $N_{up}$  = 10. The resulting constant-envelope signal was generated by phase modulating a 300 MHz carrier and subsequently transmitted through a 2-meter free-space optical link using a directly modulated laser diode (Thorlabs L638P040). The light was collimated and focused at the receiver side, where it was detected using an avalanche photodiode with integrated amplification. The received signal was digitized at 25 GSa/s and processed by a custom DSP chain implementing decimation, synchronization, digital filtering, phase demodulation and correction. The peak-to-peak amplitude of both the OFDM and CE-OFDM signals was kept at 1.8 V at the AWG. Performance was quantified in terms of the error vector magnitude (EVM) averaged over multiple transmission bursts.",96,96,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,"# III. VLC CE-OFDM PERFORMANCE ASSESSMENT

Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment, the CE-OFDM signal was generated using 64 QAM-modulated subcarriers occupying 250 MHz bandwidth, the OFDM modulator is followed by Hermitian symmetry enforcement, inverse FFT, cyclic prefix insertion, and SRRC filtering with a roll-off factor  $\beta$ =0.1 and an up-sampling factor of  $N_{up}$  = 10. The resulting constant-envelope signal was generated by phase modulating a 300 MHz carrier and subsequently transmitted through a 2-meter free-space optical link using a directly modulated laser diode (Thorlabs L638P040). The light was collimated and focused at the receiver side, where it was detected using an avalanche photodiode with integrated amplification. The received signal ",INDIRECT,INDIRECT,"The quote discusses the experimental setup and performance evaluation of a VLC CE-OFDM system, which is related to transceiver hardware, but does not provide explicit support or direct information about the fundamentals of transceiver hardware.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2C,transceiver_hardware,laser diode,lexical,"CE-OFDM can serve as a strong candidate waveform for VLC in future 6G systems, especially where dualfunctionality for communication and localization is desired. CE-OFDM combines the spectral efficiency and subcarrierbased structure of conventional OFDM with the hardware compatibility of constant-envelope transmission, which is particularly advantageous for nonlinear optical devices like LEDs and laser diodes. Unlike standard OFDM, CE-OFDM modulates information in the phase domain, producing a constant-envelope signal that enables efficient transmission through power-limited or nonlinear channels without distortion. This feature directly benefits VLC systems, where nonlinear optical front-ends often limit the performance of amplitude-varying signals.",118,118,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS,"## IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS

CE-OFDM can serve as a strong candidate waveform for VLC in future 6G systems, especially where dualfunctionality for communication and localization is desired. CE-OFDM combines the spectral efficiency and subcarrierbased structure of conventional OFDM with the hardware compatibility of constant-envelope transmission, which is particularly advantageous for nonlinear optical devices like LEDs and laser diodes. Unlike standard OFDM, CE-OFDM modulates information in the phase domain, producing a constant-envelope signal that enables efficient transmission through power-limited or nonlinear channels without distortion. This feature directly benefits VLC systems, where nonlinear optical front-ends often limit the performance of amplitude-varying signals.

Furthermore, recent research has shown that CE-OFDM signals possess f",DIRECT,DIRECT,"The quote explicitly mentions the advantages of CE-OFDM in terms of hardware compatibility, particularly for nonlinear optical devices like LEDs and laser diodes, which directly relates to transceiver hardware.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2C,transceiver_hardware,laser diode,lexical,"However, OWC systems face unique challenges, including sensitivity to ambient light interference, alignment issues, and nonlinearities in light-emitting components such as light-emitting diodes (LEDs) and laser diodes (LDs). To address these issues, advanced modulation techniques are being investigated. Moreover, the push for integration of",17,17,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,"The next generation of wireless networks, commonly referred to as 6G, is expected to revolutionize the landscape of telecommunication by enabling ubiquitous connectivity, extreme reliability, ultra-low latency, and integration with sensing and intelligence. Optical Wireless Communication (OWC), which includes free-space communications mainly in visible light (VLC) or infrared free space optics (FSO), is gaining recognition as a complementary technology to traditional radio frequency (RF) communication [1]. OWC offers several advantages, including ultra-large unlicensed bandwidth, immunity to electromagnetic interference, and enhanced physical layer security due to its spatial confinement [2].

However, OWC systems face unique challenges, including sensitivity to ambient light interference, alignment issues, and nonlinearities in light-emitting components such as light-emitting diodes (LE",INDIRECT,INDIRECT,"The text discusses challenges in Optical Wireless Communication (OWC) systems, including sensitivity to ambient light interference and nonlinearities in light-emitting components, which is related to the concept of transceiver hardware, but does not provide explicit support or direct information about transceiver hardware.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2C,transceiver_hardware,photodiode,lexical,"At the receiver, the optical signal is first detected by a photodiode and converted into an electrical signal. This analog waveform, which corresponds to the bandpass signal, given by:",74,74,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > B. VLC CE-OFDM Receiver,"## B. VLC CE-OFDM Receiver

At the receiver, the optical signal is first detected by a photodiode and converted into an electrical signal. This analog waveform, which corresponds to the bandpass signal, given by:

$$s_r(t) = A_r \cos(2\pi f_c t + \phi(t)) + n(t)$$",DIRECT,DIRECT,"The quote explicitly mentions 'transceiver_hardware' by describing the receiver's hardware component, specifically the photodiode that converts an optical signal into an electrical signal.",meta-llama/llama-4-scout-17b-16e-instruct
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2C,transceiver_hardware,laser diode,lexical,"Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment, the CE-OFDM signal was generated using 64 QAM-modulated subcarriers occupying 250 MHz bandwidth, the OFDM modulator is followed by Hermitian symmetry enforcement, inverse FFT, cyclic prefix insertion, and SRRC filtering with a roll-off factor  $\beta$ =0.1 and an up-sampling factor of  $N_{up}$  = 10. The resulting constant-envelope signal was generated by phase modulating a 300 MHz carrier and subsequently transmitted through a 2-meter free-space optical link using a directly modulated laser diode (Thorlabs L638P040). The light was collimated and focused at the receiver side, where it was detected using an avalanche photodiode with integrated amplification. The received signal was digitized at 25 GSa/s and processed by a custom DSP chain implementing decimation, synchronization, digital filtering, phase demodulation and correction. The peak-to-peak amplitude of both the OFDM and CE-OFDM signals was kept at 1.8 V at the AWG. Performance was quantified in terms of the error vector magnitude (EVM) averaged over multiple transmission bursts.",89,89,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > B. VLC CE-OFDM Receiver > III. VLC CE-OFDM PERFORMANCE ASSESSMENT,"### III. VLC CE-OFDM PERFORMANCE ASSESSMENT

Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment, the CE-OFDM signal was generated using 64 QAM-modulated subcarriers occupying 250 MHz bandwidth, the OFDM modulator is followed by Hermitian symmetry enforcement, inverse FFT, cyclic prefix insertion, and SRRC filtering with a roll-off factor  $\beta$ =0.1 and an up-sampling factor of  $N_{up}$  = 10. The resulting constant-envelope signal was generated by phase modulating a 300 MHz carrier and subsequently transmitted through a 2-meter free-space optical link using a directly modulated laser diode (Thorlabs L638P040). The light was collimated and focused at the receiver side, where it was detected using an avalanche photodiode with integrated amplification. The received signa",INDIRECT,INDIRECT,"The quote discusses the experimental setup and performance evaluation of a VLC CE-OFDM system, which is related to transceiver hardware, but does not provide explicit support or direct information about the hardware itself.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2C,transceiver_hardware,laser diode,lexical,"CE-OFDM can serve as a strong candidate waveform for VLC in future 6G systems, especially where dualfunctionality for communication and localization is desired. CE-OFDM combines the spectral efficiency and subcarrierbased structure of conventional OFDM with the hardware compatibility of constant-envelope transmission, which is particularly advantageous for nonlinear optical devices like LEDs and laser diodes. Unlike standard OFDM, CE-OFDM modulates information in the phase domain, producing a constant-envelope signal that enables efficient transmission through power-limited or nonlinear channels without distortion. This feature directly benefits VLC systems, where nonlinear optical front-ends often limit the performance of amplitude-varying signals.",109,109,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS,"## IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS

CE-OFDM can serve as a strong candidate waveform for VLC in future 6G systems, especially where dualfunctionality for communication and localization is desired. CE-OFDM combines the spectral efficiency and subcarrierbased structure of conventional OFDM with the hardware compatibility of constant-envelope transmission, which is particularly advantageous for nonlinear optical devices like LEDs and laser diodes. Unlike standard OFDM, CE-OFDM modulates information in the phase domain, producing a constant-envelope signal that enables efficient transmission through power-limited or nonlinear channels without distortion. This feature directly benefits VLC systems, where nonlinear optical front-ends often limit the performance of amplitude-varying signals.

Furthermore, recent research has shown that CE-OFDM signals possess f",DIRECT,DIRECT,"The quote explicitly mentions 'hardware compatibility' and 'transceiver_hardware' is the concept, indicating a direct relationship between the text and the concept of transceiver hardware in the context of CE-OFDM for VLC systems.",llama-3.3-70b-versatile
O_ISAC_002,markdown,data/proc_markdowns/O_ISAC_002/O_ISAC_002/O_ISAC_002.md,data/proc_markdowns/O_ISAC_002/O_ISAC_002/O_ISAC_002.md,2C,transceiver_hardware,led,lexical,## **Acknowledgments**,55,55,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **Acknowledgments**,"This paper presents advancements in photonic THz-ISAC systems, emphasizing integrated waveform design, coherent fusion processing, and communication enhancements through sensing. The demonstrations highlight the exceptional performance achievable with THz photonics, underscoring its potential for ISAC applications.

## **Acknowledgments**

This work is supported by the National Key Research and Development Program of China (2022YFB2903800), the ""Pioneer"" and ""Leading Goose"" Research and Development Program of Zhejiang (2023C01139), the China Scholarship Council (202406320060), the Sweden's Innovation Agency (VINNOVA) funded project (2024-02451), and the strategic innovation program Smarter Electronic Systems - a joint venture by Vinnova, Formas and the Swedish Energy Agency A-FRONTAHUL project (2023-00659).",NONE,NONE,"The provided text is an acknowledgment section, which does not contain any relevant information related to the fundamentals of Section II, such as transceiver hardware or other technical aspects.",llama-3.3-70b-versatile
O_ISAC_002,markdown,data/proc_markdowns/O_ISAC_002/O_ISAC_002/O_ISAC_002.md,data/proc_markdowns/O_ISAC_002/O_ISAC_002/O_ISAC_002.md,2C,transceiver_hardware,led,lexical,"- [5] M. Lei et al., ""Integration of sensing and communication in a W-band fiber-wireless link enabled by electromagnetic polarization multiplexing,"" J. Lightw. Technol. **41**, 7128-7138 (2023).",65,65,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **Acknowledgments** > **References**,"- [3] X. Yu et al., ""Photonic-wireless communication and sensing in the terahertz band,"" in Proc. OFC 2023, Paper W4J.1.
- [4] T. Nagatsuma et al., ""Advances in terahertz communications accelerated by photonics,"" Nat. Photon. **10**, 371-379 (2016).
- [5] M. Lei et al., ""Integration of sensing and communication in a W-band fiber-wireless link enabled by electromagnetic polarization multiplexing,"" J. Lightw. Technol. **41**, 7128-7138 (2023).
- [6] B. Dong et al., ""Photonic-based W-band integrated sensing and communication system with flexible time-frequency division multiplexed waveforms for fiber-wireless network,"" J. Lightw. Technol. **42**, 1281-1295 (2024).
- [7] L. Li et al., ""THz-over-fiber system with orthogonal chirp division multiplexing for integrated sensing and communication,"" J. Lightw. Technol. **42**, 176-183 (2024).",NONE,NONE,The provided quote is a reference citation and does not contain any explicit or indirect information related to the fundamentals of Section II.,llama-3.3-70b-versatile
