paper_id,metric_candidate,analysis_mode,hit_count,usage,contract_check,ambiguity,evidence_quote,heading_path,line_start,line_end,evidence_strength,snippet_count,rationale
O_ISAC_276,OSNR,fulltext,1,NOT_MENTIONED,UNKNOWN,NOT_MENTIONED,,,,,,0,The term OSNR is not mentioned in the provided text.
O_ISAC_276,ESNR,fulltext,0,NOT_MENTIONED,UNKNOWN,NOT_MENTIONED,,,,,,0,The term 'ESNR' is not mentioned in the provided text.
O_ISAC_276,CRB,fulltext,0,NOT_MENTIONED,UNKNOWN,NOT_MENTIONED,,,,,,0,The term 'CRB' or its synonyms are not mentioned in the provided text.
O_ISAC_276,RMSE,fulltext,0,NOT_MENTIONED,UNKNOWN,NOT_MENTIONED,,,,,,0,The term 'RMSE' or its synonyms are not mentioned in the provided text.
O_ISAC_276,Bandwidth,fulltext,2,MENTIONED,OTHER,DEFENSIBLE,efficient fiber bandwidth utilization,# Parallel Path Effect-Free Remote Monitoring and Sensing in Live XGS-PON Using Legacy Optical Time Domain Reflectometry > #### I. INTRODUCTION,28,28,strong,0,"The term 'bandwidth' is mentioned in the context of fiber bandwidth utilization, which is a relevant concept in optical communications."
O_ISAC_143,OSNR,fulltext,0,NOT_MENTIONED,UNKNOWN,NOT_MENTIONED,,,,,,0,The term OSNR or its synonyms are not mentioned in the provided text.
O_ISAC_143,ESNR,fulltext,0,NOT_MENTIONED,UNKNOWN,NOT_MENTIONED,,,,,,0,The term 'ESNR' or its synonyms are not mentioned in the provided text.
O_ISAC_143,CRB,fulltext,0,NOT_MENTIONED,OTHER,NOT_MENTIONED,,,,,,0,The term CRB or its synonyms are not mentioned in the provided text.
O_ISAC_143,RMSE,fulltext,3,NOT_MENTIONED,OTHER,NOT_MENTIONED,,,,,,0,The term 'RMSE' or its synonyms are not mentioned in the provided text.
O_ISAC_143,Bandwidth,fulltext,1,MENTIONED,OTHER,DEFENSIBLE,broad spectrum bandwidth,I. INTRODUCTION,22,22,strong,0,"The term 'bandwidth' is mentioned in the context of optical signals, but it does not relate to the contract definitions of resolution, accuracy, bound, or SNR planes."
O_ISAC_032,OSNR,fulltext,0,NOT_MENTIONED,UNKNOWN,NOT_MENTIONED,,,,,,0,The term 'OSNR' or its synonyms are not mentioned in the provided text.
O_ISAC_032,ESNR,fulltext,0,NOT_MENTIONED,UNKNOWN,NOT_MENTIONED,,,,,,0,The term 'ESNR' is not mentioned in the provided text.
O_ISAC_032,CRB,fulltext,0,NOT_MENTIONED,UNKNOWN,NOT_MENTIONED,,,,,,0,The term 'CRB' or its synonyms are not mentioned in the provided text.
O_ISAC_032,RMSE,fulltext,4,MENTIONED,ACCURACY,DEFENSIBLE,root mean square,III. EXPERIMENT AND DISCUSSION,163,163,strong,0,"The paper mentions 'root mean square' in the context of measuring the deviation between decoupled temperature and measured temperature, which is related to the concept of accuracy."
O_ISAC_032,Bandwidth,fulltext,0,NOT_MENTIONED,UNKNOWN,NOT_MENTIONED,,,,,,0,The term 'bandwidth' or its synonyms are not mentioned in the provided text.
