paper_id,has_R,has_B,has_DRMIN,has_DZ,has_CRB,has_OSNR,has_ESNR,resolution_defensibility,evidence_count_total,evidence_count_resolution,risk_flags
O_ISAC_001,0,1,0,0,0,0,0,AMBIGUOUS,1,0,
O_ISAC_002,1,0,0,0,1,0,0,AMBIGUOUS,5,0,
O_ISAC_003,0,1,0,0,0,0,0,AMBIGUOUS,1,0,
O_ISAC_004,1,1,0,0,0,0,0,REJECT,3,0,
O_ISAC_005,0,1,0,0,0,0,0,REJECT,2,0,
O_ISAC_006,1,1,0,1,0,0,0,DZ_DEFENSIBLE,28,25,
O_ISAC_008,1,1,0,0,0,0,0,AMBIGUOUS,3,0,
O_ISAC_009,1,1,0,0,0,0,0,AMBIGUOUS,15,0,
O_ISAC_010,1,1,0,0,0,0,0,REJECT,9,0,
O_ISAC_011,0,0,0,0,0,0,0,AMBIGUOUS,3,0,
O_ISAC_012,1,1,0,0,0,0,0,AMBIGUOUS,6,0,
O_ISAC_013,0,1,0,1,0,0,0,DZ_DEFENSIBLE,69,68,
O_ISAC_014,1,0,0,0,0,0,0,REJECT,1,0,
O_ISAC_015,1,0,0,0,0,0,0,REJECT,1,0,
O_ISAC_016,1,1,0,0,0,0,0,AMBIGUOUS,9,0,
O_ISAC_017,1,0,0,0,0,0,0,REJECT,1,0,
O_ISAC_018,0,1,0,1,0,0,0,DZ_DEFENSIBLE,19,17,
O_ISAC_019,0,1,0,0,0,0,0,AMBIGUOUS,4,0,
O_ISAC_020,0,1,0,0,0,0,0,AMBIGUOUS,1,0,
O_ISAC_021,1,1,0,0,1,0,0,AMBIGUOUS,7,0,
O_ISAC_022,1,1,0,0,0,0,0,AMBIGUOUS,6,0,
O_ISAC_023,0,1,0,0,1,0,1,REJECT,15,0,ESNR_only;unit_missing
O_ISAC_024,1,1,0,1,0,0,0,DZ_DEFENSIBLE,42,40,
O_ISAC_025,0,1,0,0,0,0,0,REJECT,1,0,
O_ISAC_026,1,1,1,0,0,0,0,DRMIN_DEFENSIBLE,18,11,
O_ISAC_028,1,0,0,0,0,1,0,REJECT,13,0,OSNR_only;unit_missing
O_ISAC_029,1,1,0,0,0,1,0,AMBIGUOUS,17,0,OSNR_only;unit_missing
O_ISAC_030,1,0,0,0,0,0,0,REJECT,2,0,
O_ISAC_031,0,1,0,0,0,0,0,REJECT,1,0,
O_ISAC_032,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_033,0,0,0,1,0,0,0,DZ_DEFENSIBLE,27,27,
O_ISAC_034,0,0,1,0,1,0,0,DRMIN_DEFENSIBLE,16,11,unit_missing
O_ISAC_035,1,1,0,0,0,0,0,AMBIGUOUS,8,0,
O_ISAC_036,1,0,0,0,0,0,0,AMBIGUOUS,2,0,
O_ISAC_038,0,1,0,1,0,0,0,DZ_DEFENSIBLE,25,24,
O_ISAC_039,0,1,0,0,1,0,0,REJECT,14,0,unit_missing
O_ISAC_040,0,0,0,0,0,0,0,REJECT,2,0,
O_ISAC_041,0,0,0,1,0,0,0,DZ_DEFENSIBLE,17,17,
O_ISAC_042,0,0,0,1,0,0,0,DZ_DEFENSIBLE,34,34,
