paper_id,category,model_name,is_defined,quote
O_ISAC_029,Other,None,False,No channel model
O_ISAC_029,Atmospheric,None,False,No atmospheric loss model mentioned
O_ISAC_029,Turbulence,None,False,No turbulence model mentioned
O_ISAC_029,Pointing,None,False,No pointing error model mentioned
O_ISAC_001,Atmospheric,None,False,
O_ISAC_001,Turbulence,None,False,
O_ISAC_001,Pointing,None,False,
O_ISAC_001,Other,CE-OFDM,True,constant-envelope OFDM
O_ISAC_001,Atmospheric,None,False,No atmospheric loss model mentioned
O_ISAC_001,Turbulence,None,False,No turbulence model mentioned
O_ISAC_001,Pointing,None,False,No pointing error model mentioned
O_ISAC_001,Noise,Additive noise,False,n(t) represents additive noise
O_ISAC_002,Other,None,False,No channel models mentioned
