paper_id,extraction_json_path,oisac_modality_label,carrier_band_label,sensing_task_type,has_rate,has_spectral_efficiency,has_resolution_any,has_range_resolution_field,has_spatial_resolution_field,resolution_defensibility_label,snr_plane_label,verified_manual,manual_markdown_path,manual_evidence_locator,rule_applied
O_ISAC_001,data/extraction_results_v4/extraction_v4_unified.json[0],wireless_vlc,visible,localization,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_002,data/extraction_results_v4/extraction_v4_unified.json[1],hybrid,terahertz,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_003,data/extraction_results_v4/extraction_v4_unified.json[2],wireless_vlc,visible,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_004,data/extraction_results_v4/extraction_v4_unified.json[3],hybrid,C-band,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_005,data/extraction_results_v4/extraction_v4_unified.json[4],hybrid,C-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_006,data/extraction_results_v4/extraction_v4_unified.json[5],cabled_fibre,C-band,ranging;localization_2d,1,1,1,1,1,DZ_DEFENSIBLE,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_007,data/extraction_results_v4/extraction_v4_unified.json[6],cabled_fibre,NR,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_008,data/extraction_results_v4/extraction_v4_unified.json[7],hybrid,other,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_009,data/extraction_results_v4/extraction_v4_unified.json[8],wireless_vlc,visible,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_010,data/extraction_results_v4/extraction_v4_unified.json[9],cabled_fibre,C-band,ranging,1,1,0,0,0,AMBIGUOUS,ESNR_PLANE,0,,,AMB|SNR_ESNR1
O_ISAC_011,data/extraction_results_v4/extraction_v4_unified.json[10],hybrid,visible,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_012,data/extraction_results_v4/extraction_v4_unified.json[11],wireless_fso,other,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_013,data/extraction_results_v4/extraction_v4_unified.json[12],cabled_fibre,,ranging,1,1,1,1,0,DZ_DEFENSIBLE,AMBIGUOUS,0,,,AMB|SNR_AMB
O_ISAC_014,data/extraction_results_v4/extraction_v4_unified.json[13],cabled_fibre,NIR,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_015,data/extraction_results_v4/extraction_v4_unified.json[14],wireless_vlc,visible,localization_2d,1,1,1,1,0,AMBIGUOUS,AMBIGUOUS,0,,,AMB|SNR_AMB
O_ISAC_016,data/extraction_results_v4/extraction_v4_unified.json[15],hybrid,sub-THz,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_017,data/extraction_results_v4/extraction_v4_unified.json[16],cabled_fibre,C-band,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_018,data/extraction_results_v4/extraction_v4_unified.json[17],hybrid,Ka-band,ranging,1,1,1,1,1,DZ_DEFENSIBLE,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_019,data/extraction_results_v4/extraction_v4_unified.json[18],cabled_fibre,E-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_020,data/extraction_results_v4/extraction_v4_unified.json[19],cabled_fibre,C-band,ranging;localization_2d,1,1,1,1,0,AMBIGUOUS,ESNR_PLANE,0,,,AMB|SNR_ESNR1
O_ISAC_021,data/extraction_results_v4/extraction_v4_unified.json[20],hybrid,NIR,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_022,data/extraction_results_v4/extraction_v4_unified.json[21],wireless_vlc,visible,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_023,data/extraction_results_v4/extraction_v4_unified.json[22],wireless_fso,visible,ranging,1,1,1,1,1,AMBIGUOUS,ESNR_PLANE,1,data\processed_markdowns\O_ISAC_023\O_ISAC_023\O_ISAC_023.md,"ESNR: # <span id=""page-11-1""></span><span id=""page-11-0""></span>D. Robustness to Channel Variations :: respectively. Subsequently, Fig. 9 illustrates the sensing RMSE w.r.t. different electrical SNRs, i.e., $\mathbb{E}(|H_s x^+(n)|^2)/\mathbb{E}(|w_s(n)|^2)$ . The sensing performance deteriorates due to the stronger atmospheric",C0_AMB|SNR_ESNR_MAN
O_ISAC_024,data/extraction_results_v4/extraction_v4_unified.json[23],cabled_fibre,C-band,ranging;localization_2d,1,1,1,1,1,DZ_DEFENSIBLE,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_025,data/extraction_results_v4/extraction_v4_unified.json[24],cabled_fibre,C-band,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_026,data/extraction_results_v4/extraction_v4_unified.json[25],hybrid,W-band,ranging;localization,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_027,data/extraction_results_v4/extraction_v4_unified.json[26],hybrid,other,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_028,data/extraction_results_v4/extraction_v4_unified.json[27],cabled_fibre,C-band,none,1,1,1,1,1,AMBIGUOUS,OSNR_PLANE,0,,,C0_AMB|SNR_AMB
O_ISAC_029,data/extraction_results_v4/extraction_v4_unified.json[28],hybrid,D-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
