paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_142,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_142/O_ISAC_142/O_ISAC_142.md,data/extraction_results_v4/extraction_v4_unified.json[140]
O_ISAC_143,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_143/O_ISAC_143/O_ISAC_143.md,data/extraction_results_v4/extraction_v4_unified.json[141]
O_ISAC_144,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_144/O_ISAC_144/O_ISAC_144.md,data/extraction_results_v4/extraction_v4_unified.json[142]
O_ISAC_145,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_145/O_ISAC_145/O_ISAC_145.md,data/extraction_results_v4/extraction_v4_unified.json[143]
O_ISAC_146,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_146/O_ISAC_146/O_ISAC_146.md,data/extraction_results_v4/extraction_v4_unified.json[144]
O_ISAC_147,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_147/O_ISAC_147/O_ISAC_147.md,data/extraction_results_v4/extraction_v4_unified.json[145]
O_ISAC_148,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_148/O_ISAC_148/O_ISAC_148.md,data/extraction_results_v4/extraction_v4_unified.json[146]
O_ISAC_149,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_149/O_ISAC_149/O_ISAC_149.md,data/extraction_results_v4/extraction_v4_unified.json[147]
O_ISAC_150,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_150/O_ISAC_150/O_ISAC_150.md,data/extraction_results_v4/extraction_v4_unified.json[148]
O_ISAC_151,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_151/O_ISAC_151/O_ISAC_151.md,data/extraction_results_v4/extraction_v4_unified.json[149]
O_ISAC_152,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_152/O_ISAC_152/O_ISAC_152.md,data/extraction_results_v4/extraction_v4_unified.json[150]
O_ISAC_153,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_153/O_ISAC_153/O_ISAC_153.md,data/extraction_results_v4/extraction_v4_unified.json[151]
