paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_230,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_231,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_232,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_233,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_234,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_235,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_236,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_237,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_237/O_ISAC_237.md,data/extraction_results_v4/extraction_v4_unified.json[184]
O_ISAC_238,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_239,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_240,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_241,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_241/O_ISAC_241.md,data/extraction_results_v4/extraction_v4_unified.json[185]
