batch_id,paper_id,section2_anchor,extraction_json_path,markdown_path,DRMIN_CANDIDATE,DZ_CANDIDATE,OSNR_CANDIDATE,ESNR_CANDIDATE,candidate_locator_drmin,candidate_locator_dz,candidate_locator_osnr,candidate_locator_esnr,invalid_reason
B02,O_ISAC_013,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[12],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_013\O_ISAC_013.md,0,1,0,0,,HeadingPath: # Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient | excerpt: by detecting Rayleigh | where_hint: O_ISAC_013.md: by detecting Rayleigh,,,
B02,O_ISAC_014,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[13],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_014\O_ISAC_014.md,0,0,0,0,,,,,
B02,O_ISAC_015,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[14],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_015\O_ISAC_015.md,0,0,0,0,,,,,
B02,O_ISAC_016,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[15],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_016\O_ISAC_016.md,0,0,0,0,,,,,
B02,O_ISAC_017,II-D,data/extraction_results_v4/extraction_v4_unified.json[16],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_017\O_ISAC_017.md,1,0,0,0,HeadingPath: ## **2. Double-effect DNN-based DBP scheme for ISAC** | excerpt: the distance resolution | where_hint: O_ISAC_017.md: the distance resolution,,,,
B02,O_ISAC_018,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[17],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_018\O_ISAC_018.md,0,1,0,0,,HeadingPath: #### I. INTRODUCTION | excerpt: (DAS) utilizes Rayleigh | where_hint: O_ISAC_018.md: (DAS) utilizes Rayleigh,,,
B02,O_ISAC_019,II-D,data/extraction_results_v4/extraction_v4_unified.json[18],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_019\O_ISAC_019.md,1,0,0,0,HeadingPath: # V. CONCLUSION | excerpt: a distance resolution | where_hint: O_ISAC_019.md: a distance resolution,,,,
B02,O_ISAC_020,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[19],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_020\O_ISAC_020.md,0,1,0,0,,HeadingPath: #### Introduction | excerpt: such as Rayleigh | where_hint: O_ISAC_020.md: such as Rayleigh,,,
B02,O_ISAC_021,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[20],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_021\O_ISAC_021.md,1,0,0,0,HeadingPath: #### System Structure of O-ISAC | excerpt: | Distance resolution | where_hint: O_ISAC_021.md: | Distance resolution,,,,
B02,O_ISAC_022,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[21],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_022\O_ISAC_022.md,0,0,0,0,,,,,
B02,O_ISAC_023,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[22],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_023\O_ISAC_023.md,1,0,0,1,"HeadingPath: ## <span id=""page-0-5""></span><span id=""page-0-3""></span><span id=""page-0-2""></span><span id=""page-0-1""></span><span id=""page-0-0""></span>I. INTRODUCTION | excerpt: cm-level ranging resolution | where_hint: O_ISAC_023.md: cm-level ranging resolution",,,"HeadingPath: ### <span id=""page-11-1""></span><span id=""page-11-0""></span>D. Robustness to Channel Variations | excerpt: different electrical SNRs, | where_hint: O_ISAC_023.md: different electrical SNRs,",anchor_conflict_candidate
B02,O_ISAC_024,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[23],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_024\O_ISAC_024.md,0,1,0,0,,"HeadingPath: ## **EXPERIMENTAL RESULTS** | excerpt: side, the Rayleigh | where_hint: O_ISAC_024.md: side, the Rayleigh",,,
B01,O_ISAC_001,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[0],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_001\O_ISAC_001.md,0,0,0,0,,,,,
B01,O_ISAC_002,II-D,data/extraction_results_v4/extraction_v4_unified.json[1],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_002\O_ISAC_002.md,1,0,0,0,"HeadingPath: # **2. Photonic THz ISAC Waveform Design** | excerpt: including range resolution, | where_hint: O_ISAC_002.md: including range resolution,",,,,
B01,O_ISAC_003,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[2],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_003\O_ISAC_003.md,0,0,0,0,,,,,
B01,O_ISAC_004,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[3],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_004\O_ISAC_004.md,0,0,0,0,,,,,
B01,O_ISAC_005,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[4],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_005\O_ISAC_005.md,0,0,0,0,,,,,
B01,O_ISAC_006,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[5],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_006\O_ISAC_006.md,0,1,0,0,,HeadingPath: #### I. INTRODUCTION | excerpt: such as Rayleigh | where_hint: O_ISAC_006.md: such as Rayleigh,,,
