batch_id,paper_id,extraction_json_path,markdown_path,DRMIN_TEXT_EVIDENCE,DZ_TEXT_EVIDENCE,OSNR_TEXT_EVIDENCE,ESNR_TEXT_EVIDENCE,evidence_locator_drmin,evidence_locator_dz,evidence_locator_osnr,evidence_locator_esnr,invalid_reason,json_score,json_score_fields_used
B02,O_ISAC_024,,data/proc_markdowns/O_ISAC_024/O_ISAC_024/O_ISAC_024.md,0,1,0,0,,#### **EXPERIMENTAL RESULTS** :: Rayleigh scattering traces of the LFM probe and pre-distorted probe (10 m gauge length).,,,,,
B03,O_ISAC_026,,data/proc_markdowns/O_ISAC_026/O_ISAC_026/O_ISAC_026.md,1,0,0,0,## II. PRINCIPLE :: represents the smallest distance between objects that {2}------------------------------------------------ can be distinguished in a single measurement. The theoretical resolution can be expressed as $\delta_r = c/2B_r$,,,,,,
B03,O_ISAC_028,,data/proc_markdowns/O_ISAC_028/O_ISAC_028/O_ISAC_028.md,0,0,1,0,,,"# Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be",,,,
B03,O_ISAC_033,,data/proc_markdowns/O_ISAC_033/O_ISAC_033/O_ISAC_033.md,0,1,0,0,,"#### 1,007-km All-Raman Link DAS Monitoring :: monitor the full 210 km of fiber at a spatial resolution of 13.05 meter and a gauge length of 20 m.",,,,,
B03,O_ISAC_035,,data/proc_markdowns/O_ISAC_035/O_ISAC_035/O_ISAC_035.md,1,0,0,0,"# *C. Ranging and Communication Subcarrier Power Allocation* :: given by [40], since FMCW ranging resolution, $\Delta d = \frac{c}{2B}$ , increasing the bandwidth improves",,,,,,
B04,O_ISAC_056,,data/proc_markdowns/O_ISAC_056/O_ISAC_056/O_ISAC_056.md,0,0,1,0,,,"# Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally,",,,,
B05,O_ISAC_038,,data/proc_markdowns/O_ISAC_038/O_ISAC_038.md,0,1,0,0,,#### 2. NOMA with 16-QAM signal and sensing LFM tone :: spatial resolution of DAS,,,,,
B05,O_ISAC_042,,data/proc_markdowns/O_ISAC_042/O_ISAC_042.md,0,1,0,0,,# 4. Conclusions :: spatial resolution of DAS,,,,,
B05,O_ISAC_043,,data/proc_markdowns/O_ISAC_043/O_ISAC_043.md,1,0,0,0,### 2. Principles :: range resolution can be expressed as $\delta_r = c/2B_r,,,,,,
B05,O_ISAC_046,,data/proc_markdowns/O_ISAC_046/O_ISAC_046.md,0,1,0,0,,"## IV. CONCLUSIONS :: fiber, achieving both a sensitivity of 3.89 - nε Hz @0.1-Hz with 20-m spatial resolution",,,,,
B01R,O_ISAC_006,,data/proc_markdowns/O_ISAC_006/O_ISAC_006.md,0,1,0,0,,#### REFERENCES :: spatial resolution distributed optical fiber,,,,,
B02R,O_ISAC_013,,data/proc_markdowns/O_ISAC_013/O_ISAC_013.md,0,1,0,0,,### I. INTRODUCTION :: fiber with high sensitivity and high spatial resolution,,,,,
B02R,O_ISAC_018,,data/proc_markdowns/O_ISAC_018/O_ISAC_018.md,0,1,0,0,,## C. RoF-Based ISAC Scheme :: spatial resolution of backscattering,,,,,
B02R,O_ISAC_024,,data/proc_markdowns/O_ISAC_024/O_ISAC_024.md,0,1,0,0,,### **INTRODUCTION** :: spatial resolution of 1 m in 40-km fiber,,,,,
B03R,O_ISAC_028,,data/proc_markdowns/O_ISAC_028/O_ISAC_028.md,0,0,1,0,,,"# Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: optimal carrier-tosignal-power-ration (CSPR) can be greatly improved. Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be achieved",,,,
B03R,O_ISAC_033,,data/proc_markdowns/O_ISAC_033/O_ISAC_033.md,0,1,0,0,,"#### 1,007-km All-Raman Link DAS Monitoring :: monitor the full 210 km of fiber at a spatial resolution of 13.05 meter and a gauge length of 20 m.",,,,,
B01R,O_ISAC_006,,data/proc_markdowns/O_ISAC_006/O_ISAC_006.md,0,1,0,0,,#### REFERENCES :: spatial resolution distributed optical fiber,,,,,
B04R,O_ISAC_056,,data/proc_markdowns/O_ISAC_056/O_ISAC_056.md,0,0,1,0,,,"# Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF) approach. The CF approach includes a CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally, we adapt and refine",,,,
B05R,O_ISAC_038,,data/proc_markdowns/O_ISAC_038/O_ISAC_038.md,0,1,0,0,,#### 2. NOMA with 16-QAM signal and sensing LFM tone :: spatial resolution of DAS,,,,,
