paper_id,medium,mechanism,detection,sensing_task,anchor_count,confidence,evidence_refs
O_ISAC_001,wireless_vlc,shared_frontend,coherent,localization,35,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:medium classification; 4A:sensing task type; 4B:fso; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_waveform; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_002,hybrid,shared_frontend,coherent,ranging|_localization_2d,26,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_processing; 4D:json:rx_detection_type
O_ISAC_003,wireless_vlc,separate_frontends,direct,ranging|_localization_2d,16,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4A:sensing task type; 4B:json:oisac_medium_class; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:json:rx_detection_type
O_ISAC_004,hybrid,shared_frontend,coherent,ranging|_localization_2d,22,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:json:rx_detection_type
O_ISAC_005,hybrid,shared_frontend,direct,ranging,30,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:fso; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_resources; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_006,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,37,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4A:sensing task type; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:coherent; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_007,cabled_fibre,shared_frontend,coherent,ranging,28,high,4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:hardware_sharing_mode; 4D:coherent; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_008,hybrid,shared_frontend,coherent,ranging,28,high,4A:detection type; 4A:integration mechanism; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fso; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_waveform; 4D:coherent; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_009,wireless_vlc,shared_frontend,direct,ranging,51,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:sensing task type; 4A:signal dimension; 4B:fiber; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:complex_field; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_010,cabled_fibre,shared_frontend,direct,ranging,38,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4A:sensing task type; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_011,hybrid,shared_frontend,direct,ranging,22,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:resolution versus accuracy; 4B:fso; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_012,wireless_fso,shared_frontend,coherent,ranging|_localization_2d,31,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fso; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_waveform; 4D:coherent; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_013,cabled_fibre,shared_frontend,coherent,ranging,29,high,4A:detection type; 4A:json:oisac_medium_class; 4A:measurement plane; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_waveform; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_014,cabled_fibre,shared_frontend,direct,ranging,26,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:complex_field; 4D:json:rx_detection_type
O_ISAC_015,wireless_vlc,shared_frontend,direct,localization_2d,21,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_resources; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_016,hybrid,shared_frontend,coherent,ranging,27,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_017,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,20,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_processing; 4D:coherent; 4D:json:rx_detection_type
O_ISAC_018,hybrid,shared_frontend,coherent,ranging,39,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:coherent; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_019,cabled_fibre,shared_frontend,direct,ranging,29,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_020,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,35,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_hardware; 4D:coherent; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_021,hybrid,shared_frontend,direct,ranging|_localization_2d,40,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fso; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_resources; 4C:shared_waveform; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_022,wireless_vlc,shared_frontend,direct,localization_2d,27,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:signal dimension; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:json:rx_detection_type
