paper_id,medium,mechanism,detection,sensing_task,medium_raw,mechanism_raw,detection_raw,sensing_task_raw
O_ISAC_001,wireless_vlc,shared_frontend,coherent,localization,wireless_vlc,shared_frontend,coherent,['localization']
O_ISAC_002,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_003,wireless_vlc,separate_frontends,direct,ranging|_localization_2d,wireless_vlc,separate_frontends,direct,"['ranging', 'localization_2d']"
O_ISAC_004,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_005,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_006,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,cabled_fibre,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_007,cabled_fibre,shared_frontend,coherent,ranging,cabled_fibre,shared_frontend,coherent,ranging
O_ISAC_008,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_009,wireless_vlc,shared_frontend,direct,ranging,wireless_vlc,shared_frontend,direct,ranging
O_ISAC_010,cabled_fibre,shared_frontend,direct,ranging,cabled_fibre,shared_frontend,direct,['ranging']
O_ISAC_011,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_012,wireless_fso,shared_frontend,coherent,ranging|_localization_2d,wireless_fso,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_013,cabled_fibre,shared_frontend,coherent,ranging,cabled_fibre,shared_frontend,coherent,ranging
O_ISAC_014,cabled_fibre,shared_frontend,direct,ranging,cabled_fibre,shared_frontend,direct,ranging
O_ISAC_015,wireless_vlc,shared_frontend,direct,localization_2d,wireless_vlc,shared_frontend,direct,localization_2d
O_ISAC_016,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_017,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,cabled_fibre,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_018,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_019,cabled_fibre,shared_frontend,direct,ranging,cabled_fibre,shared_frontend,direct_detection,ranging
O_ISAC_020,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,cabled_fibre,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_021,hybrid,shared_frontend,direct,ranging|_localization_2d,hybrid,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_022,wireless_vlc,shared_frontend,direct,localization_2d,wireless_vlc,shared_frontend,direct,localization_2d
O_ISAC_023,wireless_fso,shared_frontend,direct,ranging,wireless_fso,shared_frontend,direct,ranging
O_ISAC_024,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,cabled_fibre,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_025,cabled_fibre,shared_frontend,coherent,localization_2d,cabled_fibre,shared_frontend,coherent,localization_2d
O_ISAC_026,hybrid,shared_frontend,direct,ranging|_localization,hybrid,shared_frontend,direct_detection,"['ranging', 'localization']"
O_ISAC_027,hybrid,separate_frontends,direct,ranging|_localization_2d,hybrid,separate_frontends,direct,"['ranging', 'localization_2d']"
O_ISAC_028,cabled_fibre,shared_frontend,direct,none,cabled_fibre,shared_frontend,direct,['none']
O_ISAC_029,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_030,hybrid,shared_frontend,direct,hand_gesture_recognition,hybrid,shared_frontend,direct,hand_gesture_recognition
O_ISAC_031,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_032,cabled_fibre,shared_frontend,coherent,ranging,cabled_fibre,shared_frontend,coherent,ranging
O_ISAC_033,cabled_fibre,shared_frontend,coherent,vibration,cabled_fibre,shared_frontend,coherent,vibration
O_ISAC_034,wireless_fso,shared_frontend,direct,ranging|_localization_2d,wireless_fso,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_035,wireless_fso,shared_frontend,coherent,ranging,wireless_fso,shared_frontend,coherent,ranging
O_ISAC_036,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_037,cabled_fibre,shared_frontend,coherent,ranging,cabled_fibre,shared_frontend,coherent,ranging
O_ISAC_038,cabled_fibre,shared_frontend,coherent,ranging,cabled_fibre,shared_frontend,coherent,ranging
O_ISAC_039,wireless_vlc,shared_frontend,direct,ranging,wireless_vlc,shared_frontend,direct,ranging
O_ISAC_040,wireless_retroreflective,shared_frontend,direct,ranging,wireless_retroreflective,shared_frontend,direct,ranging
O_ISAC_041,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_042,cabled_fibre,shared_frontend,coherent,vibration,cabled_fibre,shared_frontend,coherent,vibration
O_ISAC_043,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_044,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_045,cabled_fibre,shared_frontend,direct,ranging|_localization_2d,cabled_fibre,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_046,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,cabled_fibre,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_047,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_048,wireless_fso,shared_frontend,direct,ranging|_localization_2d,wireless_fso,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_049,wireless_vlc,shared_frontend,direct,localization,vlc,shared_frontend,direct_detection,localization
O_ISAC_050,wireless_vlc,separate_frontends,direct,localization_2d,wireless_vlc,separate_frontends,direct,localization_2d
O_ISAC_051,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_052,hybrid,shared_frontend,direct,ranging|_localization_2d,hybrid,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_053,wireless_vlc,shared_frontend,direct,ranging|_localization_2d,wireless_vlc,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_054,hybrid,shared_frontend,direct,localization_2d,hybrid,shared_frontend,direct,localization_2d
O_ISAC_055,wireless_fso,shared_frontend,direct,ranging,wireless_fso,shared_frontend,direct,ranging
O_ISAC_056,cabled_fibre,shared_frontend,direct,ranging,cabled_fibre,shared_frontend,direct,ranging
O_ISAC_057,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_058,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
