paper_id,section,category,severity,reason,evidence
O_ISAC_004,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_009,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_013,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_015,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_017,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_019,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_021,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_022,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_023,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_027,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_028,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_029,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_034,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_035,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_036,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_038,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_039,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_042,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_043,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_046,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
