paper_id,medium,has_section5_signal,has_section6_signal,has_section7_signal,has_standardization_interoperability,has_hardware_scalability_efficiency,has_channel_modeling_evaluation,has_security_privacy_reliability,has_deployment_convergence_roadmap,n_supported_challenges
O_ISAC_001,wireless_vlc,True,True,True,True,False,False,False,False,1
O_ISAC_002,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_003,wireless_vlc,True,True,True,True,False,True,False,False,2
O_ISAC_004,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_005,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_006,cabled_fibre,True,True,True,True,False,False,False,False,1
O_ISAC_007,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_008,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_009,wireless_vlc,True,True,True,False,False,True,False,False,1
O_ISAC_010,cabled_fibre,True,True,True,True,False,False,False,False,1
O_ISAC_011,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_012,wireless_fso,True,True,True,False,False,False,False,False,0
O_ISAC_013,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_014,cabled_fibre,True,True,True,True,False,False,False,False,1
O_ISAC_015,wireless_vlc,True,True,True,False,False,True,False,False,1
O_ISAC_016,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_017,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_018,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_019,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_020,cabled_fibre,True,True,True,True,False,False,False,False,1
O_ISAC_021,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_022,wireless_vlc,True,True,True,False,True,False,False,False,1
O_ISAC_023,wireless_fso,True,True,True,False,False,True,False,False,1
O_ISAC_024,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_025,cabled_fibre,True,True,True,True,False,False,False,False,1
O_ISAC_026,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_027,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_028,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_029,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_030,hybrid,True,True,True,True,True,True,False,False,3
O_ISAC_031,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_032,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_033,cabled_fibre,True,True,True,True,False,False,False,False,1
O_ISAC_034,wireless_fso,True,True,True,False,False,False,False,False,0
O_ISAC_035,wireless_fso,True,True,True,False,True,False,False,False,1
O_ISAC_036,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_037,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_038,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_039,wireless_vlc,True,True,True,False,False,False,True,False,1
O_ISAC_040,wireless_retroreflective,True,True,True,False,False,False,False,False,0
O_ISAC_041,hybrid,True,True,True,True,False,False,True,False,2
O_ISAC_042,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_043,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_044,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_045,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_046,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_047,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_048,wireless_fso,True,True,True,False,False,False,False,False,0
O_ISAC_049,wireless_vlc,True,True,True,True,True,True,False,False,3
O_ISAC_050,wireless_vlc,True,True,True,True,False,True,False,False,2
O_ISAC_051,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_052,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_053,wireless_vlc,True,True,True,True,False,False,False,False,1
O_ISAC_054,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_055,wireless_fso,True,True,True,False,False,False,False,False,0
O_ISAC_056,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_057,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_058,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_059,hybrid,True,True,True,True,False,False,True,False,2
O_ISAC_060,wireless_fso,True,True,True,False,False,False,False,False,0
O_ISAC_061,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_062,wireless_vlc,True,True,True,False,False,True,False,False,1
O_ISAC_063,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_064,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_065,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_066,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_067,wireless_fso,True,True,True,False,False,False,False,False,0
O_ISAC_068,hybrid,True,True,True,True,False,False,False,False,1
O_ISAC_069,hybrid,True,True,True,False,False,False,True,False,1
O_ISAC_070,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_071,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_072,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_073,hybrid,True,True,True,True,False,False,False,False,1
O_ISAC_074,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_075,retroreflective_optical,True,True,True,False,False,False,False,False,0
O_ISAC_076,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_077,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_078,cabled_fibre,True,True,True,True,True,False,False,False,2
O_ISAC_079,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_080,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_081,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_082,hybrid,True,True,True,True,False,True,False,False,2
O_ISAC_083,hybrid,True,True,True,True,False,False,False,False,1
O_ISAC_084,wireless_vlc,True,True,True,False,False,False,False,False,0
O_ISAC_085,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_086,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_088,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_089,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_090,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_091,wireless_fso,True,True,True,False,False,True,False,False,1
O_ISAC_092,wireless_vlc,True,True,True,True,False,True,False,False,2
O_ISAC_093,hybrid,True,True,True,True,True,True,False,False,3
O_ISAC_094,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_095,hybrid,True,True,True,True,True,False,False,False,2
O_ISAC_096,hybrid,True,True,True,True,False,False,False,False,1
