paper_id,medium,macro_domains_json,has_smart_infrastructure_supported,has_indoor_environments_supported,has_automotive_transportation_supported,has_underwater_harsh_supported,has_space_satellite_supported,anchor_count,confidence
O_ISAC_001,wireless_vlc,indoor_environments,True,True,True,False,True,21,high
O_ISAC_002,hybrid,indoor_environments,True,True,True,False,True,14,high
O_ISAC_003,wireless_vlc,automotive_transportation;indoor_environments,True,True,True,True,False,18,high
O_ISAC_004,hybrid,smart_infrastructure,True,True,True,False,True,13,high
O_ISAC_005,hybrid,automotive_transportation,True,True,True,True,True,20,high
O_ISAC_006,cabled_fibre,smart_infrastructure,True,True,True,True,True,23,high
O_ISAC_007,cabled_fibre,smart_infrastructure;space_satellite,True,True,True,False,True,13,high
O_ISAC_008,hybrid,automotive_transportation,True,False,True,False,False,13,high
O_ISAC_009,wireless_vlc,indoor_environments,True,True,True,True,True,21,high
O_ISAC_010,cabled_fibre,smart_infrastructure,True,False,True,False,False,13,high
O_ISAC_011,hybrid,indoor_environments,True,True,True,True,True,20,high
O_ISAC_012,wireless_fso,automotive_transportation;smart_infrastructure,True,False,True,True,False,16,high
O_ISAC_013,cabled_fibre,smart_infrastructure,True,True,True,True,False,20,high
O_ISAC_014,cabled_fibre,smart_infrastructure,True,False,True,True,False,11,high
O_ISAC_015,wireless_vlc,indoor_environments,True,True,True,False,False,14,high
O_ISAC_016,hybrid,,True,False,True,True,True,13,high
O_ISAC_017,cabled_fibre,smart_infrastructure,True,False,False,True,False,9,high
O_ISAC_018,hybrid,automotive_transportation,True,False,True,False,True,14,high
O_ISAC_019,cabled_fibre,automotive_transportation;smart_infrastructure,True,False,True,True,True,23,high
O_ISAC_020,cabled_fibre,smart_infrastructure;underwater_harsh,True,True,True,True,True,18,high
O_ISAC_021,hybrid,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,True,False,20,high
O_ISAC_022,wireless_vlc,indoor_environments,True,True,True,True,True,21,high
O_ISAC_023,wireless_fso,automotive_transportation,True,True,True,True,True,20,high
O_ISAC_024,cabled_fibre,smart_infrastructure,True,False,True,False,False,12,high
O_ISAC_025,cabled_fibre,,True,True,True,False,False,12,high
O_ISAC_026,hybrid,automotive_transportation;smart_infrastructure,True,True,True,True,True,20,high
O_ISAC_027,hybrid,automotive_transportation;smart_infrastructure;underwater_harsh,True,True,True,True,False,15,high
O_ISAC_028,cabled_fibre,smart_infrastructure,True,True,True,True,False,17,high
O_ISAC_029,hybrid,,True,True,True,False,True,19,high
O_ISAC_030,hybrid,indoor_environments,True,True,True,False,True,21,high
O_ISAC_031,hybrid,indoor_environments,True,True,True,False,False,12,high
O_ISAC_032,cabled_fibre,smart_infrastructure,True,False,True,True,False,12,high
O_ISAC_033,cabled_fibre,smart_infrastructure,True,True,True,True,True,16,high
O_ISAC_034,wireless_fso,automotive_transportation;smart_infrastructure;space_satellite,True,True,True,True,True,19,high
O_ISAC_035,wireless_fso,,True,True,True,True,True,22,high
O_ISAC_036,hybrid,,True,True,True,True,False,14,high
O_ISAC_037,cabled_fibre,smart_infrastructure,True,False,True,True,False,16,high
O_ISAC_038,cabled_fibre,smart_infrastructure,True,False,True,False,False,11,high
O_ISAC_039,wireless_vlc,indoor_environments,True,True,True,False,False,19,high
O_ISAC_040,wireless_retroreflective,automotive_transportation,True,True,True,True,False,20,high
O_ISAC_041,hybrid,automotive_transportation,True,True,True,True,True,24,high
O_ISAC_042,cabled_fibre,smart_infrastructure,True,True,True,False,False,10,high
O_ISAC_043,hybrid,,True,False,True,False,True,13,high
O_ISAC_044,hybrid,automotive_transportation,True,True,True,False,True,20,high
O_ISAC_045,cabled_fibre,smart_infrastructure,True,True,False,True,False,9,high
O_ISAC_046,cabled_fibre,smart_infrastructure,True,False,True,True,True,15,high
O_ISAC_047,hybrid,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,15,high
O_ISAC_048,wireless_fso,automotive_transportation;smart_infrastructure;space_satellite,True,True,True,False,True,16,high
O_ISAC_049,wireless_vlc,indoor_environments,True,True,True,False,False,19,high
