paper_id,section,category,severity,reason,evidence
O_ISAC_011,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_017,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_027,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_030,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_031,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_032,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_037,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_057,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_059,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_060,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_062,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_063,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_066,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_070,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_080,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_101,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_106,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_110,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_117,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_122,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_135,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_137,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_139,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_146,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_147,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_149,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_150,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_154,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_156,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_157,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_159,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_165,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_173,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_200,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_245,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_300,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_349,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_350,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_371,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_381,7A,EVIDENCE_WEAK,MINOR,smart_infrastructure lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_028,7A,PLANE_MIX_MENTION,MINOR,Quote contains both OSNR and SNR terms; verify plane wording,"Abstract-Driven by emerging applications originated from the Internet technologies, artificial intelligence (AI), big data and so on, high-speed short-reach optical transmission solutions have attract"
O_ISAC_036,7A,APP_SCOPE_MISMATCH,MAJOR,DIRECT text claim conflicts with structured macro tags,text_macro=smart_infrastructure; json_macros=nan
O_ISAC_054,7A,APP_SCOPE_MISMATCH,MAJOR,DIRECT text claim conflicts with structured macro tags,text_macro=smart_infrastructure; json_macros=indoor_environments
O_ISAC_056,7A,APP_SCOPE_MISMATCH,MAJOR,DIRECT text claim conflicts with structured macro tags,text_macro=smart_infrastructure; json_macros=indoor_environments
O_ISAC_080,7A,PLANE_MIX_MENTION,MINOR,Quote contains both OSNR and SNR terms; verify plane wording,*Abstract***—We have proposed and experimentally validated an integrated scheme of in-band spectrum polarization sensing and standard coherent communication via fraction-division nonorthogonal multipl
O_ISAC_151,7A,APP_SCOPE_MISMATCH,MAJOR,DIRECT text claim conflicts with structured macro tags,text_macro=smart_infrastructure; json_macros=indoor_environments
O_ISAC_190,7A,APP_SCOPE_MISMATCH,MAJOR,DIRECT text claim conflicts with structured macro tags,text_macro=smart_infrastructure; json_macros=indoor_environments
O_ISAC_220,7A,APP_SCOPE_MISMATCH,MAJOR,DIRECT text claim conflicts with structured macro tags,text_macro=smart_infrastructure; json_macros=underwater_harsh
O_ISAC_280,7A,APP_SCOPE_MISMATCH,MAJOR,DIRECT text claim conflicts with structured macro tags,text_macro=smart_infrastructure; json_macros=automotive_transportation
O_ISAC_002,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
