application_domain,n_papers
industrial_manufacturing,66
vehicular,61
indoor_positioning,57
6g_networks,48
security_surveillance,20
fibre_network_monitoring,17
environmental_monitoring,14
uav_aerial,11
aerospace_space,8
maritime_underwater,8
robotics_autonomy,7
critical_infrastructure,6
healthcare,5
iot,4
optical_communication,2
other,2
satellite_communication,2
asset_tracking,1
assisted_living,1
autonomous_vehicles,1
biochemical_sensing,1
concentrated_solar_power,1
cultural_heritage,1
data_center,1
digital_twin,1
distributed_sensing,1
free_space_optics,1
geophysics,1
human_computer_interaction,1
intelligent_transportation_systems,1
logistics,1
low_altitude_economy,1
medical_imaging,1
microalgae_cultivation,1
nondestructive_testing,1
oceanography,1
optical_interconnects,1
optical_networks,1
personnel_monitoring,1
power_grid,1
quantum_communication,1
security,1
security_screening,1
sensing,1
short_reach_optical_interconnects,1
telecommunication,1
traffic_monitoring,1
volcanic_ash_detection,1
