macro_domain,group,paper_ids
smart_infrastructure,flag_only,
smart_infrastructure,raw_only,O_ISAC_001;O_ISAC_002;O_ISAC_003;O_ISAC_005;O_ISAC_008;O_ISAC_009;O_ISAC_011;O_ISAC_015;O_ISAC_016;O_ISAC_018;O_ISAC_022;O_ISAC_023;O_ISAC_025;O_ISAC_029;O_ISAC_030;O_ISAC_031;O_ISAC_035;O_ISAC_036;O_ISAC_039;O_ISAC_040;O_ISAC_041;O_ISAC_043;O_ISAC_044;O_ISAC_049;O_ISAC_050;O_ISAC_051;O_ISAC_052;O_ISAC_054;O_ISAC_055;O_ISAC_056
smart_infrastructure,strict_only,O_ISAC_001;O_ISAC_002;O_ISAC_003;O_ISAC_005;O_ISAC_008;O_ISAC_009;O_ISAC_015;O_ISAC_016;O_ISAC_018;O_ISAC_022;O_ISAC_023;O_ISAC_025;O_ISAC_029;O_ISAC_035;O_ISAC_036;O_ISAC_039;O_ISAC_040;O_ISAC_041;O_ISAC_043;O_ISAC_044;O_ISAC_049;O_ISAC_050;O_ISAC_051;O_ISAC_052;O_ISAC_054;O_ISAC_055;O_ISAC_056;O_ISAC_058;O_ISAC_061;O_ISAC_071
indoor_environments,flag_only,
indoor_environments,raw_only,O_ISAC_004;O_ISAC_005;O_ISAC_006;O_ISAC_007;O_ISAC_013;O_ISAC_020;O_ISAC_023;O_ISAC_025;O_ISAC_026;O_ISAC_027;O_ISAC_028;O_ISAC_029;O_ISAC_033;O_ISAC_034;O_ISAC_035;O_ISAC_036;O_ISAC_040;O_ISAC_041;O_ISAC_042;O_ISAC_044;O_ISAC_045;O_ISAC_048;O_ISAC_051;O_ISAC_053;O_ISAC_055;O_ISAC_059;O_ISAC_060;O_ISAC_061;O_ISAC_068;O_ISAC_069
indoor_environments,strict_only,O_ISAC_013;O_ISAC_025;O_ISAC_034;O_ISAC_053;O_ISAC_068;O_ISAC_098;O_ISAC_114;O_ISAC_129;O_ISAC_142;O_ISAC_157;O_ISAC_161;O_ISAC_164;O_ISAC_173;O_ISAC_218;O_ISAC_300;O_ISAC_350
automotive_transportation,flag_only,
automotive_transportation,raw_only,O_ISAC_001;O_ISAC_002;O_ISAC_004;O_ISAC_006;O_ISAC_007;O_ISAC_009;O_ISAC_010;O_ISAC_011;O_ISAC_013;O_ISAC_014;O_ISAC_015;O_ISAC_016;O_ISAC_020;O_ISAC_022;O_ISAC_024;O_ISAC_025;O_ISAC_028;O_ISAC_029;O_ISAC_030;O_ISAC_031;O_ISAC_032;O_ISAC_033;O_ISAC_035;O_ISAC_036;O_ISAC_037;O_ISAC_038;O_ISAC_039;O_ISAC_042;O_ISAC_043;O_ISAC_046
automotive_transportation,strict_only,O_ISAC_006;O_ISAC_036;O_ISAC_049;O_ISAC_050;O_ISAC_056;O_ISAC_065;O_ISAC_067;O_ISAC_068;O_ISAC_082;O_ISAC_093;O_ISAC_142;O_ISAC_156;O_ISAC_157;O_ISAC_161;O_ISAC_163;O_ISAC_173;O_ISAC_186;O_ISAC_190;O_ISAC_206;O_ISAC_286;O_ISAC_288;O_ISAC_327;O_ISAC_350;O_ISAC_351;O_ISAC_354;O_ISAC_371;O_ISAC_379;O_ISAC_381
underwater_harsh,flag_only,
underwater_harsh,raw_only,O_ISAC_003;O_ISAC_005;O_ISAC_006;O_ISAC_009;O_ISAC_011;O_ISAC_012;O_ISAC_013;O_ISAC_014;O_ISAC_016;O_ISAC_017;O_ISAC_019;O_ISAC_021;O_ISAC_022;O_ISAC_023;O_ISAC_026;O_ISAC_028;O_ISAC_032;O_ISAC_033;O_ISAC_034;O_ISAC_035;O_ISAC_036;O_ISAC_037;O_ISAC_040;O_ISAC_041;O_ISAC_045;O_ISAC_046;O_ISAC_050;O_ISAC_051;O_ISAC_054;O_ISAC_055
underwater_harsh,strict_only,O_ISAC_005;O_ISAC_006;O_ISAC_114;O_ISAC_163;O_ISAC_199;O_ISAC_327;O_ISAC_348
space_satellite,flag_only,
space_satellite,raw_only,O_ISAC_001;O_ISAC_002;O_ISAC_004;O_ISAC_005;O_ISAC_006;O_ISAC_009;O_ISAC_011;O_ISAC_016;O_ISAC_018;O_ISAC_019;O_ISAC_020;O_ISAC_022;O_ISAC_023;O_ISAC_026;O_ISAC_029;O_ISAC_030;O_ISAC_033;O_ISAC_035;O_ISAC_041;O_ISAC_043;O_ISAC_044;O_ISAC_046;O_ISAC_051;O_ISAC_053;O_ISAC_054;O_ISAC_056;O_ISAC_057;O_ISAC_058;O_ISAC_060;O_ISAC_061
space_satellite,strict_only,O_ISAC_026;O_ISAC_029;O_ISAC_035;O_ISAC_043;O_ISAC_044;O_ISAC_070;O_ISAC_096;O_ISAC_133;O_ISAC_135;O_ISAC_142;O_ISAC_154;O_ISAC_160;O_ISAC_163;O_ISAC_171;O_ISAC_185;O_ISAC_356;O_ISAC_379
