paper_id,medium,application_domains_json,application_domains_canonical,macro_domains_json,has_smart_infrastructure,has_indoor_environments,has_automotive_transportation,has_underwater_harsh,has_space_satellite,n_supported_macro_domains
O_ISAC_001,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,True,True,False,False,False,2
O_ISAC_002,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_003,wireless_vlc,vehicular;indoor_positioning,vehicular;indoor_positioning,automotive_transportation;indoor_environments,True,True,True,False,False,3
O_ISAC_004,hybrid,telecommunication;sensing,telecommunication;sensing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_005,hybrid,uav_aerial,uav_aerial,automotive_transportation,True,False,True,True,False,3
O_ISAC_006,cabled_fibre,industrial_manufacturing;environmental_monitoring,industrial_manufacturing;environmental_monitoring,smart_infrastructure,True,False,True,True,False,3
O_ISAC_007,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure;space_satellite,True,False,False,False,True,2
O_ISAC_008,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_009,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_010,cabled_fibre,industrial_manufacturing;fibre_network_monitoring,industrial_manufacturing;fibre_network_monitoring,smart_infrastructure,True,False,False,False,False,1
O_ISAC_011,hybrid,indoor_positioning,indoor_positioning,indoor_environments,False,True,False,False,False,1
O_ISAC_012,wireless_fso,vehicular;industrial_manufacturing;security_surveillance,vehicular;industrial_manufacturing;security_surveillance,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_013,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,True,False,False,False,2
O_ISAC_014,cabled_fibre,power_grid,power_grid,smart_infrastructure,True,False,False,False,False,1
O_ISAC_015,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_016,hybrid,6g_networks,6g_networks,,True,False,False,False,False,1
O_ISAC_017,cabled_fibre,optical_fiber_communications,fibre_network_monitoring,smart_infrastructure,True,False,False,False,False,1
