macro_domain,medium,n_papers
smart_infrastructure,cabled_fibre,46
smart_infrastructure,hybrid,106
smart_infrastructure,other,1
smart_infrastructure,retroreflective,1
smart_infrastructure,retroreflective_optical,1
smart_infrastructure,terahertz,1
smart_infrastructure,wireless,4
smart_infrastructure,wireless_fso,17
smart_infrastructure,wireless_retroreflective,2
smart_infrastructure,wireless_rf,1
smart_infrastructure,wireless_uv,1
smart_infrastructure,wireless_vlc,23
indoor_environments,cabled_fibre,7
indoor_environments,hybrid,39
indoor_environments,retroreflective,1
indoor_environments,retroreflective_optical,1
indoor_environments,terahertz,1
indoor_environments,wireless,3
indoor_environments,wireless_fso,4
indoor_environments,wireless_retroreflective,1
indoor_environments,wireless_uv,1
indoor_environments,wireless_vlc,23
automotive_transportation,cabled_fibre,8
automotive_transportation,hybrid,65
automotive_transportation,wireless,3
automotive_transportation,wireless_fso,11
automotive_transportation,wireless_retroreflective,1
automotive_transportation,wireless_rf,1
automotive_transportation,wireless_vlc,15
underwater_harsh,cabled_fibre,5
underwater_harsh,hybrid,16
underwater_harsh,wireless,1
underwater_harsh,wireless_fso,1
space_satellite,cabled_fibre,2
space_satellite,hybrid,22
space_satellite,wireless_fso,8
space_satellite,wireless_rf,1
space_satellite,wireless_vlc,1
