paper_id,medium,has_opa_structured,has_ris_structured,has_pic_supported,has_ml_supported,has_photonic_generation_supported,has_programmable_photonics_supported,anchor_count,confidence
O_ISAC_001,wireless_vlc,False,False,False,True,True,True,22,high
O_ISAC_002,hybrid,True,True,True,True,True,True,30,high
O_ISAC_003,wireless_vlc,False,False,False,True,False,True,24,high
O_ISAC_004,hybrid,False,True,True,True,True,True,28,high
O_ISAC_005,hybrid,True,True,False,True,True,True,30,high
O_ISAC_006,cabled_fibre,True,True,False,True,True,True,31,high
O_ISAC_007,cabled_fibre,False,False,False,True,True,True,24,high
O_ISAC_008,hybrid,True,False,True,True,True,True,24,high
O_ISAC_009,wireless_vlc,True,True,False,True,True,True,37,high
O_ISAC_010,cabled_fibre,False,False,True,True,True,True,31,high
O_ISAC_011,hybrid,False,False,False,True,True,True,28,high
O_ISAC_012,wireless_fso,True,True,True,True,True,True,24,high
O_ISAC_013,cabled_fibre,False,False,True,True,True,True,25,high
O_ISAC_014,cabled_fibre,True,True,False,True,True,True,30,high
O_ISAC_015,wireless_vlc,False,False,True,True,True,True,21,high
O_ISAC_016,hybrid,True,True,True,True,True,True,31,high
O_ISAC_017,cabled_fibre,False,False,False,True,True,True,21,high
O_ISAC_018,hybrid,True,True,True,True,True,True,33,high
O_ISAC_019,cabled_fibre,True,True,True,True,True,True,34,high
O_ISAC_020,cabled_fibre,False,False,True,True,True,True,33,high
O_ISAC_021,hybrid,False,False,True,True,True,True,35,high
O_ISAC_022,wireless_vlc,False,False,True,True,True,True,29,high
O_ISAC_023,wireless_fso,True,True,False,True,True,True,33,high
O_ISAC_024,cabled_fibre,True,True,False,True,False,True,24,high
O_ISAC_025,cabled_fibre,True,True,False,True,True,True,25,high
O_ISAC_026,hybrid,True,True,True,True,True,True,33,high
O_ISAC_027,hybrid,True,True,True,True,True,True,35,high
O_ISAC_028,cabled_fibre,True,True,True,True,True,True,31,high
O_ISAC_029,hybrid,True,True,True,True,True,True,40,high
O_ISAC_030,hybrid,False,False,False,True,False,True,21,high
O_ISAC_031,hybrid,True,True,False,True,True,True,28,high
O_ISAC_032,cabled_fibre,True,True,True,True,True,True,31,high
O_ISAC_033,cabled_fibre,True,True,False,True,True,True,33,high
O_ISAC_034,wireless_fso,False,False,True,True,True,True,31,high
O_ISAC_035,wireless_fso,False,False,True,True,True,True,33,high
O_ISAC_036,hybrid,True,True,True,True,True,True,31,high
O_ISAC_037,cabled_fibre,True,True,True,True,True,True,31,high
O_ISAC_038,cabled_fibre,False,False,False,True,True,True,19,high
O_ISAC_039,wireless_vlc,False,False,True,True,True,True,26,high
O_ISAC_040,wireless_retroreflective,True,True,True,True,True,True,32,high
O_ISAC_041,hybrid,False,False,False,True,True,True,25,high
O_ISAC_042,cabled_fibre,False,False,False,True,True,True,19,high
O_ISAC_043,hybrid,True,True,True,True,True,True,27,high
O_ISAC_044,hybrid,False,False,True,True,True,True,30,high
O_ISAC_045,cabled_fibre,True,True,True,True,True,True,20,high
O_ISAC_046,cabled_fibre,True,True,False,True,True,True,32,high
O_ISAC_047,hybrid,True,True,True,True,True,True,29,high
O_ISAC_048,wireless_fso,True,True,True,True,True,True,30,high
O_ISAC_049,wireless_vlc,True,True,False,True,True,True,25,high
O_ISAC_050,wireless_vlc,True,True,True,True,False,True,30,high
O_ISAC_051,hybrid,False,False,True,True,True,True,28,high
O_ISAC_052,hybrid,True,True,True,True,True,True,28,high
O_ISAC_053,wireless_vlc,True,True,False,True,False,True,23,high
O_ISAC_054,hybrid,True,True,True,True,True,True,42,high
O_ISAC_055,wireless_fso,True,True,False,True,True,True,34,high
O_ISAC_056,cabled_fibre,True,True,False,True,True,True,32,high
O_ISAC_057,hybrid,True,True,True,True,True,True,30,high
O_ISAC_058,hybrid,False,False,True,True,True,True,29,high
O_ISAC_059,hybrid,False,False,False,True,True,True,21,high
O_ISAC_060,wireless_fso,True,True,True,True,True,True,28,high
O_ISAC_061,hybrid,False,False,True,True,True,True,37,high
O_ISAC_062,wireless_vlc,True,True,True,True,False,True,30,high
O_ISAC_063,cabled_fibre,True,True,False,True,True,True,30,high
O_ISAC_064,cabled_fibre,False,False,False,True,False,True,8,high
O_ISAC_065,hybrid,True,True,True,True,True,True,31,high
O_ISAC_066,hybrid,True,True,True,True,True,True,35,high
O_ISAC_067,wireless_fso,False,False,False,True,False,True,24,high
O_ISAC_068,hybrid,True,True,False,True,True,True,30,high
O_ISAC_069,hybrid,False,False,True,True,True,True,33,high
O_ISAC_070,hybrid,False,False,True,True,True,True,35,high
O_ISAC_071,hybrid,True,True,False,True,True,True,30,high
O_ISAC_072,cabled_fibre,False,False,True,True,False,True,19,high
O_ISAC_073,hybrid,True,True,True,True,True,True,34,high
O_ISAC_074,cabled_fibre,False,False,True,True,True,True,23,high
O_ISAC_075,retroreflective_optical,True,True,False,True,True,True,29,high
O_ISAC_076,cabled_fibre,True,True,True,True,True,True,27,high
O_ISAC_077,hybrid,False,False,False,True,True,True,24,high
O_ISAC_078,cabled_fibre,True,True,True,True,True,True,36,high
O_ISAC_079,cabled_fibre,True,True,False,True,True,True,29,high
O_ISAC_080,cabled_fibre,False,False,False,True,True,True,25,high
O_ISAC_081,hybrid,True,True,False,True,True,True,31,high
O_ISAC_082,hybrid,False,False,True,True,True,True,30,high
O_ISAC_083,hybrid,False,False,True,True,True,True,26,high
O_ISAC_084,wireless_vlc,True,True,False,True,False,True,23,high
O_ISAC_085,cabled_fibre,False,False,True,True,True,True,20,high
O_ISAC_086,hybrid,False,False,True,True,True,True,32,high
O_ISAC_088,hybrid,False,False,False,True,True,True,21,high
O_ISAC_089,cabled_fibre,False,False,True,True,True,True,37,high
O_ISAC_090,cabled_fibre,True,True,False,True,True,True,33,high
O_ISAC_091,wireless_fso,True,True,True,True,True,True,41,high
O_ISAC_092,wireless_vlc,True,True,True,True,True,True,32,high
O_ISAC_093,hybrid,False,False,False,True,False,True,20,high
O_ISAC_094,hybrid,True,True,True,True,False,True,27,high
O_ISAC_095,hybrid,False,False,True,True,True,True,29,high
O_ISAC_096,hybrid,False,False,True,True,True,True,38,high
O_ISAC_097,hybrid,False,False,True,True,True,True,30,high
O_ISAC_098,wireless_fso,True,True,True,True,True,True,37,high
O_ISAC_099,retroreflective,True,True,False,True,True,True,28,high
O_ISAC_100,hybrid,False,False,True,True,True,True,33,high
O_ISAC_101,cabled_fibre,True,True,False,True,True,True,26,high
O_ISAC_102,cabled_fibre,False,False,True,True,True,True,32,high
O_ISAC_103,cabled_fibre,False,False,True,True,True,True,27,high
O_ISAC_104,cabled_fibre,True,True,False,True,False,True,24,high
O_ISAC_105,hybrid,False,False,True,True,True,True,30,high
O_ISAC_106,wireless_retroreflective,True,True,False,False,False,False,6,medium
O_ISAC_107,hybrid,True,True,True,True,True,True,39,high
O_ISAC_108,wireless_vlc,True,True,True,True,True,True,41,high
O_ISAC_109,hybrid,True,True,False,True,False,True,25,high
O_ISAC_110,wireless_vlc,True,True,False,True,True,True,21,high
O_ISAC_111,hybrid,True,True,True,True,True,True,32,high
O_ISAC_112,hybrid,True,True,False,True,True,True,42,high
O_ISAC_113,cabled_fibre,True,True,True,True,True,True,29,high
O_ISAC_114,hybrid,True,True,True,True,True,True,36,high
O_ISAC_115,wireless_fso,True,True,False,True,True,True,30,high
O_ISAC_116,wireless_uv,True,True,False,True,True,True,26,high
O_ISAC_117,hybrid,True,True,True,True,False,True,27,high
O_ISAC_118,wireless,True,True,False,True,False,True,24,high
O_ISAC_119,hybrid,False,False,True,True,True,True,30,high
O_ISAC_120,wireless_fso,True,True,False,True,False,True,31,high
O_ISAC_121,other,True,True,True,True,False,True,24,high
O_ISAC_122,other,False,False,True,True,True,True,25,high
O_ISAC_123,hybrid,True,True,True,True,True,True,32,high
O_ISAC_124,hybrid,False,False,False,True,True,True,25,high
O_ISAC_125,wireless,False,False,True,True,False,True,25,high
O_ISAC_126,hybrid,False,False,False,True,False,True,24,high
O_ISAC_127,wireless_fso,True,True,True,True,True,True,40,high
O_ISAC_128,cabled_fibre,True,True,False,True,False,True,24,high
O_ISAC_129,wireless_vlc,False,False,False,True,True,True,21,high
O_ISAC_130,hybrid,False,False,False,True,True,True,26,high
O_ISAC_131,wireless_vlc,False,False,True,True,False,True,23,high
O_ISAC_132,hybrid,True,True,True,True,True,True,39,high
O_ISAC_133,wireless_fso,False,False,False,True,False,True,24,high
O_ISAC_134,hybrid,False,False,False,True,False,True,24,high
O_ISAC_135,hybrid,False,True,True,True,True,True,26,high
O_ISAC_136,hybrid,True,True,True,True,True,True,34,high
O_ISAC_137,wireless_fso,True,True,False,True,False,True,24,high
O_ISAC_138,hybrid,True,True,True,True,False,True,29,high
O_ISAC_139,wireless,False,False,True,True,False,True,24,high
O_ISAC_140,wireless,False,False,False,True,False,True,20,high
O_ISAC_141,wireless,True,True,False,True,False,True,24,high
O_ISAC_142,hybrid,True,True,True,True,True,True,37,high
O_ISAC_143,wireless_vlc,False,False,False,True,True,True,21,high
O_ISAC_144,hybrid,False,True,False,True,False,True,19,high
O_ISAC_145,hybrid,True,True,True,True,True,True,39,high
O_ISAC_146,hybrid,False,False,False,True,True,True,21,high
O_ISAC_147,wireless_fso,False,False,False,True,False,True,19,high
O_ISAC_148,hybrid,False,False,False,True,False,True,18,high
O_ISAC_149,hybrid,False,False,False,True,True,True,22,high
O_ISAC_150,hybrid,False,False,True,True,True,True,29,high
O_ISAC_151,hybrid,False,False,False,True,False,True,19,high
O_ISAC_152,hybrid,True,True,True,True,True,True,37,high
O_ISAC_153,terahertz,False,False,False,True,True,True,25,high
O_ISAC_154,hybrid,False,False,False,True,True,True,19,high
O_ISAC_155,hybrid,False,False,False,True,False,True,18,high
O_ISAC_156,hybrid,True,True,True,True,True,True,35,high
O_ISAC_157,wireless,True,True,True,True,False,True,33,high
O_ISAC_158,hybrid,True,True,False,True,False,True,25,high
O_ISAC_159,hybrid,False,False,True,True,True,True,28,high
O_ISAC_160,wireless_rf,False,False,False,True,False,True,24,high
O_ISAC_161,hybrid,False,False,True,True,True,True,31,high
O_ISAC_162,hybrid,True,True,False,True,False,True,27,high
O_ISAC_163,hybrid,False,False,True,True,True,True,30,high
O_ISAC_164,hybrid,True,True,True,True,True,True,35,high
O_ISAC_165,hybrid,True,True,True,True,True,True,43,high
O_ISAC_166,hybrid,False,False,True,True,True,True,21,high
O_ISAC_167,hybrid,True,True,False,True,True,True,30,high
O_ISAC_171,hybrid,True,True,True,True,True,True,42,high
O_ISAC_172,cabled_fibre,False,False,True,True,True,True,26,high
O_ISAC_173,wireless_vlc,True,True,True,True,False,True,25,high
O_ISAC_185,wireless_vlc,False,False,True,True,True,True,25,high
O_ISAC_186,hybrid,True,True,False,True,True,True,26,high
O_ISAC_187,hybrid,True,True,True,True,True,True,32,high
O_ISAC_188,cabled_fibre,True,True,True,True,True,True,27,high
O_ISAC_189,hybrid,False,False,False,True,True,True,27,high
O_ISAC_190,cabled_fibre,False,False,False,True,True,True,25,high
O_ISAC_195,hybrid,True,True,True,True,True,True,36,high
O_ISAC_199,hybrid,False,False,False,True,True,True,27,high
O_ISAC_200,cabled_fibre,True,True,True,True,True,True,40,high
O_ISAC_202,cabled_fibre,False,False,True,True,True,True,30,high
O_ISAC_203,hybrid,True,True,False,True,True,True,29,high
O_ISAC_206,hybrid,True,True,True,True,False,True,26,high
O_ISAC_218,hybrid,False,False,True,True,True,True,34,high
O_ISAC_219,hybrid,False,False,True,True,True,True,36,high
O_ISAC_220,cabled_fibre,True,True,True,True,True,True,34,high
O_ISAC_237,hybrid,False,False,False,True,False,True,19,high
O_ISAC_241,hybrid,False,False,True,True,True,True,31,high
O_ISAC_242,hybrid,True,True,False,True,True,True,29,high
O_ISAC_245,wireless_fso,False,False,False,True,False,True,19,high
O_ISAC_248,cabled_fibre,False,False,False,True,True,True,25,high
O_ISAC_252,wireless_fso,False,False,False,True,True,True,22,high
O_ISAC_259,hybrid,True,True,True,True,False,True,29,high
O_ISAC_272,hybrid,True,True,False,True,False,True,26,high
O_ISAC_276,cabled_fibre,False,False,True,True,True,True,29,high
O_ISAC_280,hybrid,True,True,True,True,True,True,37,high
O_ISAC_283,hybrid,True,True,True,True,True,True,36,high
O_ISAC_286,hybrid,False,False,True,True,True,True,28,high
O_ISAC_288,hybrid,False,False,True,True,True,True,27,high
O_ISAC_291,hybrid,True,True,False,True,False,True,27,high
O_ISAC_300,hybrid,False,False,True,True,True,True,31,high
O_ISAC_301,hybrid,True,True,True,True,True,True,26,high
O_ISAC_303,wireless_vlc,True,True,True,True,True,True,40,high
O_ISAC_304,hybrid,True,True,True,True,True,True,34,high
O_ISAC_310,hybrid,False,False,True,True,True,True,29,high
O_ISAC_324,hybrid,True,True,True,True,True,True,38,high
O_ISAC_327,hybrid,True,True,True,True,True,True,38,high
O_ISAC_340,hybrid,False,False,True,True,True,True,26,high
O_ISAC_347,cabled_fibre,False,False,False,True,True,True,31,high
O_ISAC_348,hybrid,True,True,True,True,True,True,35,high
O_ISAC_349,hybrid,True,True,True,True,True,True,36,high
O_ISAC_350,hybrid,False,False,True,True,True,True,23,high
O_ISAC_351,hybrid,True,True,True,True,True,True,32,high
O_ISAC_354,wireless_vlc,True,True,True,True,True,True,36,high
O_ISAC_356,wireless_fso,False,True,True,True,True,True,29,high
O_ISAC_360,cabled_fibre,False,False,True,True,False,True,28,high
O_ISAC_368,hybrid,True,True,True,True,True,True,32,high
O_ISAC_371,wireless_vlc,False,False,False,True,True,True,21,high
O_ISAC_377,hybrid,True,True,True,True,True,True,35,high
O_ISAC_379,hybrid,True,True,True,True,True,True,32,high
O_ISAC_381,wireless_vlc,False,False,True,True,True,True,29,high
O_ISAC_386,wireless_vlc,True,True,True,True,True,True,25,high
O_ISAC_388,wireless_vlc,True,True,False,True,True,True,32,high
