paper_id,medium,scenario_index,opa_num_emitters,opa_num_elements,opa_steering_range_deg,opa_beamwidth_deg
O_ISAC_002,hybrid,0,10.0,,30.0,10.0
O_ISAC_005,hybrid,0,1.0,,30.0,10.0
O_ISAC_006,cabled_fibre,0,10.0,,10.0,1.0
O_ISAC_008,hybrid,0,,,60.0,
O_ISAC_009,wireless_vlc,0,0.0,,0.0,0.0
O_ISAC_012,wireless_fso,0,1.0,,10.0,1.0
O_ISAC_014,cabled_fibre,0,0.0,,0.0,0.0
O_ISAC_016,hybrid,0,10.0,,30.0,10.0
O_ISAC_018,hybrid,0,1.0,,10.0,1.0
O_ISAC_019,cabled_fibre,0,4.0,,30.0,10.0
O_ISAC_023,wireless_fso,0,10.0,,30.0,1.0
O_ISAC_024,cabled_fibre,0,0.0,,0.0,0.0
O_ISAC_025,cabled_fibre,0,10.0,,30.0,10.0
O_ISAC_026,hybrid,0,0.0,,0.0,0.0
O_ISAC_027,hybrid,0,1.0,,10.0,1.0
O_ISAC_028,cabled_fibre,0,0.0,,0.0,0.0
O_ISAC_029,hybrid,0,1.0,,30.0,10.0
O_ISAC_031,hybrid,0,1.0,,10.0,1.0
O_ISAC_032,cabled_fibre,0,10.0,,10.0,1.0
O_ISAC_033,cabled_fibre,0,10.0,,10.0,1.0
O_ISAC_036,hybrid,0,10.0,,30.0,10.0
O_ISAC_037,cabled_fibre,0,7.0,,10.0,1.0
O_ISAC_040,wireless_retroreflective,0,0.0,,0.0,0.0
O_ISAC_043,hybrid,0,10.0,,30.0,10.0
O_ISAC_045,cabled_fibre,0,0.0,,0.0,0.0
O_ISAC_046,cabled_fibre,0,0.0,,0.0,0.0
O_ISAC_047,hybrid,0,10.0,,30.0,10.0
O_ISAC_048,wireless_fso,0,1.0,,10.0,1.0
O_ISAC_049,wireless_vlc,0,0.0,,0.0,0.0
O_ISAC_050,wireless_vlc,0,0.0,,0.0,0.0
O_ISAC_052,hybrid,0,10.0,,30.0,10.0
O_ISAC_053,wireless_vlc,0,0.0,,0.0,0.0
O_ISAC_054,hybrid,0,4.0,,30.0,10.0
O_ISAC_055,wireless_fso,0,1.0,,10.0,1.0
O_ISAC_056,cabled_fibre,0,10.0,,10.0,10.0
O_ISAC_057,hybrid,0,0.0,,0.0,0.0
O_ISAC_060,wireless_fso,0,0.0,,0.0,0.0
O_ISAC_062,wireless_vlc,0,0.0,,0.0,0.0
O_ISAC_063,cabled_fibre,0,10.0,,10.0,1.0
O_ISAC_065,hybrid,0,10.0,,30.0,10.0
O_ISAC_066,hybrid,0,10.0,,30.0,10.0
O_ISAC_068,hybrid,0,10.0,,30.0,10.0
O_ISAC_071,hybrid,0,0.0,,0.0,0.0
O_ISAC_073,hybrid,0,1.0,,10.0,1.0
O_ISAC_075,retroreflective_optical,0,0.0,,0.0,0.0
O_ISAC_076,cabled_fibre,0,10.0,,10.0,1.0
O_ISAC_078,cabled_fibre,0,0.0,,0.0,0.0
O_ISAC_079,cabled_fibre,0,0.0,,0.0,0.0
O_ISAC_081,hybrid,0,10.0,,30.0,10.0
O_ISAC_084,wireless_vlc,0,0.0,,0.0,0.0
O_ISAC_090,cabled_fibre,0,0.0,,0.0,0.0
O_ISAC_091,wireless_fso,0,16.0,,30.0,1.0
O_ISAC_092,wireless_vlc,0,1.0,,10.0,10.0
O_ISAC_094,hybrid,0,10.0,,30.0,10.0
O_ISAC_098,wireless_fso,0,10.0,,30.0,10.0
O_ISAC_099,retroreflective,0,0.0,,0.0,0.0
O_ISAC_101,cabled_fibre,0,10.0,,10.0,1.0
O_ISAC_104,cabled_fibre,0,10.0,,10.0,1.0
O_ISAC_106,wireless_retroreflective,0,0.0,,0.0,0.0
O_ISAC_107,hybrid,0,0.0,,0.0,0.0
O_ISAC_108,wireless_vlc,0,0.0,,0.0,0.0
O_ISAC_108,wireless_vlc,1,0.0,,0.0,0.0
O_ISAC_109,hybrid,0,10.0,,30.0,10.0
O_ISAC_110,wireless_vlc,0,0.0,,0.0,0.0
O_ISAC_111,hybrid,0,,1.0,10.0,1.0
O_ISAC_112,hybrid,0,10.0,,30.0,10.0
O_ISAC_113,cabled_fibre,0,0.0,,0.0,0.0
O_ISAC_114,hybrid,0,1.0,,30.0,10.0
O_ISAC_115,wireless_fso,0,0.0,,0.0,0.0
O_ISAC_116,wireless_uv,0,0.0,,0.0,0.0
O_ISAC_117,hybrid,0,10.0,,10.0,1.0
O_ISAC_118,wireless,0,0.0,,0.0,0.0
O_ISAC_120,wireless_fso,0,4.0,,30.0,10.0
O_ISAC_121,other,0,10.0,,10.0,1.0
O_ISAC_123,hybrid,0,0.0,,0.0,0.0
O_ISAC_127,wireless_fso,0,0.0,,0.0,0.0
O_ISAC_128,cabled_fibre,0,0.0,,0.0,0.0
O_ISAC_132,hybrid,0,10.0,,30.0,10.0
O_ISAC_136,hybrid,0,10.0,,30.0,10.0
O_ISAC_137,wireless_fso,0,0.0,,0.0,0.0
O_ISAC_138,hybrid,0,0.0,,0.0,0.0
O_ISAC_141,wireless,0,0.0,,0.0,0.0
O_ISAC_142,hybrid,0,10.0,,30.0,10.0
O_ISAC_145,hybrid,0,10.0,,10.0,1.0
O_ISAC_152,hybrid,0,0.0,,0.0,0.0
O_ISAC_156,hybrid,0,0.0,,0.0,0.0
O_ISAC_157,wireless,0,0.0,,0.0,0.0
O_ISAC_158,hybrid,0,100.0,,10.0,1.0
O_ISAC_162,hybrid,0,10.0,,30.0,10.0
O_ISAC_164,hybrid,0,0.0,,0.0,0.0
O_ISAC_165,hybrid,0,10.0,,10.0,1.0
O_ISAC_167,hybrid,0,0.0,,0.0,0.0
O_ISAC_171,hybrid,0,16.0,,30.0,10.0
O_ISAC_173,wireless_vlc,0,0.0,,0.0,0.0
O_ISAC_186,hybrid,0,1.0,,10.0,1.0
O_ISAC_187,hybrid,0,10.0,,10.0,1.0
O_ISAC_188,cabled_fibre,0,0.0,,0.0,0.0
O_ISAC_195,hybrid,0,4.0,,30.0,10.0
O_ISAC_200,cabled_fibre,0,10.0,,10.0,1.0
O_ISAC_203,hybrid,0,10.0,,10.0,1.0
O_ISAC_206,hybrid,0,10.0,,30.0,10.0
O_ISAC_220,cabled_fibre,0,4.0,,10.0,1.0
O_ISAC_242,hybrid,0,1.0,,10.0,1.0
O_ISAC_259,hybrid,0,10.0,,30.0,10.0
O_ISAC_272,hybrid,0,10.0,,30.0,1.0
O_ISAC_280,hybrid,0,10.0,,30.0,10.0
O_ISAC_283,hybrid,0,1.0,,10.0,1.0
O_ISAC_291,hybrid,0,0.0,,0.0,0.0
O_ISAC_301,hybrid,0,0.0,,0.0,0.0
O_ISAC_303,wireless_vlc,0,10.0,,30.0,10.0
O_ISAC_304,hybrid,0,1.0,,10.0,1.0
O_ISAC_324,hybrid,0,10.0,,10.0,1.0
O_ISAC_327,hybrid,0,0.0,,0.0,0.0
O_ISAC_348,hybrid,0,0.0,,0.0,0.0
O_ISAC_349,hybrid,0,10.0,,30.0,10.0
O_ISAC_351,hybrid,0,0.0,,0.0,0.0
O_ISAC_354,wireless_vlc,0,0.0,,0.0,0.0
O_ISAC_368,hybrid,0,10.0,,10.0,1.0
O_ISAC_377,hybrid,0,2.0,,10.0,1.0
O_ISAC_379,hybrid,0,10.0,,30.0,10.0
O_ISAC_386,wireless_vlc,0,0.0,,0.0,0.0
O_ISAC_388,wireless_vlc,0,0.0,,0.0,0.0
