paper_id,n_scenarios,n_rate,n_drmin,n_drmin_eligible,n_dz,n_dz_eligible,n_sigma_r,n_crb,n_osnr,n_snr,n_plane_mixed,n_imdd_osnr_conflict,n_snr_ambiguous,n_dz_drmin_alias,n_governance_blocked,n_crq_candidate,n_crq_eligible
O_ISAC_001,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_002,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_003,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,2,0
O_ISAC_004,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O_ISAC_005,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_006,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_008,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O_ISAC_009,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_010,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
O_ISAC_011,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
O_ISAC_012,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_013,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
O_ISAC_014,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0
O_ISAC_015,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0
O_ISAC_016,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_018,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_019,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_020,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
O_ISAC_021,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_022,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_023,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_024,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
O_ISAC_025,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
O_ISAC_026,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_027,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_028,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0
O_ISAC_029,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_030,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0
O_ISAC_031,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_032,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_033,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0
O_ISAC_034,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0
O_ISAC_035,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0
O_ISAC_036,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_037,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
O_ISAC_038,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0
O_ISAC_039,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0
O_ISAC_040,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_041,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
O_ISAC_042,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0
O_ISAC_043,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_044,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_045,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
O_ISAC_046,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0
O_ISAC_047,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_048,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_049,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_050,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0
O_ISAC_051,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_052,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_053,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_054,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_055,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_056,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
O_ISAC_057,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_058,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_059,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_060,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_061,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_062,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
