paper_id,scenario_index,medium,task_type,tradeoff_type,coupling_mode,r_bps,drmin_m,drmin_eligible,dz_m,sigma_r_m,crb_value,osnr_db,snr_db,rx_detection_type,crq_candidate,crq_eligible,crq_delta_bps_per_m,plane_mixed,imdd_osnr_conflict,snr_ambiguous,dz_drmin_alias,governance_blocked
O_ISAC_001,0,wireless_vlc,localization,['rate_vs_rmse'],joint_waveform,1000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_002,0,hybrid,ranging|_localization_2d,rate_vs_rmse,joint_waveform,6000000000.0,0.01,True,0.01,0.01,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_003,0,wireless_vlc,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,1000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_003,1,wireless_vlc,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,1000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_004,0,hybrid,ranging|_localization_2d,rate_vs_rmse,joint_waveform,128000000000.0,,False,,,,,7.0,coherent,False,False,,False,False,False,False,False
O_ISAC_005,0,hybrid,ranging,rate_vs_rmse,resource_division,1000000000.0,10.0,True,10.0,1.0,1.0,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_006,0,cabled_fibre,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,100000000000.0,1.0,True,0.1,0.1,0.1,20.0,20.0,coherent,True,False,,True,False,False,False,True
O_ISAC_007,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,,,False,,,,,,coherent,False,False,,False,False,False,False,False
O_ISAC_008,0,hybrid,ranging,rate_vs_rmse,joint_waveform,4000000000.0,,False,,,,,14.0,coherent,False,False,,False,False,False,False,False
O_ISAC_009,0,wireless_vlc,ranging,rate_vs_rmse,resource_division,1000000000.0,0.01,True,0.01,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_010,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,117000000000.0,,False,,,,,22.0,direct,False,False,,False,False,False,False,False
O_ISAC_010,1,cabled_fibre,ranging,rate_vs_rmse,resource_division,140000000000.0,,False,,,,,20.0,direct,False,False,,False,False,False,False,False
O_ISAC_011,0,hybrid,ranging,rate_vs_rmse,joint_waveform,1000000000.0,0.01,True,,0.01,,,10.0,direct,True,True,100000000000.0,False,False,False,False,False
O_ISAC_012,0,wireless_fso,ranging|_localization_2d,['rate_vs_rmse'],resource_division,1000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_013,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,10000000000.0,15.0,True,,10.0,,,,coherent,True,True,666666666.6666666,False,False,False,False,False
O_ISAC_014,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,155000000.0,0.0,False,0.0,0.0,0.0,0.0,0.0,direct,False,False,,True,True,False,False,True
O_ISAC_015,0,wireless_vlc,localization_2d,rate_vs_rmse,joint_waveform,5000000000.0,0.1,True,,0.01,,20.0,10.0,direct,True,False,,True,True,False,False,True
