paper_id,title,reason,checks
O_ISAC_160,Intelligent Path Loss Prediction Approach Based on ISAC for ,NO_INTENT,
O_ISAC_218,Hybrid MRR-Assisted Long-Range SDMA for RO-ISAC Systems in I,NO_INTENT,
O_ISAC_327,Channel Characterization and Modeling for VLC-IoE Applicatio,NO_INTENT,
O_ISAC_368,A Technical Review of Integrated Sensing and Communication i,NO_INTENT,
O_ISAC_377,Photonics-aided integrated sensing and communications in mmW,NO_INTENT,
O_ISAC_001,Modulation Strategies for Robust Optical Wireless Communicat,Failed 2-of-4: 0 checks passed,
O_ISAC_002,Photonic Terahertz Integrated Sensing and Communication (ISA,Failed 2-of-4: 0 checks passed,
O_ISAC_003,Analysis of Visible Light-Based ISAC Channel Characteristics,Failed 2-of-4: 0 checks passed,
O_ISAC_004,Adiabatic-tapered few-mode-fiber-based system for integratin,Failed 2-of-4: 0 checks passed,
O_ISAC_005,Integrated Sensing and Communication for UAV Trajectory Opti,Failed 2-of-4: 0 checks passed,
O_ISAC_006,Recent Advancements and Challenges in Integrated Sensing and,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_007,Miniaturized optical fiber displacement probe with large-col,Failed 2-of-4: 0 checks passed,
O_ISAC_008,Wide-steering Integrated Sensing and Communication OPA-based,Failed 2-of-4: 0 checks passed,
O_ISAC_009,Integrated Positioning and Communication Relying on Wireless,Failed 2-of-4: 0 checks passed,
O_ISAC_010,High-speed DMT signal and power-over-fiber simultaneous tran,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_011,Retroreflective Optical ISAC Supporting 3D Positioning in In,Failed 2-of-4: 0 checks passed,
O_ISAC_012,Phase-Coded FMCW for Optical Integrated Sensing and Communic,Failed 2-of-4: 0 checks passed,
O_ISAC_013,Single-Ended > 100-km Distributed Vibration Sensor Based on ,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_014,Experimental Demonstration of Power over Fiber for Power Gri,Failed 2-of-4: 0 checks passed,
O_ISAC_015,Movable Access Point-Aided Integrated Visible Light Communic,Failed 2-of-4: 0 checks passed,
O_ISAC_016,Demonstration of Photonic Sub-THz ISAC System with Real-Time,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_017,Double-effect DNN-based DBP Scheme for Integrated Sensing an,Failed 2-of-4: 0 checks passed,
O_ISAC_018,Coexistence of Distributed Sensing and Ultra-Simple Coherent,Failed 2-of-4: 0 checks passed,
O_ISAC_019,Full-duplex Integrated Sensing and Communication System Base,Failed 2-of-4: 0 checks passed,
O_ISAC_020,Photonic Integrated Sensing and Communication System Harness,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_021,"Optical Integrated Sensing and Communication: Architectures,",Failed 2-of-4: 0 checks passed,
O_ISAC_022,Joint Visible Light Sensing and Communication Using m-CAP Mo,Failed 2-of-4: 0 checks passed,
O_ISAC_023,Free-Space Optical Integrated Sensing and Communication Base,Failed 2-of-4: 0 checks passed,
O_ISAC_024,Pre-compensation of LFM Sensing Probe via Integrated Sensing,Failed 2-of-4: 0 checks passed,
O_ISAC_025,Optical Transport Network Optimization Supporting Integrated,Failed 2-of-4: 0 checks passed,
O_ISAC_026,W-band Photonic-based Integration of Sensing and Communicati,Failed 2-of-4: 0 checks passed,
O_ISAC_027,Low Crosstalk Deep Ocean Salinity Monitoring at 2 µm Wavelen,Failed 2-of-4: 0 checks passed,
O_ISAC_028,Performance Improvement for Symmetric Carrierassisted Differ,Failed 2-of-4: 0 checks passed,
O_ISAC_029,THz Integrated Sensing and Communication With Full-Photonic ,Failed 2-of-4: 0 checks passed,
