paper_id,markdown_path,file_chars,TEXT_WEAK,hit_drmin,hit_dz,hit_osnr,hit_esnr,excerpt_drmin,excerpt_dz,excerpt_osnr,excerpt_esnr
O_ISAC_001,data/processed_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,20773,0,0,0,0,0,,,,
O_ISAC_002,data/processed_markdowns/O_ISAC_002/O_ISAC_002/O_ISAC_002.md,10566,0,1,0,0,0,"### **2. Photonic THz ISAC Waveform Design** :: we derive key sensing metrics for the LFM-PSK waveform, including range resolution, peak sidelobe ratio (PSLR), and Cramér-Rao lower bound (CRLB). Our theoretical findings are",,,
O_ISAC_003,data/processed_markdowns/O_ISAC_003/O_ISAC_003/O_ISAC_003.md,31142,0,0,0,0,0,,,,
O_ISAC_004,data/processed_markdowns/O_ISAC_004/O_ISAC_004/O_ISAC_004.md,11293,0,0,0,0,0,,,,
O_ISAC_005,data/processed_markdowns/O_ISAC_005/O_ISAC_005/O_ISAC_005.md,37071,0,0,0,0,0,,,,
O_ISAC_006,data/processed_markdowns/O_ISAC_006/O_ISAC_006/O_ISAC_006.md,28320,0,0,0,0,0,,,,
O_ISAC_007,data/processed_markdowns/O_ISAC_007/O_ISAC_007/O_ISAC_007.md,14931,0,0,0,0,0,,,,
O_ISAC_008,data/processed_markdowns/O_ISAC_008/O_ISAC_008/O_ISAC_008.md,16029,0,0,0,0,0,,,,
O_ISAC_009,data/processed_markdowns/O_ISAC_009/O_ISAC_009/O_ISAC_009.md,118872,0,0,0,0,0,,,,
O_ISAC_010,data/processed_markdowns/O_ISAC_010/O_ISAC_010/O_ISAC_010.md,24022,0,0,0,0,0,,,,
O_ISAC_011,data/processed_markdowns/O_ISAC_011/O_ISAC_011/O_ISAC_011.md,20223,0,0,0,0,0,,,,
O_ISAC_012,data/processed_markdowns/O_ISAC_012/O_ISAC_012/O_ISAC_012.md,14077,0,0,0,0,0,,,,
