paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_300,DRMIN_DEFENSIBLE,AMBIGUOUS,,data/processed_markdowns/O_ISAC_300/O_ISAC_300.md,data/extraction_results_v4/extraction_v4_unified.json[198]
O_ISAC_301,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_301/O_ISAC_301.md,data/extraction_results_v4/extraction_v4_unified.json[199]
O_ISAC_302,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_303,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_303/O_ISAC_303.md,data/extraction_results_v4/extraction_v4_unified.json[200]
O_ISAC_304,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_304/O_ISAC_304.md,data/extraction_results_v4/extraction_v4_unified.json[201]
O_ISAC_305,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_306,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_307,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_308,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_309,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_310,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_310/O_ISAC_310.md,data/extraction_results_v4/extraction_v4_unified.json[202]
O_ISAC_311,AMBIGUOUS,AMBIGUOUS,,,
