paper_id,gap_id,gap_label,coverage_score,justification_excerpt,where_in_paper,source_locator,confidence
O_ISAC_001,G1,Terminology harmonization,0,,,,0.6
O_ISAC_001,G2,Metric normalization,0,,,,0.6
O_ISAC_001,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_001,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_001,G5,Unified PHY framework/taxonomy,0,Keyword 'framework' present but not substantive,Modulation Strategies for Robust Optical Wireless Communications and Sensing in  > I. INTRODUCTION,Modulation Strategies for Robust Optical Wireless Communications and Sensing in  > I. INTRODUCTION (L19),0.6
O_ISAC_001,G6,System-level co-design,0,Keyword 'ris' present but not substantive,Modulation Strategies for Robust Optical Wireless Communications and Sensing in  > B. VLC CE-OFDM Receiver > III. VLC CE-OFDM PERFORMANCE ASSESSMENT,Modulation Strategies for Robust Optical Wireless Communications and Sensing in  > B. VLC CE-OFDM Receiver > III. VLC CE-OFDM PERFORMANCE ASSESSMENT (L103),0.6
O_ISAC_001,G7,Systematic methodology,0,,,,0.6
O_ISAC_013,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson C > II. PRINCIPLE > B. Theory of the Pearson-CC,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson C > II. PRINCIPLE > B. Theory of the Pearson-CC (L110),0.6
O_ISAC_013,G2,Metric normalization,0,Keyword 'rmse' present but not substantive,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson C > II. PRINCIPLE > E. Steps of PELT,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson C > II. PRINCIPLE > E. Steps of PELT (L162),0.6
O_ISAC_013,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_013,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_013,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_013,G6,System-level co-design,1,"int"" in OFDR. The vibration events on an FUT give rise to a variation in",Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson C > I. INTRODUCTION,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson C > I. INTRODUCTION (L72),0.8
O_ISAC_013,G7,Systematic methodology,0,,,,0.6
O_ISAC_014,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,Experimental Demonstration of Power over Fiber for Power Grid Application > I. INTRODUCTION,Experimental Demonstration of Power over Fiber for Power Grid Application > I. INTRODUCTION (L17),0.6
O_ISAC_014,G2,Metric normalization,0,,,,0.6
O_ISAC_014,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_014,G4,Cross-domain transfer,0,Keyword 'transfer' present but not substantive,Experimental Demonstration of Power over Fiber for Power Grid Application > I. INTRODUCTION,Experimental Demonstration of Power over Fiber for Power Grid Application > I. INTRODUCTION (L19),0.6
O_ISAC_014,G5,Unified PHY framework/taxonomy,0,,,,0.6
