paper_id,year,title,venue,doi,survey_class,modality_coverage,integration_depth,evidence_type,authority_weight,key_topics,scope_excerpt,scope_locator,limitations_excerpt,limitations_locator,methodology_excerpt,methodology_locator,source_path,confidence
O_ISAC_001,,,,,Other,Multi,True O-ISAC,Other,0.6,DAS/DFOS;Positioning;Waveform,This paper reviews key modulation strategies for OWC that support both robust communication and sensing functionalities.,Modulation Strategies for Robust Optical Wireless Communications and Sensing in  (L9),,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_001\O_ISAC_001.md,0.7
O_ISAC_013,,,,,Optical comm survey,Multi,True O-ISAC,Other,0.6,DAS/DFOS;Positioning;Waveform,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_013\O_ISAC_013.md,0.7
O_ISAC_014,,,,,Optical comm survey,Multi,True O-ISAC,Other,0.6,Waveform;Hardware,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_014\O_ISAC_014.md,0.7
O_ISAC_025,,,,,Other,VLC/LiFi,True O-ISAC,Other,0.6,Positioning;Waveform;Hardware,"This work has been supported by the EC Horizon Europe, SNS-JU projects 6G-SENSES project and ECO-ENET.",2. System Architecture > 4. Numerical results and Conclusions > Acknowledgements (L41),,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_025\O_ISAC_025.md,0.7
O_ISAC_028,,,,,Optical comm survey,Multi,True O-ISAC,Other,0.6,Waveform;Hardware,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_028\O_ISAC_028.md,0.7
O_ISAC_032,,,,,Optical comm survey,Multi,True O-ISAC,Other,0.6,DAS/DFOS;Hardware,,,"future directions for machine learning,"" *Nondestruct.",Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibrati > REFERENCES (L250),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_032\O_ISAC_032.md,0.7
O_ISAC_033,,,,,Multi-domain ISAC survey,Multi,Cross-modal,Other,0.6,DAS/DFOS;Positioning;Waveform,we review two recent methods that allow simultaneous data transmission and sensing on the same fiber.,Simultaneous Sensing and Communication in Optical Fibers > Introduction (L15),,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_033\O_ISAC_033.md,0.7
O_ISAC_036,,,,,Multi-domain ISAC survey,Multi,Cross-modal,Other,0.6,Positioning;Waveform;Hardware,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_036\O_ISAC_036.md,0.85
O_ISAC_039,,,,,Other,VLC/LiFi,True O-ISAC,Other,0.6,DAS/DFOS;Positioning;Waveform,this paper are list as follows.,Visible Light Integrated Positioning and Communication: A Multi-Task Federated L > 1 Introduction (L43),,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_039\O_ISAC_039.md,0.85
O_ISAC_046,,,,,Multi-domain ISAC survey,Multi,Cross-modal,Other,0.6,DAS/DFOS;Waveform;Hardware,This work | Co-wavelength-channel | 241.,Co-wavelength-channel Integration of Ultra-lowfrequency Distributed Acoustic Sen > II. EXPERIMENTAL SETUP (L36),,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_046\O_ISAC_046.md,0.7
