paper_id_or_label,modality_coverage,integration_depth,evidence_type,systematic_strength,G1,G2,G3,G4,G5,G6,G7,notes
O_ISAC_001,Multi,True O-ISAC,Other,Low,0,0,0,0,0,0,0,Other
O_ISAC_013,Multi,True O-ISAC,Other,Low,0,0,0,0,0,1,0,Optical comm survey
O_ISAC_014,Multi,True O-ISAC,Other,Low,0,0,0,0,0,0,0,Optical comm survey
O_ISAC_025,VLC/LiFi,True O-ISAC,Other,Low,0,0,0,0,0,0,0,Other
O_ISAC_028,Multi,True O-ISAC,Other,Low,0,0,0,0,0,0,0,Optical comm survey
O_ISAC_032,Multi,True O-ISAC,Other,Low,0,0,0,0,0,1,0,Optical comm survey
O_ISAC_033,Multi,Cross-modal,Other,Low,0,0,0,0,0,1,0,Multi-domain ISAC survey
O_ISAC_036,Multi,Cross-modal,Other,Low,0,0,0,0,0,1,0,Multi-domain ISAC survey
O_ISAC_039,VLC/LiFi,True O-ISAC,Other,Low,0,0,0,0,1,1,0,Other
O_ISAC_046,Multi,Cross-modal,Other,Low,0,0,0,0,0,0,0,Multi-domain ISAC survey
O_ISAC_047,Multi,Cross-modal,Other,Medium,0,0,0,0,0,0,0,Multi-domain ISAC survey
O_ISAC_050,VLC/LiFi,True O-ISAC,Other,Low,0,0,0,0,1,1,0,Other
O_ISAC_053,Multi,True O-ISAC,Other,Low,0,0,0,0,0,1,0,Other
O_ISAC_055,FSO,True O-ISAC,Other,Low,0,1,0,0,0,1,0,Other
O_ISAC_061,Photo-THz,True O-ISAC,Other,Medium,0,1,0,0,0,1,0,Other
O_ISAC_062,VLC/LiFi,True O-ISAC,Other,Low,0,1,0,0,0,1,0,Other
O_ISAC_080,Multi,True O-ISAC,Other,Low,0,0,1,0,0,1,0,Optical comm survey
O_ISAC_082,Multi,Cross-modal,Other,Medium,0,0,0,0,0,1,0,Multi-domain ISAC survey
O_ISAC_161,Multi,True O-ISAC,Other,Low,1,0,0,0,1,1,0,Other
O_ISAC_163,Photo-THz,True O-ISAC,Other,Low,1,0,0,0,1,1,0,Other
This Survey,Multi,Cross-modal,Survey,High,3,3,3,3,3,3,3,PRISMA-based O-ISAC survey
