paper_id,year,title,venue,doi,tier,subdomain_label,modality_coverage,integration_depth,evidence_type,scope_excerpt,scope_locator,limitations_excerpt,limitations_locator,methodology_excerpt,methodology_locator,source_path,confidence,reason_if_tier2
O_ISAC_163,2025,Multi-Functional and Hybrid RIS for ISAC - A Survey,IEEE COMST,10.1109/COMST.2024.3519785,1,O-ISAC,Photo-THz,True O-ISAC,Survey,This survey provides an up-to-date summary of the state of the art.,The Emergence of Multi-Functional and Hybrid Reconfigurable Intelligent Surfaces (L5),,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_163\O_ISAC_163.md,0.9,
O_ISAC_303,2024,"Integrated sensing, lighting and communication based on visible light communication: A review",Digital Signal Processing (Elsevier),10.1016/j.dsp.2023.104340,1,O-ISAC,Multi,True O-ISAC,Overview,This review is organized as follows.,Keywords: Visible light communication Visible light sensing Integrated sensing a > Introduction (L49),,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_303\O_ISAC_303.md,0.9,
O_ISAC_003,2025,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,IEEE Wireless Communications and Networking Confer,NR,2,VLC_positioning,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_003\O_ISAC_003.md,0.75,comparative_table
O_ISAC_006,2024,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,Journal of Lightwave Technology,10.1109/JLT.2024.3391234,2,DFOS_DAS,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_006\O_ISAC_006.md,0.75,comparative_table
O_ISAC_009,2025,Integrated Positioning and Communication Relying on Wireless Optical OFDM,IEEE Journal on Selected Areas in Communications,10.1109/JSAC.2025.3543532,2,VLC_positioning,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md,0.75,comparative_table
O_ISAC_013,2025,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficie,Journal of Lightwave Technology,10.1109/JSEN.2025.3554542,2,DFOS_DAS,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_013\O_ISAC_013.md,0.75,comparative_table
O_ISAC_016,2024,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offl,Journal of Lightwave Technology,NR,2,Optical_transmission,Multi,Partial,Overview,we present a photonic sub-THz integrated sensing and communication system.,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communi (L9),,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_016\O_ISAC_016.md,0.75,comparative_table
O_ISAC_021,2023,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",IEEE Journal,10.1109/IOTM.001.2300196,2,FSO_channel,FSO,Partial,Overview,,,future research of O-ISAC.,FUTURE TRENDS AND CHALLENGES FOR O-ISAC > ADVANCED HARDWARE FOR O-ISAC > Performance Metrics for O-ISAC (L177),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_021\O_ISAC_021.md,0.75,comparative_table
O_ISAC_022,2022,Joint Visible Light Sensing and Communication Using m-CAP Modulation,IEEE Transactions on Broadcasting,10.1109/TBC.2022.3201649,2,VLC_positioning,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_022\O_ISAC_022.md,0.75,comparative_table
O_ISAC_031,2023,Photonics-enabled full-duplex millimeter-wave integrated sensing and communication,Journal/Conference,DOI,2,VLC_positioning,General,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_031\O_ISAC_031.md,0.75,comparative_table
O_ISAC_035,2025,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,IEEE Journal of Lightwave Technology,10.1109/JLT.2025.3592208,2,FSO_channel,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_035\O_ISAC_035.md,0.75,comparative_table
O_ISAC_041,2024,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G ,IEEE Journal,10.1109/JIOT.2024.3414863,2,DFOS_DAS,Fiber,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_041\O_ISAC_041.md,0.75,comparative_table
O_ISAC_044,2024,Photonic-Based W-Band Integrated Sensing and Communication System With Flexible Time-Frequency Divis,IEEE Journal of Lightwave Technology,10.1109/JLT.2024.3354070,2,VLC_positioning,Multi,Partial,Overview,this paper provides a detailed analysis of the causes of system distance error and corresponding solutions.,Photonic-Based W-Band Integrated Sensing and Communication System With Flexible  (L23),"future directions,"" in *Proc.",REFERENCES (L445),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_044\O_ISAC_044.md,0.75,taxonomy_section;comparative_table
O_ISAC_047,2025,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal ,Journal of Lightwave Technology,10.1109/JLT.2025.3602312,2,VLC_positioning,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_047\O_ISAC_047.md,0.75,comparative_table
O_ISAC_053,2021,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller,Journal/Conference,DOI,2,VLC_positioning,Multi,Partial,Overview,,,"future work we aim for increasing the accuracy of the rotation angle determination, e.",III. EXPERIMENTAL SETUP (L97),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_053\O_ISAC_053.md,0.75,comparative_table
O_ISAC_054,2024,Optical Integrated Sensing and Communication With Light-Emitting Diode,Journal of the Optical Society of America,10.1109/JIOT.2024.3523045,2,VLC_positioning,General,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_054\O_ISAC_054.md,0.75,comparative_table
O_ISAC_058,2024,Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capabil,IEEE Transactions on Microwave Theory and Techniqu,10.1109/TMTT.2024.3355936,2,FSO_channel,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_058\O_ISAC_058.md,0.75,comparative_table
O_ISAC_060,2022,A Unified Waveform for Optical Wireless Integrated Sensing and Communication,IEEE Journal,10.1109/JSTQE.2022.3152125,2,FSO_channel,General,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_060\O_ISAC_060.md,0.75,comparative_table
O_ISAC_062,2024,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algori,IEEE Transactions on Signal Processing,10.1109/TSP.2024.3383285,2,VLC_positioning,VLC/LiFi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_062\O_ISAC_062.md,0.75,comparative_table
O_ISAC_063,2024,Simple and Precise Characterization of Full-Field Frequency Response for Coherent TOSA,Journal of Lightwave Technology,10.1109/JLT.2024.3352493,2,Optical_transmission,Fiber,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_063\O_ISAC_063.md,0.75,comparative_table
O_ISAC_068,2023,Joint Communication and Sensing Prospects: Potential Through Visible Light,Journal/Conference,DOI:10.1109/ACCESS.2023.3294091,2,VLC_positioning,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_068\O_ISAC_068.md,0.75,comparative_table
O_ISAC_070,2025,Exploring Photonic THz-ISAC Systems with Integrated Waveforms,IEEE Journal,10.1109/JLT.2025.3057415,2,Optical_transmission,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_070\O_ISAC_070.md,0.75,comparative_table
O_ISAC_076,2024,Integrated Communication and Enhanced Forward Phase-Based Sensing Based on Frequency-Domain Pilot To,Journal of Lightwave Technology,10.1109/JLT.2024.3510371,2,Optical_transmission,Fiber,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_076\O_ISAC_076.md,0.75,comparative_table
O_ISAC_077,2023,THz-over-fiber system with orthogonal chirp division multiplexing for integrated sensing and communi,Journal of Lightwave Technology,10.1109/JLT.2023.3265625,2,Optical_transmission,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_077\O_ISAC_077.md,0.75,comparative_table
O_ISAC_081,2023,Traveling Wave Antenna-on-Display featuring Simultaneous 2-D Phase and Frequency Beam Scanning for I,IEEE Journal,10.1109/JOURNAL.2023.3265745,2,VLC_positioning,VLC/LiFi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_081\O_ISAC_081.md,0.75,comparative_table
O_ISAC_084,2024,LumiPane: Intelligent Interaction through Gesture Sensing and Ambient Light Communication,IEEE,NR,2,VLC_positioning,VLC/LiFi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_084\O_ISAC_084.md,0.75,comparative_table
O_ISAC_089,2023,"Free Space Optical Communication for Inter-Satellite Link: Architecture, Potentials and Trends",IEEE Communications Magazine,10.1109/MCOM.002.2300024,2,VLC_positioning,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_089\O_ISAC_089.md,0.75,comparative_table
O_ISAC_090,2025,Demonstration of High Sensitivity Detection and High Precision Localization of Vibrations in Bidirec,Journal of Lightwave Technology,10.1109/JLT.2025.3593142,2,DFOS_DAS,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_090\O_ISAC_090.md,0.75,comparative_table
O_ISAC_093,2025,Multi-Modal Integrated Sensing and Communication in Internet of Things With Large Language Models,IEEE,10.1109/MIOT.2025.3575888,2,VLC_positioning,General,Partial,Overview,,,future research on interpretable AI models.,C. Performance-Power Trade-Off > E. INTERPRETABILITY OF MULTI-MODAL LLMS (L188),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_093\O_ISAC_093.md,0.75,comparative_table
O_ISAC_160,2024,Intelligent Path Loss Prediction Approach Based on ISAC for V2X,IEEE Open Journal of Vehicular Technology,10.1109/OJVT.2024.3386733,2,VLC_positioning,Photo-THz,Partial,Overview,,,"future directions,"" *IEEE Veh.",REFERENCES (L311),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_160\O_ISAC_160.md,0.75,comparative_table
O_ISAC_161,2025,"ISAC Transceiver Hardware Architectures, Technologies, and Trends",IEEE J-STAEQ,10.1109/JSTEAP.2025.3610564,2,VLC_positioning,Photo-THz,Partial,Overview,"By synthesizing the current state-of-the-art and highlighting open challenges, this review aims to serve as a valuable reference for researchers and e",Introduction (L17),Future research perspective for hardware ISAC developments.,CHALLENGES AND FUTURE RESEARCH DIRECTIONS > Hardware Miniaturization and Cost (L574),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_161\O_ISAC_161.md,0.75,intent_statement;taxonomy_section;comparative_table
O_ISAC_171,2025,Frequency-Comb-Steered Ultrawideband Quasi-True-Time-Delay Beamformer for Integrated Sensing and Com,Nature Communications,10.1038/s41467-025-62854-z,2,FSO_channel,Multi,Partial,Overview,,,Future work will focus on miniaturization and integration of the system.,Frequency-comb-steered ultrawideband quasi-true-time-delay beamformer for integr > Principle of frequency-comb-steered linear quasi-TTD beamformer > Frequency-comb-steered two-dimensional quasi-TTD beamformer > Discussion (L160),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_171\O_ISAC_171.md,0.75,comparative_table
O_ISAC_187,2025,Photonic-aided Doppler-robust ISAC system based on index modulation and chirp multiplexing,Optics Express,https://doi.org/10.1364/OE.564416,2,Optical_transmission,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_187\O_ISAC_187.md,0.75,comparative_table
O_ISAC_189,2025,Integrated Ultra-Large Dynamic Vibration Sensing with Fronthaul Analog Radio-over-Fiber Transmission,Photonics Research,https://doi.org/10.1364/PRJ.553098,2,DFOS_DAS,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_189\O_ISAC_189.md,0.75,comparative_table
O_ISAC_199,2025,Integrated Sensing and Communication System - MIMO FSO with FBG Sensors for 6G IoT Applications,"Engineering Science and Technology, an Internation",Not Reported,2,FSO_channel,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_199\O_ISAC_199.md,0.75,comparative_table
O_ISAC_218,2025,Hybrid MRR-Assisted Long-Range SDMA for RO-ISAC Systems in Industry IoT Applications,IEEE,Not Reported,2,VLC_positioning,General,Partial,Overview,,,"future research trends,"" *IEEE Communications Magazine*, vol.","2 A DC current, and provides a 5 GHz bandwidth—sufficient to accommodate the OFD > B. Impact of OSR and SNR on Peak Detection Accuracy > REFERENCES (L372)",,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_218\O_ISAC_218.md,0.75,comparative_table
O_ISAC_219,2025,"Multiuser Retroreflective Optical ISAC: Waveform Design, Joint Sensing and Multiple Access",IEEE,Not reported,2,VLC_positioning,General,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_219\O_ISAC_219.md,0.75,comparative_table
O_ISAC_252,2025,An Adaptive Control System for Satellite-Ground Laser Communication Based on Integrated Sensing and ,OECC/PSC 2025,NR,2,FSO_channel,FSO,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_252\O_ISAC_252.md,0.75,comparative_table
O_ISAC_280,2024,Integration of endogenous sensing and communication based on photonics-enabled cellular base station,Optics Express,Not Reported,2,VLC_positioning,Fiber,Partial,Overview,,,"future directions,"" [IEEE Access](https://doi.","Integration of endogenous sensing and communication based on photonics-enabled c > YANG ZHAO, JUN WAN, SHAOFU XU, AND WEIWEN ZOU\ > References (L242)",,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_280\O_ISAC_280.md,0.75,comparative_table
O_ISAC_300,2024,Preamble-Free Synchronization Based on Dual-chirp Waveforms for Photonic THz-ISAC,Journal of Lightwave Technology,10.1109/JLT.2023.3344788,2,Optical_transmission,Photo-THz,Partial,Overview,,,"future directions,"" *IEEE Wireless Commun*, vol.",V. CONCLUSION > REFERENCES (L284),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_300\O_ISAC_300.md,0.75,comparative_table
O_ISAC_310,2024,Simulation of Constant-envelope THz Integrated Sensing and Communication System based on Photonics w,Unknown,Unknown,2,VLC_positioning,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_310\O_ISAC_310.md,0.75,comparative_table
O_ISAC_327,2024,Channel Characterization and Modeling for VLC-IoE Applications in 6G: A Survey,IEEE Internet of Things Journal,10.1109/JIOT.2024.3430326,2,VLC_positioning,VLC/LiFi,Partial,Survey,,,future research directions are discussed in each part.,VI. CONCLUSION (L679),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_327\O_ISAC_327.md,0.75,title_keyword;comparative_table
O_ISAC_349,2023,Radar-Centric Photonic Terahertz Integrated Sensing and Communication System Based on LFM-PSK Wavefo,IEEE Trans. Microwave Theory and Techniques,10.1109/TMTT.2023.3267546,2,Optical_transmission,Photo-THz,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_349\O_ISAC_349.md,0.75,comparative_table
O_ISAC_351,2023,Integrated high precision time-of-flight depth sensing and optical communication based on Hamiltonia,Optics Communications,Not reported,2,VLC_positioning,Multi,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_351\O_ISAC_351.md,0.75,comparative_table
O_ISAC_368,2023,A Technical Review of Integrated Sensing and Communication in Optical Transmission System,Review / Conference,NR,2,Optical_transmission,Fiber,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_368\O_ISAC_368.md,0.75,title_keyword;comparative_table
O_ISAC_377,2022,Photonics-aided integrated sensing and communications in mmW bands based on a DC-offset QPSK-encoded,Optica Open,Not Reported,2,Optical_transmission,General,Partial,Overview,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_377\O_ISAC_377.md,0.75,comparative_table
