paper_id,section2_anchor,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_061,II-D,AMBIGUOUS,ESNR_PLANE,RES_COOC|ESNR_TEXT|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_061\O_ISAC_061.md,data/ext_res_v4/extraction_v4_unified.json[60]
O_ISAC_062,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_062\O_ISAC_062.md,data/ext_res_v4/extraction_v4_unified.json[61]
O_ISAC_063,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_063\O_ISAC_063.md,data/ext_res_v4/extraction_v4_unified.json[62]
O_ISAC_064,II-UNK,AMBIGUOUS,AMBIGUOUS,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_064\O_ISAC_064.md,data/ext_res_v4/extraction_v4_unified.json[63]
O_ISAC_065,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_065\O_ISAC_065.md,data/ext_res_v4/extraction_v4_unified.json[64]
O_ISAC_066,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_066\O_ISAC_066.md,data/ext_res_v4/extraction_v4_unified.json[65]
O_ISAC_067,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_067\O_ISAC_067.md,data/ext_res_v4/extraction_v4_unified.json[66]
O_ISAC_068,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_068\O_ISAC_068.md,data/ext_res_v4/extraction_v4_unified.json[67]
O_ISAC_069,II-D,AMBIGUOUS,AMBIGUOUS,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_069\O_ISAC_069.md,data/ext_res_v4/extraction_v4_unified.json[68]
O_ISAC_070,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_070\O_ISAC_070.md,data/ext_res_v4/extraction_v4_unified.json[69]
O_ISAC_071,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_071\O_ISAC_071.md,data/ext_res_v4/extraction_v4_unified.json[70]
O_ISAC_072,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_072\O_ISAC_072.md,data/ext_res_v4/extraction_v4_unified.json[71]
