paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_276,AMBIGUOUS,ESNR_PLANE,,data/proc_markdowns/O_ISAC_276/O_ISAC_276.md,data/ext_res_v4/extraction_v4_unified.json[192]
O_ISAC_277,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_278,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_279,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_280,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_280/O_ISAC_280.md,data/ext_res_v4/extraction_v4_unified.json[193]
O_ISAC_281,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_282,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_283,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_283/O_ISAC_283.md,data/ext_res_v4/extraction_v4_unified.json[194]
O_ISAC_284,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_285,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_286,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_286/O_ISAC_286.md,data/ext_res_v4/extraction_v4_unified.json[195]
O_ISAC_287,AMBIGUOUS,AMBIGUOUS,,,
