paper_id,fidelity_score,qa_status,title,score,char_count,headers_found,fig_count,has_bib,r_text,r_struct,r_fig,r_bib,md_path
COMST_001,0.88,qa_ok,6G Communication New Paradigm The Integration of Autonomous Aerial Vehicles and Intelligent Reflecting Surfaces,0.88,256789,3,18,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_001\COMST_001.md
COMST_002,0.94,qa_ok,A Comprehensive Survey on Full-Duplex Communication Current Solutions- Future Trends- and Open Issues,0.94,408939,4,29,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_002\COMST_002.md
COMST_003,0.88,qa_ok,A Comprehensive Survey on Radio Resource Management in 5G HetNets Current Solutions- Future Trends and Open Issues,0.88,284166,3,29,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_003\COMST_003.md
COMST_004,0.88,qa_ok,A Survey and Comparison of Post-Quantum and Quantum Blockchains,0.88,283325,3,7,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_004\COMST_004.md
COMST_005,0.94,qa_ok,A Survey of Beam Management for mmWave and THz Communications Towards 6G,0.94,297149,4,18,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_005\COMST_005.md
COMST_006,0.82,qa_ok,A Survey of Important Issues in Quantum Computing and Communications,0.82,276065,2,16,True,1.0,0.4,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_006\COMST_006.md
COMST_007,0.94,qa_ok,A Survey of mmWave-Based Human Sensing Technology- Platforms and Applications,0.94,247128,4,29,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_007\COMST_007.md
COMST_008,0.88,qa_ok,A Survey of Quantum Internet Protocols From a Layered Perspective,0.88,212128,3,17,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_008\COMST_008.md
COMST_009,1.0,qa_ok,A Survey of Security in UAVs and FANETs Issues- Threats- Analysis of Attacks- and Solutions,1.0,397545,5,9,True,1.0,1.0,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_009\COMST_009.md
COMST_010,0.88,qa_ok,A Survey on Approximate Edge AI for Energy Efficient Autonomous Driving Services,0.88,306199,3,14,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_010\COMST_010.md
