path,type,why_relevant
"drafts/section_01_introduction.md",markdown,organization
"drafts/section_02_fundamentals_draft.md",markdown,organization
"drafts/section_03_methodology.md",markdown,organization
"drafts/section_04_taxonomy.md",markdown,organization
"drafts/section_05_template.md",markdown,organization
"drafts/section_06_draft.md",markdown,organization
"drafts/section6_20260217_143141/section_06_camera_ready.md",markdown,organization
"review_package/section_01_introduction.md",markdown,organization
"analysis/VII_ev_v2/axis_definitions.md",markdown,section7
"analysis/VII_ev_v2/mapping_rules.md",markdown,section7
"analysis/VII_ev_v2/s7f_app_sum_tbl.csv",csv,section7
"analysis/VII_ev_v2/section7F_transfer_map.csv",csv,section7
"analysis/VII_ev_v2/s7f_micro_dom_cnts.csv",csv,section7
"analysis/VII_ev_v2/s7f_macro_med_cov.csv",csv,section7
"analysis/VII_ev_v2/section7F_paper_macro_map.csv",csv,section7
"analysis/VIII_ev_v1/axis_definitions.md",markdown,section8
"analysis/VIII_ev_v1/mapping_rules.md",markdown,section8
"analysis/VIII_ev_v1/section8F_research_agenda.csv",csv,section8
"analysis/VIII_ev_v1/s8f_pap_chal_map.csv",csv,section8
"analysis/VIII_ev_v1/section8G_cross_section_report.md",markdown,section8
"analysis/nb/Section7_Applications_Evidence_Lab.ipynb",notebook,section7
"analysis/nb/Section8_OpenChallenges_Roadmap_Evidence_Lab.ipynb",notebook,section8
"writing_recipes/COMST_master_recipe.md",markdown,style
"writing_recipes/manifest.json",json,style
"writing_recipes/README.md",markdown,style
"docs/surv_write_guide.md",markdown,style
"memory-bank/master_writing_guide.md",markdown,style
"memory-bank/introduction_templates.md",markdown,style
"memory-bank/body_section_templates.md",markdown,style
"memory-bank/surveyOutline.md",markdown,style
"memory-bank/fileMap.md",markdown,style
"manuscript/comst_template.tex",tex,build
"docs/README.md",markdown,build
"docs/daily_flow.md",markdown,build
"analysis/README.md",markdown,bib
"scripts/generate_bibtex.py",python,bib
"data/references.bib",bib,bib
"analysis/refs.bib",bib,bib
"data/bib_log.json",json,bib
"analysis/man_v1/section_map.md",markdown,manifest
"analysis/man_v1/stylekit_paths.md",markdown,manifest
"analysis/man_v1/build_contract.md",markdown,manifest
