Track_ID,Document Title,Authors,Publication Title,Publication Year,DOI,CATEGORY,Title,Year,Venue,Abstract
O_ISAC_001,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,B. M. S. R. Rosmaninho; V. N. H. Silva; P. P. Monteiro; M. C. R. Medeiros,2025 25th Anniversary International Conference on Transparent Optical Networks (ICTON),2025.0,10.1109/ICTON67126.2025.11125210,WIRELESS,,,,
O_ISAC_002,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,L. Zhang; Z. Lyu; O. Ozolins; X. Pang; X. Yu,2025 Optical Fiber Communications Conference and Exhibition (OFC),2025.0,,WIRELESS,,,,
O_ISAC_003,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,P. Dong; P. Tang; Y. Yin; L. Tian; J. Zhang,2025 IEEE Wireless Communications and Networking Conference (WCNC),2025.0,10.1109/WCNC61545.2025.10978645,WIRELESS,,,,
O_ISAC_004,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication,Q. Huang; Y. Li; O. Xu; X. Dong; S. Ertman; T. R. Woliński; P. Ping Shum; Y. Qin,2025 23rd International Conference on Optical Communications and Networks (ICOCN),2025.0,10.1109/ICOCN67308.2025.11145535,FIBER,,,,
O_ISAC_005,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,M. Nafees; M. Baniasadi; J. R. Hopgood; M. Safari; J. S. Thompson,2025 IEEE Wireless Communications and Networking Conference (WCNC),2025.0,10.1109/WCNC61545.2025.10978163,WIRELESS,,,,
O_ISAC_006,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,Y. Wu; C. Xu; F. Chen; Y. Wang; G. Wu; P. Xin; Z. Chen; P. Zhan; Z. Zhou; Z. Zhang; W. Ma; M. Li; J. Yan; M. Pa; Y. Li; Y. Zhao; J. Zhang,2024 IEEE 24th International Conference on Communication Technology (ICCT),2024.0,10.1109/ICCT62411.2024.10946617,FIBER,,,,
O_ISAC_007,Miniaturized optical fiber displacement probe with large-collection-angle,C. Wu; X. Hou; J. Zhu; L. Wu,2025 23rd International Conference on Optical Communications and Networks (ICOCN),2025.0,10.1109/ICOCN67308.2025.11145514,FIBER,,,,
O_ISAC_008,Wide-Steering Integrated Sensing and Communication OPA-Based Lidar Design with Joint Waveform and Thinned Antenna,Y. Chen; X. Liao; J. Xiao; X. Wang; M. Ye; Y. Yu; C. Wang,2025 30th OptoElectronics and Communications Conference (OECC) and 2025 International Conference on Photonics in Switching and Computing (PSC),2025.0,10.23919/OECC/PSC62146.2025.11111436,WIRELESS,,,,
O_ISAC_009,Integrated Positioning and Communication Relying on Wireless Optical OFDM,C. Xu; C. Masouros; S. Sugiura; P. Petropoulos; R. G. Maunder; L. -L. Yang; H. Haas; L. Hanzo,IEEE Journal on Selected Areas in Communications,2025.0,10.1109/JSAC.2025.3543532,WIRELESS,,,,
O_ISAC_010,High-Speed DMT Signal and Power-Over-Fiber Simultaneous Transmission Over Weakly-Coupled Multicore Fiber,W. Chen; J. Li; X. Yu; J. Zhang; S. Fu; Y. Qin,2025 13th International Conference on Intelligent Computing and Wireless Optical Communications (ICWOC),2025.0,10.1109/ICWOC65853.2025.11150794,FIBER,,,,
O_ISAC_011,Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments,H. Wang; Z. Zeng; C. Chen; B. Zhu; S. Shao; M. Liu,2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC),2024.0,10.1109/ACP/IPOC63121.2024.10809915,WIRELESS,,,,
O_ISAC_012,Phase-Coded FMCW for Optical Integrated Sensing and Communication,T. Zhang; Z. Yan; A. Pang; A. Dang,2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC),2024.0,10.1109/ACP/IPOC63121.2024.10809937,WIRELESS,,,,
O_ISAC_013,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient,H. Guo; K. Liu; Y. Li; J. Liu; H. Wang; J. Deng; J. Jiang; T. Liu; Z. Ding,IEEE Sensors Journal,2025.0,10.1109/JSEN.2025.3554542,FIBER,,,,
O_ISAC_014,Experimental Demonstration of Power over Fiber for Power Grid Application,Z. Zeng; C. Chen; X. Lin; W. Chen; J. Li; Y. Qin,2024 22nd International Conference on Optical Communications and Networks (ICOCN),2024.0,10.1109/ICOCN63276.2024.10648387,FIBER,,,,
O_ISAC_015,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,Z. Saghir; S. Aboagye,IEEE Wireless Communications Letters,2025.0,10.1109/LWC.2024.3521192,WIRELESS,,,,
O_ISAC_016,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,M. Lei; Z. Lyu; Q. Zhou; J. Zhang; H. Li; B. Hua; J. Zhang; Y. Cai; J. Ding; X. Chen; L. Zhang; J. Yu; M. Zhu,2024 22nd International Conference on Optical Communications and Networks (ICOCN),2024.0,10.1109/ICOCN63276.2024.10648485,FIBER,,,,
O_ISAC_017,Double-effect DNN-based DBP Scheme for Integrated Sensing and Communications (ISAC),F. Li; X. Zhou; Q. Fan; Y. Gao; J. Huo; J. Yuan; K. Long,2022 Optical Fiber Communications Conference and Exhibition (OFC),2022.0,,WIRELESS,,,,
O_ISAC_018,Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network,M. Liu; J. Wang; C. Liu; C. Yu; C. Lu,Journal of Lightwave Technology,2025.0,10.1109/JLT.2025.3555486,FIBER,,,,
O_ISAC_019,Full-Duplex Integrated Sensing and Communication System Based on Microwave Photonics,W. Wang; G. Zhang; H. Wen; J. Zhang,2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC),2024.0,10.1109/ACP/IPOC63121.2024.10809573,FIBER,,,,
O_ISAC_020,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring,S. Chen; K. Zhu; J. Han; Q. Sui; Z. Li,IEEE Communications Magazine,2022.0,10.1109/MCOM.002.2200191,FIBER,,,,
O_ISAC_021,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",Y. Wen; F. Yang; J. Song; Z. Han,IEEE Internet of Things Magazine,2024.0,10.1109/IOTM.001.2300196,WIRELESS,,,,
O_ISAC_022,Joint Visible Light Sensing and Communication Using m-CAP Modulation,L. Shi; B. Béchadergue; L. Chassagne; H. Guan,IEEE Transactions on Broadcasting,2023.0,10.1109/TBC.2022.3201649,WIRELESS,,,,
O_ISAC_023,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,Y. Wen; F. Yang; J. Song; Z. Han,IEEE Internet of Things Journal,2025.0,10.1109/JIOT.2024.3469279,WIRELESS,,,,
O_ISAC_024,Pre-Compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,L. Maoqi; W. Jingchuan; L. Chen; Y. Changyuan; L. Chao,2025 30th OptoElectronics and Communications Conference (OECC) and 2025 International Conference on Photonics in Switching and Computing (PSC),2025.0,10.23919/OECC/PSC62146.2025.11111272,FIBER,,,,
O_ISAC_025,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,M. Anastasopoulos; J. Gutiérrez; A. Tzanakaki,2025 Optical Fiber Communications Conference and Exhibition (OFC),2025.0,,WIRELESS,,,,
O_ISAC_026,W-band Photonic-based Integration of Sensing and Communication with Frequency-division Multiplexed Waveforms in Fiber-wireless Integrated Network,B. Dong; J. Jia; G. Li; J. Shi; H. Wang; J. Zhang; N. Chi,2022 Asia Communications and Photonics Conference (ACP),2022.0,10.1109/ACP55869.2022.10088790,FIBER,,,,
O_ISAC_027,Low Crosstalk Deep Ocean Salinity Monitoring at 2 μm Wavelength Band,Y. Li; Q. Huang; C. Wang; Y. Huang; W. Wu; J. Ran; Y. Li; J. Xue; S. Ertman; C. Lu; O. Xu; X. Dong; T. R. Woliński; P. Ping Shum,IEEE Sensors Journal,2025.0,10.1109/JSEN.2025.3579715,FIBER,,,,
O_ISAC_028,Performance Improvement for Symmetric Carrier-assisted Differential Detection Receiver by Pairwise Coding,Z. Huang; J. Li; X. Yu; J. He; Y. Qin; M. Xiang; S. Fu,2024 12th International Conference on Intelligent Computing and Wireless Optical Communications (ICWOC),2024.0,10.1109/ICWOC62055.2024.10684954,FIBER,,,,
O_ISAC_029,THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network,B. Dong; Z. Li; S. Xing; Y. Liu; J. Zhao; O. Huang; J. Jia; J. Shi; Y. Zhou; H. Wang; N. Chi; J. Zhang,IEEE Transactions on Microwave Theory and Techniques,2025.0,10.1109/TMTT.2025.3549729,FIBER,,,,
O_ISAC_030,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,Z. Liu; J. Zhu; J. Yang; Y. Sun; Y. Yang; J. Luo,IEEE Transactions on Mobile Computing,2025.0,10.1109/TMC.2025.3545340,WIRELESS,,,,
O_ISAC_031,Photonics-Enabled Full-Duplex Millimeter-Wave Integrated Sensing and Communication,C. Wang; Z. Lyu; L. Zhang; X. Yu,2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC),2024.0,10.1109/ACP/IPOC63121.2024.10810000,WIRELESS,,,,
O_ISAC_032,Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibration Sensing Unit,R. An; Y. Wang; X. Ping; K. Wen; Y. Yuan; S. Wang; J. Yang; Y. Wang; Y. Qin,IEEE Sensors Journal,2025.0,10.1109/JSEN.2024.3501256,FIBER,,,,
O_ISAC_033,Simultaneous Sensing and Communication in Optical Fibers,Y. -K. Huang; E. Ip; J. Hu; M. -F. Huang; F. Yaman; T. Wang; G. Wellbrock; T. Xia; K. Asahi; Y. Aono,2022 European Conference on Optical Communication (ECOC),2022.0,,FIBER,,,,
O_ISAC_034,Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sensing and Communication,Y. Wen; F. Yang; J. Song; Z. Han,IEEE Communications Letters,2023.0,10.1109/LCOMM.2023.3270184,WIRELESS,,,,
O_ISAC_035,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,Z. Ban; J. Tang; Q. Xie; Y. Li,Journal of Lightwave Technology,2025.0,10.1109/JLT.2025.3592208,WIRELESS,,,,
O_ISAC_036,Heterogeneous Integrated III-V-on-Soi Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication,A. Safiriyu; M. Vargemidou; C. Vagionas; J. Ramirez; F. Salim; N. Pleros; A. Miliou; A. -L. Billabert; C. Algani,2025 European Conference on Optical Communications (ECOC),2025.0,10.1109/ECOC66593.2025.11263375,WIRELESS,,,,
O_ISAC_037,Linearly Polarized Mode Demultiplexing Hybrid Based on Multi-Plane Light Conversion,J. Xiang; L. Jianping; Y. Qin,2024 22nd International Conference on Optical Communications and Networks (ICOCN),2024.0,10.1109/ICOCN63276.2024.10648374,FIBER,,,,
O_ISAC_038,Integration of Distributed Sensing into Optical Coherent Networks through Non-Orthogonal Multiple Access,J. Wang; L. Lu; J. Zhang; A. P. T. Lau; C. Lu,2025 Optical Fiber Communications Conference and Exhibition (OFC),2025.0,,WIRELESS,,,,
O_ISAC_039,Visible Light Integrated Positioning and Communication: A Multi-Task Federated Learning Framework,T. Wei; S. Liu; X. Du,IEEE Transactions on Mobile Computing,2023.0,10.1109/TMC.2022.3207164,WIRELESS,,,,
O_ISAC_040,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,W. Wang; H. Wang; Z. Zeng; C. He; C. Chen,2025 30th OptoElectronics and Communications Conference (OECC) and 2025 International Conference on Photonics in Switching and Computing (PSC),2025.0,10.23919/OECC/PSC62146.2025.11110803,WIRELESS,,,,
O_ISAC_041,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks,Z. Wang; H. Yang; Y. Li; Q. Yao; T. Yu; C. Zhang; W. Liu; W. Lin; J. Zhang; Y. Liu; M. Cheriet,IEEE Internet of Things Journal,2024.0,10.1109/JIOT.2024.3414863,FIBER,,,,
O_ISAC_042,High-efficiency ISAC to enable sub-meter level vibration sensing for coherent fiber networks,J. Wang; L. Lu; L. Wang; Y. Yan; A. P. Tao Lau; C. Lu,2024 Optical Fiber Communications Conference and Exhibition (OFC),2024.0,,FIBER,,,,
O_ISAC_043,Photonic-based W-band Flexible TFDM Integrated Sensing and Communication System for Fiber-wireless Network,B. Dong; J. Jia; G. Li; J. Shi; H. Wang; Z. Tang; J. Zhang; S. Pan; N. Chi,2023 Optical Fiber Communications Conference and Exhibition (OFC),2023.0,10.1364/OFC.2023.W4J.5,FIBER,,,,
O_ISAC_045,Simultaneous Sensing and Communication Over 20 km Fiber Based on Si3N4 Micro-Ring,Y. Qiu; X. Ou; M. Luo; C. Yang; Z. He; X. Xiao; Y. Yang; J. Tao,2024 Conference on Lasers and Electro-Optics Pacific Rim (CLEO-PR),2024.0,10.1109/CLEO-PR60912.2024.10676568,FIBER,,,,
O_ISAC_046,Co-Wavelength-Channel Integration of Ultra-Low-Frequency Distributed Acoustic Sensing and High-Capacity Communication,L. Gu; M. Xiang; Z. Zhang; C. Liu; P. Xu; W. Sun; J. Yang; S. Fu; Y. Wang; Y. Qin,2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC),2024.0,10.1109/ACP/IPOC63121.2024.10810040,FIBER,,,,
O_ISAC_047,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation,J. He; L. Yin; K. Liu; S. Xiao; Z. Chen,Journal of Lightwave Technology,2025.0,10.1109/JLT.2025.3602312,FIBER,,,,
O_ISAC_048,Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication,Y. Wen; F. Yang; J. Song; Z. Han,ICC 2024 - IEEE International Conference on Communications,2024.0,10.1109/ICC51166.2024.10622583,WIRELESS,,,,
O_ISAC_049,Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems,J. -Y. Wang; H. -N. Yang; J. -B. Wang; M. Lin; P. Shi,IEEE Internet of Things Journal,2023.0,10.1109/JIOT.2023.3303137,WIRELESS,,,,
O_ISAC_050,Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading,B. Zhou; A. Liu; H. C. So,IEEE Transactions on Intelligent Transportation Systems,2024.0,10.1109/TITS.2023.3324361,WIRELESS,,,,
O_ISAC_051,Remote Phase-Shift LiDAR With Communication,Y. Hai; Y. Luo; C. Liu; A. Dang,IEEE Transactions on Communications,2023.0,10.1109/TCOMM.2023.3233962,WIRELESS,,,,
O_ISAC_052,Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication,Y. Wen; F. Yang; J. Song; Z. Han,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,2024.0,10.1109/GLOBECOM52923.2024.10901628,WIRELESS,,,,
O_ISAC_053,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller,C. Fragner; A. P. Weiss; F. P. Wenzl; E. Leitgeb,2022 International Conference on Broadband Communications for Next Generation Networks and Multimedia Applications (CoBCom),2022.0,10.1109/CoBCom55489.2022.9880677,WIRELESS,,,,
O_ISAC_054,Optical Integrated Sensing and Communication With Light-Emitting Diode,R. Zhang; Y. Shao; M. Li; L. Lu; Y. C. Eldar,IEEE Internet of Things Journal,2025.0,10.1109/JIOT.2024.3523045,WIRELESS,,,,
O_ISAC_055,Free Space Optical Integrated Sensing and Communication Based on LFM and CPM,Y. Wen; F. Yang; J. Song; Z. Han,IEEE Communications Letters,2024.0,10.1109/LCOMM.2023.3332658,WIRELESS,,,,
O_ISAC_056,Optical ISAC: Fundamental Performance Limits and Transceiver Design,A. G. Khorasgani; M. Mirmohseni; A. Elzanaty,2024 IEEE Globecom Workshops (GC Wkshps),2024.0,10.1109/GCWkshp64532.2024.11101062,WIRELESS,,,,
O_ISAC_057,60-GHz photonic millimeter-wave joint radar-communication system,W. Bai; X. Zou; P. Li; W. Pan; L. Yan; B. Luo,2021 International Conference on Microwave and Millimeter Wave Technology (ICMMT),2021.0,10.1109/ICMMT52847.2021.9618314,WIRELESS,,,,
O_ISAC_058,Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network,B. Dong; J. Jia; Z. Li; G. Li; J. Shi; H. Wang; N. Chi; J. Zhang,IEEE Transactions on Microwave Theory and Techniques,2024.0,10.1109/TMTT.2024.3355936,FIBER,,,,
O_ISAC_059,Terrestrial and Non-Terrestrial Networks for Integrated Sensing and Communication,F. Matera; M. Settembre; A. Rago; A. Fascista; G. Piro; L. A. Grieco; F. Malandrino; G. Virone; E. Cianca; M. Ruggieri; S. Morosi,2024 IEEE International Symposium on Systems Engineering (ISSE),2024.0,10.1109/ISSE63315.2024.10741118,WIRELESS,,,,
O_ISAC_060,A Unified Waveform for Optical Wireless Integrated Sensing and Communication,M. Cao; Y. Wang; Y. Zhang; D. Gao; H. Zhou,2022 Asia Communications and Photonics Conference (ACP),2022.0,10.1109/ACP55869.2022.10088865,WIRELESS,,,,
O_ISAC_061,Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array: Performance Metric and Optimal Beamforming,Y. Wen; F. Yang; J. Song; Z. Han,IEEE Transactions on Wireless Communications,2025.0,10.1109/TWC.2025.3559254,WIRELESS,,,,
O_ISAC_062,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits,B. Zhou; X. Wang; Y. Shen; P. Fan,IEEE Transactions on Signal Processing,2024.0,10.1109/TSP.2024.3383285,WIRELESS,,,,
O_ISAC_063,Simple and Precise Characterization of Full-Field Frequency Response for Coherent TOSA,R. Wu; J. Li; G. Zhou; M. Xiang; L. Zhang; Y. Qin; S. Fu,Journal of Lightwave Technology,2024.0,10.1109/JLT.2024.3352493,FIBER,,,,
O_ISAC_064,Integrated Sensing and Communications for Metropolitan Environments,Y. Yan; J. Zhang; Y. Li; L. Lu; J. Wang; K. Chandramouli; C. Lu; A. P. T. Lau,2025 Optical Fiber Communications Conference and Exhibition (OFC),2025.0,,FIBER,,,,
