Track_ID,Document Title,Authors,Publication Title,Publication Year,DOI,CATEGORY,Title,Year,Venue,Abstract
O_ISAC_165,,H. Luo; N. Xu; S. Wang; H. Kuang; H. Ge; X. Li; B. Jia,,,10.1016/j.optcom.2025.132782,,Design and modelling of InAs detection system on SOI via monolithic integration for mid-infrared integrated sensing and communication,2026.0,,
O_ISAC_166,,J. Li; J. Tao; C. Ge; C. Xu; J. Wang; Z. Xu; H. Wang; Q. Xu; H. Zhao; C. Zhang; W. Gui; W. Gao; X. Liang; X. Xu; W. Ding,,,10.1016/j.nanoen.2025.111639,,An integrated sensing and communication solar skin for health monitoring and human–machine interaction,2026.0,,
O_ISAC_167,,J. Shen; J. Fan; M. Li; Y. Fei; T. Fu; M. Gao,,,10.1016/j.optlaseng.2025.109470,,Multi-service integrated sensing and communication system for industrial internet-of-things,2026.0,,
O_ISAC_171,,M. Wang; W. Zhang; Z. Ren; S. Li; X. Zheng; X. Xue,,,10.1038/s41467-025-62854-z,,Frequency-comb-steered ultrawideband quasi-true-time-delay beamformer for integrated sensing and communication,2025.0,,
O_ISAC_172,,M. Ma; M. Bi; M. Xu; Y. Zhang; J. Luo; X. Zhou; L. Zhang; M. Hu,,,10.1016/j.optlastec.2025.113726,,Joint break-point localization sensing based on OFDR and non-disruptive communication fiber ISAC system,2025.0,,
O_ISAC_173,,L.-W. Chia; M. Motani,,,10.1145/3680207.3765690,,Poster: High-Performance Optical Camera Communications for ISAC Localization and Sensing,2025.0,,
O_ISAC_185,,Z. Li; J. Shi; C. Shen; Y. Zhang; J. Zhang; N. Chi,,,10.1364/PRJ.561888,,Adaptive visible light integrated sensing and communication for cable-free virtual reality,2025.0,,
O_ISAC_186,,H. Xiong; N. Jiang; A. Li; M. Che; C. Wang; Q. Zhang; Y. Zhang; K. Qiu,,,10.1007/s11432-024-4369-2,,Chaotic optoelectronic oscillators-based dual-function radar-communication system,2025.0,,
O_ISAC_187,,Z. Yixiao; L. Xuan; Z. Shanghong; W. Guodong; W. Ruiqiong; M. Qingqing; X. Lingrui; Q. Hao; Z. Zihang,,,10.1364/OE.564416,,Photonic-aided Doppler-robust ISAC system based on index modulation and chirp multiplexing,2025.0,,
O_ISAC_188,,L. Wang; Y. Wang; Z. Lin; H. Yu; Y. Li; C. Lu; C. Yu; M. Tang,,,10.1364/OE.563557,,Endogenous integration of communication and interference fading free sensing using telecom pilots via joint polarization-fraction domain multiplexing,2025.0,,
O_ISAC_189,,J. Wang; J. Zhang; A.P.T. Lau; C. Lu,,,10.1364/PRJ.553098,,Integrated ultra-large dynamic vibration sensing with fronthaul analog radio-over-fiber transmission,2025.0,,
