Track_ID,Document Title,Authors,Publication Title,Publication Year,DOI,CATEGORY
O_ISAC_001,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,B. M. S. R. Rosmaninho; V. N. H. Silva; P. P. Monteiro; M. C. R. Medeiros,2025 25th Anniversary International Conference on Transparent Optical Networks (ICTON),2025,10.1109/ICTON67126.2025.11125210,WIRELESS
O_ISAC_002,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,L. Zhang; Z. Lyu; O. Ozolins; X. Pang; X. Yu,2025 Optical Fiber Communications Conference and Exhibition (OFC),2025,,WIRELESS
O_ISAC_003,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,P. Dong; P. Tang; Y. Yin; L. Tian; J. Zhang,2025 IEEE Wireless Communications and Networking Conference (WCNC),2025,10.1109/WCNC61545.2025.10978645,WIRELESS
O_ISAC_004,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication,Q. Huang; Y. Li; O. Xu; X. Dong; S. Ertman; T. R. Woliński; P. Ping Shum; Y. Qin,2025 23rd International Conference on Optical Communications and Networks (ICOCN),2025,10.1109/ICOCN67308.2025.11145535,FIBER
O_ISAC_005,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,M. Nafees; M. Baniasadi; J. R. Hopgood; M. Safari; J. S. Thompson,2025 IEEE Wireless Communications and Networking Conference (WCNC),2025,10.1109/WCNC61545.2025.10978163,WIRELESS
O_ISAC_006,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,Y. Wu; C. Xu; F. Chen; Y. Wang; G. Wu; P. Xin; Z. Chen; P. Zhan; Z. Zhou; Z. Zhang; W. Ma; M. Li; J. Yan; M. Pa; Y. Li; Y. Zhao; J. Zhang,2024 IEEE 24th International Conference on Communication Technology (ICCT),2024,10.1109/ICCT62411.2024.10946617,FIBER
O_ISAC_007,Miniaturized optical fiber displacement probe with large-collection-angle,C. Wu; X. Hou; J. Zhu; L. Wu,2025 23rd International Conference on Optical Communications and Networks (ICOCN),2025,10.1109/ICOCN67308.2025.11145514,FIBER
O_ISAC_008,Wide-Steering Integrated Sensing and Communication OPA-Based Lidar Design with Joint Waveform and Thinned Antenna,Y. Chen; X. Liao; J. Xiao; X. Wang; M. Ye; Y. Yu; C. Wang,2025 30th OptoElectronics and Communications Conference (OECC) and 2025 International Conference on Photonics in Switching and Computing (PSC),2025,10.23919/OECC/PSC62146.2025.11111436,WIRELESS
O_ISAC_009,Integrated Positioning and Communication Relying on Wireless Optical OFDM,C. Xu; C. Masouros; S. Sugiura; P. Petropoulos; R. G. Maunder; L. -L. Yang; H. Haas; L. Hanzo,IEEE Journal on Selected Areas in Communications,2025,10.1109/JSAC.2025.3543532,WIRELESS
O_ISAC_010,High-Speed DMT Signal and Power-Over-Fiber Simultaneous Transmission Over Weakly-Coupled Multicore Fiber,W. Chen; J. Li; X. Yu; J. Zhang; S. Fu; Y. Qin,2025 13th International Conference on Intelligent Computing and Wireless Optical Communications (ICWOC),2025,10.1109/ICWOC65853.2025.11150794,FIBER
