Track_ID,DOI,Publication Year,CATEGORY,Integration Strategy,Waveform,Medium Details,Data Rate (Gbps),Transmission Distance (km),Sensing Parameter,Spatial Resolution (m),Sensing Range (m),Sensing Accuracy,Risk of Bias
O_ISAC_001,10.1109/ICTON67126.2025.11125210,2025,WIRELESS,,,,,,,,,,
O_ISAC_002,,2025,WIRELESS,,,,,,,,,,
O_ISAC_003,10.1109/WCNC61545.2025.10978645,2025,WIRELESS,,,,,,,,,,
O_ISAC_004,10.1109/ICOCN67308.2025.11145535,2025,FIBER,,,,,,,,,,
O_ISAC_005,10.1109/WCNC61545.2025.10978163,2025,WIRELESS,,,,,,,,,,
O_ISAC_006,10.1109/ICCT62411.2024.10946617,2024,FIBER,,,,,,,,,,
O_ISAC_007,10.1109/ICOCN67308.2025.11145514,2025,FIBER,,,,,,,,,,
O_ISAC_008,10.23919/OECC/PSC62146.2025.11111436,2025,WIRELESS,,,,,,,,,,
O_ISAC_009,10.1109/JSAC.2025.3543532,2025,WIRELESS,,,,,,,,,,
O_ISAC_010,10.1109/ICWOC65853.2025.11150794,2025,FIBER,,,,,,,,,,
O_ISAC_011,10.1109/ACP/IPOC63121.2024.10809915,2024,WIRELESS,,,,,,,,,,
O_ISAC_012,10.1109/ACP/IPOC63121.2024.10809937,2024,WIRELESS,,,,,,,,,,
O_ISAC_013,10.1109/JSEN.2025.3554542,2025,FIBER,,,,,,,,,,
O_ISAC_014,10.1109/ICOCN63276.2024.10648387,2024,FIBER,,,,,,,,,,
O_ISAC_015,10.1109/LWC.2024.3521192,2025,WIRELESS,,,,,,,,,,
O_ISAC_016,10.1109/ICOCN63276.2024.10648485,2024,FIBER,,,,,,,,,,
O_ISAC_017,,2022,WIRELESS,,,,,,,,,,
O_ISAC_018,10.1109/JLT.2025.3555486,2025,FIBER,,,,,,,,,,
O_ISAC_019,10.1109/ACP/IPOC63121.2024.10809573,2024,FIBER,,,,,,,,,,
O_ISAC_020,10.1109/MCOM.002.2200191,2022,FIBER,,,,,,,,,,
O_ISAC_021,10.1109/IOTM.001.2300196,2024,WIRELESS,,,,,,,,,,
O_ISAC_022,10.1109/TBC.2022.3201649,2023,WIRELESS,,,,,,,,,,
O_ISAC_023,10.1109/JIOT.2024.3469279,2025,WIRELESS,,,,,,,,,,
O_ISAC_024,10.23919/OECC/PSC62146.2025.11111272,2025,FIBER,,,,,,,,,,
O_ISAC_025,,2025,WIRELESS,,,,,,,,,,
O_ISAC_026,10.1109/ACP55869.2022.10088790,2022,FIBER,,,,,,,,,,
