type,old_name,new_name,old_path,new_path,changed
dir,_archive_20260205,arch_20260205,analysis/_archive_20260205,analysis/arch_20260205,yes
dir,cot_laboratory,cot_lab,analysis/cot_laboratory,analysis/cot_lab,yes
dir,deep_research,deep_res,analysis/deep_research,analysis/deep_res,yes
dir,II_evidence_v2,II_ev_v2,analysis/II_evidence_v2,analysis/II_ev_v2,yes
dir,II_evidence_v3,II_ev_v3,analysis/II_evidence_v3,analysis/II_ev_v3,yes
dir,IV_evidence_v1,IV_ev_v1,analysis/IV_evidence_v1,analysis/IV_ev_v1,yes
dir,IV_evidence_v2,IV_ev_v2,analysis/IV_evidence_v2,analysis/IV_ev_v2,yes
dir,manifest_v1,man_v1,analysis/manifest_v1,analysis/man_v1,yes
dir,notebooks,nb,analysis/notebooks,analysis/nb,yes
dir,patches,pch,analysis/patches,analysis/pch,yes
dir,phase1_screening,ph1_scr,analysis/phase1_screening,analysis/ph1_scr,yes
dir,phase2_extraction,ph2_ext,analysis/phase2_extraction,analysis/ph2_ext,yes
dir,V_evidence_v1,V_ev_v1,analysis/V_evidence_v1,analysis/V_ev_v1,yes
dir,V_evidence_v2,V_ev_v2,analysis/V_evidence_v2,analysis/V_ev_v2,yes
dir,VI_evidence_v2,VI_ev_v2,analysis/VI_evidence_v2,analysis/VI_ev_v2,yes
dir,VII_applications_subsections_v1,VII_app_sub_v1,analysis/VII_applications_subsections_v1,analysis/VII_app_sub_v1,yes
dir,VII_applications_subsections_v1_micro,VII_app_sub_m_v1,analysis/VII_applications_subsections_v1_micro,analysis/VII_app_sub_m_v1,yes
dir,VII_camera_ready_merge_v1,VII_cr_mrg_v1,analysis/VII_camera_ready_merge_v1,analysis/VII_cr_mrg_v1,yes
dir,VII_evidence_v2,VII_ev_v2,analysis/VII_evidence_v2,analysis/VII_ev_v2,yes
dir,VIII_camera_ready_merge_v1,VIII_cr_mrg_v1,analysis/VIII_camera_ready_merge_v1,analysis/VIII_cr_mrg_v1,yes
dir,VIII_challenges_subsections_v1,VIII_ch_sub_v1,analysis/VIII_challenges_subsections_v1,analysis/VIII_ch_sub_v1,yes
dir,VIII_challenges_subsections_v1_micro,VIII_ch_sub_m_v1,analysis/VIII_challenges_subsections_v1_micro,analysis/VIII_ch_sub_m_v1,yes
dir,VIII_evidence_v1,VIII_ev_v1,analysis/VIII_evidence_v1,analysis/VIII_ev_v1,yes
file,analyze_layout.py,an_lay.py,analysis/analyze_layout.py,analysis/an_lay.py,yes
file,analyze_rhetoric.py,an_rhet.py,analysis/analyze_rhetoric.py,analysis/an_rhet.py,yes
file,analyze_style.py,an_sty.py,analysis/analyze_style.py,analysis/an_sty.py,yes
file,calculate_authors.py,calc_auth.py,analysis/calculate_authors.py,analysis/calc_auth.py,yes
file,codex_batch_state.json,cb_state.json,analysis/codex_batch_state.json,analysis/cb_state.json,yes
file,corpus_fidelity_report.csv,corp_fid_rpt.csv,analysis/corpus_fidelity_report.csv,analysis/corp_fid_rpt.csv,yes
file,corpus_structure.json,corp_struct.json,analysis/corpus_structure.json,analysis/corp_struct.json,yes
file,corpus_structure_summary.csv,corp_struct_sum.csv,analysis/corpus_structure_summary.csv,analysis/corp_struct_sum.csv,yes
