Paper_ID,step_0_visual_inspection,step_1_concept_analysis,step_2_benchmark_verification,step_3_strategic_critique
O_ISAC_001,The provided figures show the performance evaluation of the VLC CE-OFDM system. Figure 1 presents th...,"The system mechanism is based on CE-OFDM, which is a waveform that mitigates nonlinearities and enha...","The reported metrics, such as EVM and PSD, are physically consistent with the hardware and system pa...",The solved problems include the mitigation of nonlinearities and the enhancement of performance unde...
O_ISAC_002,"The provided images include diagrams of different types of waveforms, a process of producing a new p...",The system mechanism involves photonic terahertz integrated sensing and communication (ISAC) systems...,"The reported metrics include a data transmission rate of 6 Gbit/s over a 1-meter wireless link, a ra...",The solved problems include the development of a radar-centric photonic terahertz integrated sensing...
O_ISAC_003,"The paper includes several diagrams and charts, including a car with a target and a target on the ro...",The system mechanism involves the use of visible light communication (VLC) for integrated sensing an...,"The paper reports on the simulation results of the channel characteristics, including the path loss,...",The paper solves the problem of characterizing the visible light-based ISAC channel in a V2V scenari...
O_ISAC_004,"The paper includes several figures, including a diagram of the proposed system for integrated optica...",The proposed system integrates optical fiber sensing and telecommunication using an adiabatic-tapere...,The paper reports a salinity sensitivity of 0.1 nm/‰ at a wavelength of 1550 nm for seawater monitor...,"The proposed system solves the problem of integrating optical fiber sensing and telecommunication, e..."
O_ISAC_005,"The paper includes several figures and charts, including Fig. 1, which shows the proposed ISAC syste...","The system mechanism involves a UAV-aided mixed FSO-RF network, where the UAV uses FSO for backhaul ...","The paper reports various metrics, including the end-to-end UAV throughput and total edge users thro...",The paper solves the problem of optimizing the UAV's trajectory to maximize the end-to-end network t...
O_ISAC_006,"The paper includes several figures, including Figure 1, which shows two DSP schemes for anomaly dete...",The paper discusses two types of ISAC-OF systems: those based on forward transmitted light and those...,"The paper reports various metrics, including sensing range, spatial resolution, and vibration detect...","The paper identifies several solved problems, including the integration of sensing and communication..."
O_ISAC_007,"The paper includes several figures, including Fig. 1, which shows the probe structure, optical fiber...",The proposed system is a fiber optic displacement sensing probe with a common optical path Michelson...,The paper reports a dynamic working range of 5.42-5.60 mm and an angular tolerance of ±3.84°. These ...,The paper solves the problem of precision measurement in narrow spaces by proposing a fiber optic di...
O_ISAC_008,"The paper includes several figures, including Fig. 1, which shows the proposed ISAC OPA-based Lidar ...",The proposed system uses a QPSK-FMCW joint waveform design to implement simultaneous Lidar sensing a...,"The reported metrics, such as the data rate of 4Gbps and the steering range of 60°×32°, are physical...",The proposed system solves the problem of achieving a high data rate and a wide steering range in an...
O_ISAC_009,"The paper proposes a new VLPC scheme using DCO-OFDM, where OFDM radar is applied for improving the r...",The proposed VLPC-DCO-OFDM scheme uses OFDM radar for sensing and DCO-OFDM for communication. The sy...,The paper reports a centimeter-level positioning accuracy and Giga-bits-per-second data rate. The ph...,The proposed VLPC-DCO-OFDM scheme solves the problem of achieving high-resolution sensing and high-r...
O_ISAC_010,The paper presents an experimental demonstration of the simultaneous transmission of a 60-W power-ov...,The paper proposes a novel method for high-speed signal light and high-power energy light co-transmi...,The paper verifies the physical consistency of the reported metrics by measuring the transmission of...,"The paper demonstrates the potential of the proposed system for remote application scenarios, such a..."
