"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Luo, H.; Xu, N.; Wang, S.; Kuang, H.; Ge, H.; Li, X.; Jia, B.","Luo, Hao (57198345468); Xu, Ning (7202694666); Wang, Shengyi (58846815000); Kuang, Hanzhuo (59171502600); Ge, Hua (36104170300); Li, Xiang (56101448900); Jia, Bowen (56711622200)","57198345468; 7202694666; 58846815000; 59171502600; 36104170300; 56101448900; 56711622200","Design and modelling of InAs detection system on SOI via monolithic integration for mid-infrared integrated sensing and communication","2026","Optics Communications","602","","132782","","","0","10.1016/j.optcom.2025.132782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025164348&doi=10.1016%2Fj.optcom.2025.132782&partnerID=40&md5=9de51c7a12057b8b03a195aeab3ea6eb","Mid-infrared (MIR) silicon photonics exhibits significant potential for integrated sensing and communication (ISAC) applications. In this work, an InAs detection system on silicon-on-insulator (SOI) via heteroepitaxial integration is proposed. The detection system employs a grating coupler for the input of the MIR light, achieving a maximum coupling efficiency of 35.3 %. The light evanescently couples from the waveguide to the active layer of the InAs photodetector (PD) through precisely engineered GaAs/Ge buffer structures that accommodate lattice mismatches between InAs and silicon. Optical simulations systematically evaluate buffer thicknesses and compare alternative epitaxial architectures. The optimized 20 μm-long integrated waveguide PD demonstrates absorption efficiency exceeding 95 % with a 3 dB bandwidth of 21.51 GHz. Electrical simulations analyse dark current mechanisms, revealing a responsivity of 0.81 A/W at 3 μm and a detectivity of 2.34 × 109 cm Hz1/2 W−1 at −1 V bias and 300 K. The introduction of a pBn architecture reduces the dark current density by 58.5 %, thereby further increasing the detectivity to 2.65 × 109 cm Hz1/2 W−1. The influence of integration and fabrication processes on the overall device performance is also discussed. This study demonstrates a promising integrated optics approach for highly efficient MIR detection, paving the way for advanced on-chip photonic applications. © 2025 Elsevier B.V.","Mid-infrared; Monolithic integration; Photodetector; Silicon photonics","Efficiency; Gallium arsenide; III-V semiconductors; Infrared devices; Integrated optics; Integration; Lattice mismatch; Monolithic integrated circuits; Photonic devices; Photonic integration technology; Silicon on insulator technology; Waveguides; Design and modeling; Detection system; Detectivity; InAs; Integrated sensing; Midinfrared; Monolithic integration; Sensing applications; Silicon on insulator; Silicon photonics; Photodetectors","Article","Final","","Scopus","2-s2.0-105025164348"
"Li, J.; Tao, J.; Ge, C.; Xu, C.; Wang, J.; Xu, Z.; Wang, H.; Xu, Q.; Zhao, H.; Zhang, C.; Gui, W.; Gao, W.; Liang, X.; Xu, X.; Ding, W.","Li, Jiarong (58434155900); Tao, Jun (58676398000); Ge, Changshuo (58532933600); Xu, Chihan (59296407400); Wang, Jingyang (56593879500); Xu, Zhancong (59175397900); Wang, Hao (60198824900); Xu, Qinghao (57210393416); Zhao, Hongfa (57211850238); Zhang, Chaobo (60198746200); Gui, Weihua (7004829136); Gao, Wen (57218664611); Liang, Xiaojun (57443783600); Xu, Xiaomin (57208614197); Ding, Wenbo (57220989707)","58434155900; 58676398000; 58532933600; 59296407400; 56593879500; 59175397900; 60198824900; 57210393416; 57211850238; 60198746200; 7004829136; 57218664611; 57443783600; 57208614197; 57220989707","An integrated sensing and communication solar skin for health monitoring and human–machine interaction","2026","Nano Energy","148","","111639","","","0","10.1016/j.nanoen.2025.111639","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024230267&doi=10.1016%2Fj.nanoen.2025.111639&partnerID=40&md5=d077c99918ee875d3cfd2dfb9e904b03","Wearable electronic systems have garnered significant interest due to their potential in real-time health monitoring, human–machine interaction, and smart infrastructures. Most existing platforms face challenges in power sustainability, sensor bulkiness, and limited multifunctionality. Ultraflexible organic solar cells (OSCs), known for their lightweight nature and self-powered capabilities, have emerged as promising candidates for addressing these issues. Yet, current ultraflexible OSC-based devices are often limited to single functionalities with inadequate system integration and poor adaptability to complex, dynamic scenarios. Here, we present an integrated wearable solar e-skin system that combines multimodal sensing, energy harvesting, and optical wireless communication (OWC) into a single ultrathin and mechanically robust platform. Leveraging the designed ultraflexible structure and high performance of OSCs, the system enables continuous physiological monitoring, precise gesture and activity recognition, and reliable optical data transmission. By mimicking biological sensory pathways for localized signal processing and energy-efficient operation, the platform achieves enhanced functionality and reliability. Demonstrations include accurate heart rate and SpO<inf>2</inf> monitoring, robust motion recognition with > 97 % accuracy, and secure OWC. This work provides a scalable and practical solution for next-generation wearable systems, offering potential in healthcare, industrial safety, and human–machine interaction. © 2025 Elsevier Ltd","Electronic skin; Health monitoring; Human-machine interaction; Multimodal sensing; Optical wireless communication","Accident prevention; Energy efficiency; Gesture recognition; Human computer interaction; Interactive computer systems; Real time systems; Wearable computers; Wearable sensors; Electronic skin; Electronics system; Health monitoring; Human machine interaction; Integrated sensing; Multimodal sensing; Optical-wireless communications; Organics; Real-time health monitoring; Smart infrastructures; Energy harvesting","Article","Final","","Scopus","2-s2.0-105024230267"
"Shen, J.; Fan, J.; Li, M.; Fei, Y.; Fu, T.; Gao, M.","Shen, Jiajia (57217872732); Fan, Jiamin (58942500700); Li, Meixia (59011804700); Fei, Yang (58809883400); Fu, Tingyu (60204536800); Gao, Mingyi (36666264800)","57217872732; 58942500700; 59011804700; 58809883400; 60204536800; 36666264800","Multi-service integrated sensing and communication system for industrial internet-of-things","2026","Optics and Lasers in Engineering","196","","109470","","","0","10.1016/j.optlaseng.2025.109470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022429527&doi=10.1016%2Fj.optlaseng.2025.109470&partnerID=40&md5=6c6cf72617f9a158fe591673d04d8d1c","Industrial Internet-of-Things (IIoT) deeply integrates advanced information and communication technologies with industry, forming new infrastructure and ecosystem for full connectivity. With the evolution of IIoT, its significance and applicability have grown due to interconnected devices. However, potential bottlenecks are caused by increasing network traffic and data generation, which requires IIoT to support multiple services for efficient data transmission and resource optimization. In this work, we proposed a multi-service integrated sensing and communication (ISAC) system that is compatible with various common signals, i.e., pulse amplitude modulation (PAM), multicarrier and quadrature-amplitude-modulation (QAM) signals, in the same optical fiber and wavelength channel. The proposed ISAC architecture encompassed an economical, low-complexity approach for fiber vibration localization and vibration frequencies demodulation, where the frequency response of system is theoretically decoupled from the pulse frequency limitations. Consequently, 25-GBaud PAM-4 signals, 25-GBaud 16-quadrature-amplitude-modulation (16-QAM) universal filter multi-carrier (UFMC) signals, and 20-GBaud polarization-division multiplexed (PDM) 16-QAM signals for loading multiple services have been successfully transmitted over 12-km standard single-mode fiber (SSMF). Simultaneously, a spatial resolution of 2.4 m, a 28-dB signal-to-noise ratio (SNR) of Rayleigh backscattering (RBS) frequency shift, and a 20-dB SNR of vibration frequency identification have been achieved. © 2025 Elsevier Ltd","Distributed optical fiber sensing; Integration of sensing and communication (ISAC)","Data communication systems; Fiber optic sensors; Frequency response; Internet of things; Optical fiber communication; Optical signal processing; Optical systems; Optical variables measurement; Pulse amplitude modulation; Quadrature amplitude modulation; Single mode fibers; Telecommunication services; Communications systems; Distributed optical fiber sensing; Integrated sensing; Integration of sensing and communication; Multi-services; Multiple services; Pulse amplitude; Quadrature amplitude modulation signals; Sensing systems; Vibration frequency; Signal to noise ratio","Article","Final","","Scopus","2-s2.0-105022429527"
"Lee, K.I.; Myung Shin, J.; Young Park, S.; Choi, K.W.","Lee, Kyung-in (59143110500); Myung Shin, Jae (60243796100); Young Park, Soo (60243771100); Choi, Kaewon (8843335600)","59143110500; 60243796100; 60243771100; 8843335600","Space-Frequency Switching MIMO-OFDM ISAC Systems: Architecture, Radar Imaging Algorithm, and Testbed Experiments","2025","IEEE Internet of Things Journal","12","24","","52942","52963","0","10.1109/JIOT.2025.3617471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018098312&doi=10.1109%2FJIOT.2025.3617471&partnerID=40&md5=5114ef90614f2009f224b94a93edea88","Conventional integrated sensing and communication (ISAC) systems are typically unable to exploit both spatial and spectral diversity simultaneously, which limits overall system performance. To fully harness the benefits of jointly increasing spatial and spectral degrees of freedom (DoF), this article proposes a novel multiple-input–multiple-output orthogonal frequency-division multiplexing (MIMO-OFDM) ISAC architecture that leverages both frequency and antenna switching. In the proposed architecture, each RF chain dynamically selects its transmit/receive antennas and frequency band in each interval, enabling improved radar resolution and offering the potential for increased communication diversity. To support sensing functionality under this dynamic configuration, we introduce a 4-D radar imaging algorithm based on orthogonal matching pursuit (OMP). The algorithm achieves super-resolution in range and velocity via oversampling while simultaneously estimating azimuth and elevation angles. Notably, the formulation inherently compensates for phase variations arising from data acquisition across diverse time intervals and frequency bands, enabling accurate target detection. Simulation results demonstrate that the proposed method improves range resolution from 0.41 to 0.08 m and velocity resolution from 5.0 to 0.125 m/s, while achieving an average precision (AP) of 0.66 compared with 0.02 for the baseline under challenging conditions. On the communication side, we show that the channel gain varies by up to 7 dB across different antenna–frequency band pairs, and this diversity leads to notable improvements in communication performance. Moreover, the implemented testbed confirms the feasibility of reliable multiband OFDM communication under dynamic switching, highlighting the practical viability of the proposed ISAC framework for next-generation wireless systems. © 2014 IEEE.","4-D radar imaging; antenna switching; compressive sensing; frequency switching; integrated sensing and communication (ISAC); multiple-input–multiple-output orthogonal frequency-division multiplexing (MIMO-OFDM); orthogonal matching pursuit (OMP); super-resolution","Communication channels (information theory); Data acquisition; Degrees of freedom (mechanics); Feedback control; Microwave antennas; MIMO systems; Optical resolving power; Radar antennas; Radar imaging; Space-based radar; Telecommunication repeaters; Testbeds; 4d radar imaging; Antenna switching; Compressive sensing; Frequency switching; Integrated sensing; Integrated sensing and communication; Multiple-input multiple-output orthogonal frequency division multiplexing; Multiple-input multiple-output orthogonal frequency-division multiplexing; Orthogonal matching pursuit; Superresolution; Orthogonal frequency division multiplexing","Article","Final","","Scopus","2-s2.0-105018098312"
"Ma, L.; Fan, F.; Feng, J.; Shen, P.; Song, C.; Ji, Y.; Wang, X.; Chang, S.","Ma, Liang (57224508318); Fan, Fei (59653393500); Feng, Jixin (58576503200); Shen, Peng (59486075800); Song, Chengwei (59944735200); Ji, Yunyun (57194203016); Wang, Xianghui (35306190200); Chang, Shengjiang (7405604811)","57224508318; 59653393500; 58576503200; 59486075800; 59944735200; 57194203016; 35306190200; 7405604811","Terahertz asynchronous twin-comb for prefiguring hypersensitivity beyond spectrum domain","2025","Nature Communications","16","1","8503","","","0","10.1038/s41467-025-63513-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017414274&doi=10.1038%2Fs41467-025-63513-z&partnerID=40&md5=b356646d7b5891765e30aebcbbc2338e","Lower-frequency characteristics of the terahertz regime confer advantageous low photon energy for biochemical sensing while imposing inherent sensitivity constraints. Here, we demonstrate a terahertz asynchronous twin-comb sensor and an extra-spectrum sensing mechanism through cascading microchannel architecture within a metallic waveguide. The extra-spectrum sensing prefigures an enhanced sensitivity of 4 orders of magnitude compared to existing terahertz biosensing and surpasses its counterpart in the optical band. Hypersensitivities of 0.398 GHz mm2 pg−1 in trace detection manifest through the located characteristic resonance frequency beyond the spectrum domain. Additionally, we observed the photoisomerization of azo dye in the terahertz band with a photoresponse sensitivity of 0.91 GHz cm2 mW−1, opening possibilities for photoactive material-assisted terahertz sensors. In summary, we instantiate an asynchronous twin-comb sensing beyond the spectrum domain, offering a perspective for ultrasensitive sensing, and promising applications in optical frequency comb precision metrology, artificial intelligence photonics, and integrated sensing and communications. © The Author(s) 2025.","","azo dye; dye; lactose; polyethylene; artificial intelligence; precision; sensor; wavelength; Article; asynchronous twin comb spectroscopy; chemical structure; controlled study; extraction; isomerization; light refraction; limit of detection; methodology; photoisomerization; photonics; refraction index; spatial analysis; spectroscopy; spectrum; structure analysis; terahertz spectroscopy; article; hypersensitivity; photon; twins","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017414274"
"Zhang, X.; Ge, Y.; Gu, Y.; Lian, W.; Hu, J.; Zhao, M.","Zhang, Xuecheng (60056572200); Ge, Yunfei (60106851300); Gu, Yiying (36836146600); Lian, Wanying (60107441900); Hu, Jinghong (60107254000); Zhao, Mingshan (7403534579)","60056572200; 60106851300; 36836146600; 60107441900; 60107254000; 7403534579","Research on optical sideband signal wavefront damage repair technology in optical fibers","2025","Optics Communications","596","","132474","","","0","10.1016/j.optcom.2025.132474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016652050&doi=10.1016%2Fj.optcom.2025.132474&partnerID=40&md5=7d04e17b91d2ed7edba9e051f24c0aa8","In response to the technical demands of integrated sensing and communication (ISAC) systems for the sixth generation (6G), this paper addresses the critical issue of optical sideband wavefront distortion in holographic radio receiver and proposes a wavefront self-repair technique based on sawtooth voltage modulation. By using a single-bit analog-to-digital converter (ADC) to capture phase information in real time and constructing a low-complexity closed-loop system with field-programmable gate array (FPGA) and an 8-channel serial digital-to-analog converter (DAC), dynamic monitoring and compensation of inter-channel relative phase errors are achieved. Experimental results show that the 3σ value of phase error after repair is 6.61°, with a root mean square (RMS) error of 2.20°, meeting the phase control precision standard of λ/10. By analyzing the phase correlation between the carrier and first-order sideband, we propose an innovative passive control method that enables static phase offset correction between channels without additional components, while reducing reliance on radio frequency (RF) wave control systems. This technique provides an effective solution for wavefront repair and optical beam control in large-scale holographic radio receiver of the future. © 2025","ISAC; Microwave photonics; Phase control; Phase monitoring; Wavefront self-repair","Adaptive optics; Analog to digital conversion; Digital radio; Digital to analog conversion; Error compensation; Field programmable gate arrays (FPGA); Holography; Optical fiber communication; Optical fibers; Optical signal processing; Optical systems; Radio; Radio receivers; Repair; Wavefronts; Integrated sensing; Integrated sensing and communication; Microwave Photonics; Optical-; Phase error; Phase monitoring; Phase-Control; Self repair; Sideband signals; Wavefront self-repair; Phase control","Article","Final","","Scopus","2-s2.0-105016652050"
"Wang, M.; Zhang, W.; Ren, Z.; Li, S.; Zheng, X.; Xue, X.","Wang, Mian (57403762000); Zhang, Wenxin (59656379900); Ren, Zeyu (59657079000); Li, Shangyuan (24721584900); Zheng, Xiaoping (7404091480); Xue, Xiaoxiao (35779611400)","57403762000; 59656379900; 59657079000; 24721584900; 7404091480; 35779611400","Frequency-comb-steered ultrawideband quasi-true-time-delay beamformer for integrated sensing and communication","2025","Nature Communications","16","1","7571","","","1","10.1038/s41467-025-62854-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013168944&doi=10.1038%2Fs41467-025-62854-z&partnerID=40&md5=fd602a2f7828c75bd5b8f13a027f7ed4","Ultrawideband beamforming is essential for next-generation radar and communication systems, however, the instantaneous bandwidth of phase-shifter-based phased array antennas (PAAs) is limited by beam squint. Photonic true-time-delay (TTD) beamformers offer a potential solution, yet their practical deployment is hindered by complex delay-line architectures. Here, we report a frequency-comb-steered photonic quasi-TTD beamforming approach that eliminates delay lines by leveraging frequency-diverse arrays and photonic microwave mixing arrays. This enables squint-free beamforming and continuous beam steering for widely used linear frequency modulation (LFM) waveforms, effectively delivering infinite spatial resolution. We present 16-element linear and 4×4 planar PAA prototypes, achieving 6 GHz instantaneous bandwidth across the entire Ku-band. Furthermore, we demonstrate integrated sensing and communication capabilities, including inverse synthetic aperture radar imaging with 2.6 × 3.0 cm resolution and 4.8 Gbps wireless transmission. This work establishes a compact, robust, and scalable architecture for ultrawideband, large-scale photonic PAAs, paving the way for future integrated radar and communication systems. © The Author(s) 2025.","","array; communication; detection method; imaging method; synthetic aperture radar; Article; bandwidth; controlled study; discrete Fourier transform; electric potential; electromagnetic radiation; Fourier transform; frequency; frequency modulation; imaging; internet of things; microwave radiation; radiation; signal noise ratio; simulation; smart home; spectroscopy; technology; telecommunication; ultrawideband beamforming; waveform; article; clinical article; drug therapy; pharmaceutics","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105013168944"
"Ma, M.; Bi, M.; Xu, M.; Zhang, Y.; Luo, J.; Zhou, X.; Zhang, L.; Hu, M.","Ma, Mingxuan (59697263200); Bi, Meihua (36494061700); Xu, Mengmeng (57221868779); Zhang, Yongqiang (57195435322); Luo, Jie (59348828300); Zhou, Xuefang (8725042200); Zhang, Lu (60031592400); Hu, Miao (55546743200)","59697263200; 36494061700; 57221868779; 57195435322; 59348828300; 8725042200; 60031592400; 55546743200","Joint break-point localization sensing based on OFDR and non-disruptive communication fiber ISAC system","2025","Optics and Laser Technology","192","","113726","","","0","10.1016/j.optlastec.2025.113726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012769438&doi=10.1016%2Fj.optlastec.2025.113726&partnerID=40&md5=f9a13571862c89739b131124e41686f0","In this paper, a novel scheme of integrated sensing and communication in optical fiber systems based on optical frequency domain reflectometer (OFDR) is proposed, combining intensity modulation direct detection (IMDD) technology with OFDR technology to achieve simultaneous data transmission and fiber breakpoint localization within a single wavelength channel. Conventional optical fiber sensing systems are endowed with communication capability by the proposed scheme, thereby enhancing system intelligence. A periodically linearly frequency-modulated optical signal, generated by a tunable laser with nonlinear frequency sweep compensation, is utilized as both the communication carrier and OFDR sensing probe. Through intensity modulation, communication information is modulated onto the optical signal, thereby enabling the concurrent realization of optical fiber communication based on intensity information and fiber break-point localization sensing based on frequency domain information. In addition, to address the issue of periodic fading of the optical carrier power induced by the tunable laser, a sliding-windows normalization algorithm is employed to achieve the optimal communication performance by selecting optimal window length. Through system experiments verification, the proposed system can achieve 25 Mbps data transmission and high-precision fiber fault point localization with a distance resolution of 12.28 cm. Moreover, simulation results demonstrate that the proposed system can achieve 25 Gbps data transmission and fiber break-point localization sensing over a 20 km standard single-mode fiber. Therefore, the proposed scheme thus enables fast and accurate fiber breakpoint localization alongside high-speed communication, representing a promising solution for high precision integrated fiber communication and sensing. © 2025 Elsevier Ltd","Distributed fiber-optic sensor; Integrated sensing and communication; Optical communication; Optical frequency domain reflectometer","Carrier communication; Convolutional codes; Data communication systems; Fiber optic sensors; Frequency domain analysis; Frequency modulation; Optical fiber communication; Optical materials; Optical signal processing; Optical systems; Optical waveguides; Breakpoint; Data-transmission; Distributed fiber-optic sensors; Integrated sensing; Integrated sensing and communication; Intensity modulations; Localisation; Optical frequency domain reflectometers; Optical-; Point localization; Single mode fibers","Article","Final","","Scopus","2-s2.0-105012769438"
"Chia, L.-W.; Motani, M.","Chia, Lihwei (58575864700); Motani, Mehul (6603429024)","58575864700; 6603429024","Poster: High-Performance Optical Camera Communications for ISAC Localization and Sensing","2025","","","","","1371","1373","0","10.1145/3680207.3765690","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023831847&doi=10.1145%2F3680207.3765690&partnerID=40&md5=8a627c4885d38586099bea41a7ffa78f","High-Performance Optical Camera Communications (HP-OCC) extends conventional Optical Camera Communication (OCC) by combining single-photon avalanche diode (SPAD) sensors with on-sensor edge processing. This enables high-speed optical communication and centimetre-level localization within a single platform, offering a compelling optical-domain alternative for Integrated Sensing and Communication (ISAC) in RF-restricted or congested environments. In collaboration with Kuehne+Nagel, HP-OCC was deployed in an operational warehouse to evaluate two logistics applications: inventory tracking using passive optical tags and warehouse automation via an AGV equipped with HP-OCC for simultaneous video streaming and localization. Passive tags, operating without dedicated power, were reliably identified despite interference from ambient LED lighting, while AGV trials demonstrated stable 5Mbps video transmission and 10cm localization accuracy over 25m. Higher data rates are possible with advancements in SPAD technology. © 2025 Copyright held by the owner/author(s).","integrated sensing; ISAC; localization; localization; OCC; Optical Camera Communication; spatial multiplexing","Cameras; Distributed computer systems; Image communication systems; Optical communication; Video streaming; Visual communication; Warehouses; Integrated sensing; Integrated sensing and communication; Localisation; Optical camera; Optical camera communication; Spatial multiplexing; Particle beams","Conference paper","Final","","Scopus","2-s2.0-105023831847"
"Deng, K.; Liu, J.; Lu, X.; Chen, J.; Zhou, Y.; Li, W.","Deng, Ketong (60089156000); Liu, Jiaxuan (57574587400); Lu, Xin (59713958400); Chen, Jiali (58627562600); Zhou, Ye (60029385800); Li, Weiping (57215324949)","60089156000; 57574587400; 59713958400; 58627562600; 60029385800; 57215324949","A Unified OFDM-ISAC Signal Generation Architecture in W-Band via Photonics-Aided Frequency Multiplication and Phase Noise Mitigation","2025","Photonics","12","11","1052","","","0","10.3390/photonics12111052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023203888&doi=10.3390%2Fphotonics12111052&partnerID=40&md5=619456340c7ef67c8288a6cc1977a565","This work proposes a photonics-aided W-band integrated sensing and communication (ISAC) system using photonics-aided frequency multiplication to suppress phase noise. Conventional dual-laser architectures suffer from phase noise accumulation, degrading both communication reliability and sensing resolution. To address this, we integrate photonics-aided frequency multiplication with orthogonal frequency-division multiplexing (OFDM), enabling a unified signal structure that simultaneously encodes communication data and radar waveforms without redundant resource allocation. Theoretical analysis reveals phase noise cancellation through coherent beating of symmetrically filtered sidebands in the photodetector (PD). Results demonstrate concurrent delivery of probability shaping (PS)-256QAM OFDM signals with a symbol error rate below 4.2 × 10−2 and radar sensing with a 13.6 dB peak-to-sidelobe ratio (PSLR). Under a 1 MHz laser linewidth, the system achieves a 3.2 dB PSLR improvement over conventional methods, validating its potential for high-performance ISAC in beyond-5G networks. © 2025 by the authors.","orthogonal frequency-division multiplexing; phase noise cancellation; photonics-aided frequency multiplication; W-Band integrated sensing and communication","Computer architecture; Network architecture; Optical fiber communication; Phase noise; Photonics; Communication signals; Frequency multiplication; Integrated sensing; Orthogonal frequency-division multiplexing; Peak-to-sidelobe ratio; Phase noise cancellation; Photonic-aided frequency multiplication; Sensing signals; W bands; W-band integrated sensing and communication; Orthogonal frequency division multiplexing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023203888"
