metric_record_id,study_cluster_id,source_screening_record_id,condition_set_id,tradeoff_id,metric_domain,metric_family_code,metric_name_reported,measurement_plane_code,validation_type_code,result_representation,comparison_operator,value_numeric,value_low,value_high,uncertainty_type,uncertainty_value,unit_reported,value_status,value_origin,normalization_status,normalized_value,normalized_unit,normalization_formula,normalization_input_ids,scenario_summary,baseline_comparator,comparison_group_id,metric_comparability_class,metric_comparison_admissibility_class,pdf_page,section_heading,table_id,figure_id,equation_id,verification_status,conflict_flag,schema_version,final_claim_status,final_survey_use_class,final_comparison_admissibility,cross_study_quantitative_comparison_allowed,final_reason_code,independent_human_status,source_workbook_sha256
MET-SCR00007-001,STC-SINGLETON-SCR-00007,SCR-00007,COND-SCR00007-SNR-GT12-8P,TRD-SCR00007-001,communication,BER,Bit Error Rate (BER),link,simulation,threshold,lt,0.001,,,NR,,unitless,reported,reported,not_normalized_reported_value,,,,,64-subcarrier optical OFDM; 16-QAM; 8 pilots; idealized short-reach AWGN; Eb/N0 > 12 dB.,Theoretical 16-QAM AWGN BER trend and pre-FEC threshold.,CG-OPTICAL-OFDM-AWGN-BER,directly_comparable,admissible,7,6.2. Bit error rate performance,,Fig. 3,Eq. (1),verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,admissible,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00007-002,STC-SINGLETON-SCR-00007,SCR-00007,COND-SCR00007-SNR-GT14-8P,TRD-SCR00007-001,sensing,MAPE,Mean Absolute Pilot Error (MAPE),link,simulation,threshold,lt,0.1,,,NR,,unitless,reported,reported,not_normalized_reported_value,,,,,8 fixed-amplitude pilots; 100 OFDM symbols; idealized short-reach AWGN; Eb/N0 > 14 dB.,,NO-DIRECT-GROUP-PILOT-DEVIATION-PROXY,not_comparable,not_admissible,6–8,5.2.1; 6.3,,Fig. 4,Eq. (2),verified,resolved_construct_scope,phase_d_schema_v1.0_pilot_locked,supported_with_source_specific_guardrail,eligible_quantitative,not_admissible,no,metric_scope_or_definition_guardrail,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00007-003,STC-SINGLETON-SCR-00007,SCR-00007,COND-SCR00007-8OF64-PILOTS,TRD-SCR00007-002,communication,spectral_efficiency,Spectral efficiency (η),link,simulation,scalar,eq,0.875,,,NR,,fraction,reported,reported,not_normalized_reported_value,,,,,"64 total subcarriers, 56 data subcarriers, 8 dual-function pilot subcarriers.",,CG-PILOT-OFDM-DATA-SUBCARRIER-RATIO,conditionally_comparable,conditionally_admissible,6;9;11,5.3.1; 6.5; 6.7,,Figs. 6 and 8,Eq. (3),verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00007-004,STC-SINGLETON-SCR-00007,SCR-00007,COND-SCR00007-SNR-4DB-8P,,communication,BER,Bit Error Rate (BER),link,simulation,scalar,approx,0.1,,,NR,,unitless,reported,reported,not_normalized_reported_value,,,,,64-subcarrier optical OFDM; 16-QAM; 8 pilots; idealized short-reach AWGN; Eb/N0 = 4 dB.,,CG-OPTICAL-OFDM-AWGN-BER,directly_comparable,admissible,10,6.6. Constellation diagram visualization,,Fig. 7,Eq. (1),verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,admissible,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00007-005,STC-SINGLETON-SCR-00007,SCR-00007,COND-SCR00007-SNR-20DB-8P,,communication,BER,Bit Error Rate (BER),link,simulation,threshold,lt,0.00001,,,NR,,unitless,reported,reported,not_normalized_reported_value,,,,,64-subcarrier optical OFDM; 16-QAM; 8 pilots; idealized short-reach AWGN; Eb/N0 = 20 dB.,,CG-OPTICAL-OFDM-AWGN-BER,directly_comparable,admissible,10,6.6. Constellation diagram visualization,,Fig. 7,Eq. (1),verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,admissible,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00007-006,STC-SINGLETON-SCR-00007,SCR-00007,COND-SCR00007-SNR-20DB-8P,,sensing,MAPE,Mean Absolute Pilot Error (MAPE),link,simulation,scalar,approx,0.05,,,NR,,unitless,reported,reported,not_normalized_reported_value,,,,,8 fixed-amplitude pilots; 100 OFDM symbols; idealized short-reach AWGN; Eb/N0 = 20 dB.,,NO-DIRECT-GROUP-PILOT-DEVIATION-PROXY,not_comparable,not_admissible,11,6.8. Joint performance assessment,,Fig. 9,Eq. (2),verified,resolved_construct_scope,phase_d_schema_v1.0_pilot_locked,supported_with_source_specific_guardrail,eligible_quantitative,not_admissible,no,metric_scope_or_definition_guardrail,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-001,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-DBR-DSHI,,sensing,other,DBR laser linewidth,device_component,laboratory_experiment,scalar,approx,600,,,NR,,kHz,reported,reported,not_normalized_reported_value,,,,,"Commercial TL5600AN DBR laser; DSHI using 2-km DF2, 200-MHz AOM3, 350-MHz BPD and 1000 PSD averages.",Published DBR value 500 kHz; NKT X15 comparator below 100 Hz.,CG-FTDVS-REPORTED-LASER-LINEWIDTH,conditionally_comparable,conditionally_admissible,4,3. Experiments and Result Discussion,,Fig. 3,,verified,yes_linewidth_definition_guardrail,phase_d_schema_v1.0_pilot_locked,supported_with_source_specific_guardrail,eligible_quantitative,conditionally_admissible,no,metric_scope_or_definition_guardrail,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-002,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-DBR-DSHI,,sensing,other,DSHI Lorentz-fit FWHM,device_component,laboratory_experiment,scalar,eq,1.21,,,NR,,MHz,reported,reported,not_normalized_reported_value,,,,,Normalized PSD of the received 200-MHz DSHI beat signal; 1000 averages.,Text-reported laser linewidth approximately 600 kHz.,CG-DSHI-BEAT-SPECTRUM-FWHM,conditionally_comparable,conditionally_admissible,4,3. Experiments and Result Discussion,,Fig. 3,,verified,yes_linewidth_definition_guardrail,phase_d_schema_v1.0_pilot_locked,supported_with_source_specific_guardrail,eligible_quantitative,conditionally_admissible,no,metric_scope_or_definition_guardrail,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-003,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-DBR-REFERENCE,,sensing,other,Previously reported DBR linewidth,device_component,laboratory_experiment,scalar,eq,500,,,NR,,kHz,reported,reported,not_normalized_reported_value,,,,,Secondary-source comparator cited as Ref. 19.,Current-work text value approximately 600 kHz.,CG-FTDVS-REPORTED-LASER-LINEWIDTH,conditionally_comparable,conditionally_admissible,4,3. Experiments and Result Discussion,,Fig. 3,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-004,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-DBR-REFERENCE,,sensing,other,Linewidth discrepancy,device_component,laboratory_experiment,scalar,eq,20,,,NR,,%,reported,reported,not_normalized_reported_value,,,,,Present DSHI measurement versus cited DBR value.,Previously reported 500-kHz DBR linewidth.,NO-DIRECT-GROUP-INTRASTUDY-LINEWIDTH-DISCREPANCY,descriptive_only,not_admissible,4,3. Experiments and Result Discussion,,Fig. 3,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,not_admissible,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
