artifact_id	relative_path	role	bytes	sha256	status
BAL-BASE-001	systematic_review_workflow/07_raporlama/outputs/comst_prose_revision_2026-08-08/manuscript/comst_206_v2_9section/main.tex	active_driver	2557	03216078BA9D26AB64E3F3CDBED529EB1753DC6F3F0EA48F6EB25D396F7FEC23	read_only_authority
BAL-BASE-002	systematic_review_workflow/07_raporlama/outputs/comst_prose_revision_2026-08-08/manuscript/comst_206_v2_9section/MANUSCRIPT_BODY_INPUTS.tex	body_order	768	704CCB968C660CA88C1F04ECD48C1DB0096AF234F153043DD7FCE0D7710B8B49	read_only_authority
BAL-BASE-003	systematic_review_workflow/07_raporlama/outputs/comst_prose_revision_2026-08-08/manuscript/comst_206_v2_9section/main.pdf	27_page_reference_pdf	598488	6A195C6856E5BD784DEF0A5149B1DF025771E5E50D7B2C02A7D229108B450DC2	read_only_authority
BAL-BASE-004	systematic_review_workflow/07_raporlama/outputs/comst_prose_revision_2026-08-08/manuscript/comst_206_v2_9section/deliverables/OISAC_COMST_OVERLEAF_CORE_2026-08-25.zip	frozen_source_package	470379	FD69AD68C68B6408FF1B0CE5E584156F6B773FA78F199ADEDF0C9440B648AC88	read_only_authority
BAL-BASE-005	systematic_review_workflow/07_raporlama/outputs/comst_prose_revision_2026-08-08/manuscript/comst_206_v2_9section/references_206_candidate.bib	included_study_bibliography	88969	669E3B8ACEC08246F264F4F73A4A1F2B09420EE54D2FD1B287392DADF493A064	read_only_authority
BAL-BASE-006	systematic_review_workflow/07_raporlama/outputs/comst_prose_revision_2026-08-08/manuscript/comst_206_v2_9section/references_companion_21_candidate.bib	companion_bibliography	11377	5C88E4EA73E7F48187244BCC90A56D557382A78D894E96FC7602AF7172DD72E2	read_only_authority
BAL-BASE-007	systematic_review_workflow/07_raporlama/outputs/comst_prose_revision_2026-08-08/manuscript/comst_206_v2_9section/references_context_candidate.bib	context_bibliography	20141	FC265ABE09A1719539AD56F63EDAC86A6DED2FB632DE1F36444C320667CD3E7E	read_only_authority
BAL-BASE-008	submission_supplement_final_v10_2026-08-17/evidence/ST-19_PRIMARY_METRIC_RESULTS_4779.csv	primary_metric_evidence	2888427	DAC20625EF18C97BAC289F6AA05C2E2A75172E14CC76745780DDEDF9B689C539	read_only_authority
BAL-BASE-009	systematic_review_workflow/04_veri_cekme/outputs/phase_d_survey_ready_2026-08-04/OISAC_PHASE_D_SURVEY_READY_2026-08-04.xlsx	phase_d_canonical_workbook	5393766	C1B3B89789C6ED3E20DA5A6283E480875C1913E21AF88FF59AC747A6AA949348	read_only_authority
BAL-BASE-010	systematic_review_workflow/07_raporlama/outputs/comst_prose_revision_2026-08-08/style_profile/COMST_HOUSE_STYLE_FOR_OISAC.md	local_comst_style_contract	7812	2967FBBACDE82C935AE4CC794F4E7CB7A8B5B346A17372790A8ADD801E84BC83	read_only_reference

