metric_record_id,selection_role,study_cluster_id,source_screening_record_id,source_pdf_sha256,pdf_page,section_heading,table_id,figure_id,equation_id,metric_name_reported,comparison_operator,value_numeric,value_low,value_high,uncertainty_type,uncertainty_value,unit_reported,measurement_plane_code,validation_type_code,scenario_summary,baseline_comparator,directionality,comparison_role,reviewer_a_decision,reviewer_b_decision,adjudication_status,final_use,verification_status,notes
MET-SCR00052-G2-009,mandatory_core_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,candidate_not_verified,
MET-STCENDOGENOUS-G2-001,mandatory_core_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,candidate_not_verified,
MET-STCENDOGENOUS-G2-002,mandatory_core_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,candidate_not_verified,
MET-SCR00038-G2-004,mandatory_core_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,candidate_not_verified,
MET-SCR00038-G2-005,mandatory_core_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,candidate_not_verified,
MET-SCR00038-G2-006,mandatory_core_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,candidate_not_verified,
MET-SCR00038-G2-007,mandatory_core_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,candidate_not_verified,
MET-SCR00057-G2-005,mandatory_core_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,candidate_not_verified,
MET-STCENDOGENOUS-G2-011,mandatory_core_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,candidate_not_verified,
MET-SCR00036-G2-005,mandatory_core_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,candidate_not_verified,
MET-SCR00086-G2-001,mandatory_core_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,candidate_not_verified,

