"metric_record_id","study_cluster_id","source_screening_record_id","metric_domain","metric_family_code","metric_name_reported","condition_set_id","tradeoff_id","unit_reported","pdf_page","section_heading","table_id","figure_id","equation_id","canonical_final_comparison_admissibility","canonical_cross_study_flag","canonical_independent_human_status","reviewer_1_status","reviewer_2_status","adjudication_status","phase_g_status"
"MET-SCR00007-003","STC-SINGLETON-SCR-00007","SCR-00007","communication","spectral_efficiency","Spectral efficiency (η)","COND-SCR00007-8OF64-PILOTS","TRD-SCR00007-002","fraction","6;9;11","5.3.1; 6.5; 6.7","","Figs. 6 and 8","Eq. (3)","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-003","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Previously reported DBR linewidth","COND-SCR00008-DBR-REFERENCE","","kHz","4","3. Experiments and Result Discussion","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-005","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Original-phase drift magnitude","COND-SCR00008-10KHZ-COMM-OFF","","rad","4","3. Experiments and Result Discussion","","Fig. 4(a)","Eq. (4)","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-006","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Differential-phase fluctuation before LPN compensation","COND-SCR00008-10KHZ-COMM-OFF","","rad","4-5","3. Experiments and Result Discussion","","Fig. 4(b)","Eq. (5)","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-007","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","LPN-compensated vibration-phase peak","COND-SCR00008-10KHZ-COMM-OFF","","rad","5","3. Experiments and Result Discussion","","Fig. 4(c)","Eq. (11)","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-008","STC-SINGLETON-SCR-00008","SCR-00008","sensing","sensing_SNR","Signal-to-noise ratio (SNR)","COND-SCR00008-10KHZ-COMM-OFF","","dB","5","3. Experiments and Result Discussion","","Fig. 4(c)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-009","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Low-frequency background noise floor before LPN compensation","COND-SCR00008-10KHZ-PSD-LT3KHZ","","dB (ref rad^2/Hz)","5","3. Experiments and Result Discussion","","Fig. 5(a)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-010","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Low-frequency background noise floor after LPN compensation","COND-SCR00008-10KHZ-PSD-LT3KHZ","","dB (ref rad^2/Hz)","5","3. Experiments and Result Discussion","","Fig. 5(a)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-011","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Low-frequency noise-floor reduction","COND-SCR00008-10KHZ-PSD-LT3KHZ","","dB","5","3. Experiments and Result Discussion","","Fig. 5(a)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-012","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","No-vibration mean noise floor before LPN compensation","COND-SCR00008-PZT-OFF-PSD-100KHZ","","dB (ref rad^2/Hz)","5","3. Experiments and Result Discussion","","Fig. 5(b)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-013","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","No-vibration mean noise floor after LPN compensation","COND-SCR00008-PZT-OFF-PSD-100KHZ","","dB (ref rad^2/Hz)","5","3. Experiments and Result Discussion","","Fig. 5(b)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-014","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","No-vibration noise-floor reduction","COND-SCR00008-PZT-OFF-PSD-100KHZ","","dB","5","3. Experiments and Result Discussion","","Fig. 5(b)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
