"record_id","citation","year","full_text_assessed","exclusion_code","exclusion_reason","notes"
"SCR-00060","Sun Z.; Shi F.; Shi Z.; Choi H.W.; Liu Y.; Wang Y.; Yan J.. (2025). GaN Optoelectronic Integrated Chip with Multifunctions of Communication and Neuromorphic Computing. Advanced Optical Materials. https://doi.org/10.1002/adom.202403514","2025","yes","FTX04","No genuine sensing-communication integration","PDF pp.1-9; device modes pp.1,4-8; conclusion p.8 — Complete Advanced Optical Materials research article on a GaN chip with switchable photodetector, light-emitting synapse and VLC transmitter modes. It characterizes photodetection and VLC separately but does not demonstrate an independent sensing task jointly operated, co-designed or jointly evaluated with communication as an ISAC system."
"SCR-00087","Wang Y.; Zhong N.; Bai W.; He T.; Pan W.; Yan L.; Zou X.. (2026). Integration of Communication，Sensing，and Measurement Technology Based on Photonic Spread-spectrum Phase Encoding（Invited）; [基于光子学扩频相位编码的通感测一体化技术 （特邀）]. Guangzi Xuebao/Acta Photonica Sinica. https://doi.org/10.3788/gzxb20265503.0355107","2026","yes","FTX07","Insufficient English full technical content","PDF pp.1-10 Chinese technical body; pp.11-12 English extended abstract — Technical article on photonic spread-spectrum phase-coded ISAC with communication, radar and 3D-localization simulation metrics. The full technical body is Chinese; the English material is an extended abstract rather than complete English technical content."
"SCR-00094","Tang M.; Wang H.; Wang X.; Wang Y.; Zhai S.; Liu Y.; Yang Z.; Shen L.; Zhang L.; Luo J.; Huang Z.; Zhang L.. (2025). Heterogeneous Seven-Core Fiber for Integrated Sensing and Communication System (Invited); [用 于 感 传 一 体 系 统 的 异 质 七 芯 光 纤（特 邀）]. Laser and Optoelectronics Progress. https://doi.org/10.3788/lop251579","2025","yes","FTX07","Insufficient English full technical content","PDF pp.1-13; English abstract on opening pages, Chinese technical body thereafter — Invited full research article designing and characterizing a heterogeneous seven-core optical fiber for digital, analog and sensing signal functions. The detailed technical body is Chinese; English content is limited to the abstract."
"SCR-00129","Luo H.; Xu N.; Wang S.; Kuang H.; Ge H.; Li X.; Jia B.. (2026). Design and modelling of InAs detection system on SOI via monolithic integration for mid-infrared integrated sensing and communication. Optics Communications. https://doi.org/10.1016/j.optcom.2025.132782","2026","yes","FTX03","Sensing only without communication","PDF p.1 Abstract; pp.9-10 sensing proposal and conclusion — The paper models an InAs photodetector and chemical-sensing platform but does not evaluate data transmission, modulation, BER, rate, or a communication link. Device bandwidth alone is not an evaluated communication function."
"SCR-00146","Yang X.; Duo L.; Ren Y.; Xu B.. (2026). Underwater visible light communication sensing integrated waveform design based on OTFS-LFM; [基于 OTFS-LFM 的水下可见光通信感知一体化波形设计]. Journal of Beijing University of Aeronautics and Astronautics. https://doi.org/10.13700/j.bh.1001-5965.2023.0770","2026","yes","FTX07","Insufficient English full technical content","PDF pp.1-8 Chinese technical body; English title/abstract/captions only — The technical methods, results, discussion, and conclusion are in Chinese. English content is limited to the title, abstract, keywords, and captions, which is insufficient under locked FTI02."
"SCR-00147","Lu Y.; Gu J.; Liu P.; Chen M.; Bian Q.; Wang J.; Hu X.; Chen Y.; Chen W.; Meng Z.. (2025). Optimization Scheme of Multi-Span Relay Amplification Along Optical Fiber Link for Simultaneous Sensing and Communication (Invited); [感 通 一 体 光 纤 链 路 多 跨 段 中 继 放 大 优 化 方 案（特 邀）]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos251165","2025","yes","FTX07","Insufficient English full technical content","PDF pp.1-6 Chinese technical body; pp.6-7 English structured summary — The detailed technical body is Chinese. The English Objective/Methods/Results/Conclusions section is a structured summary rather than sufficient full technical content."
"SCR-00163","Cai K.; Song B.; Lin W.; Duan S.; Liu H.; Zhang H.; Liu B.. (2025). Reconfigurable optical convolution operation architecture based on fiber Bragg gratings. Optics Express. https://doi.org/10.1364/oe.573304","2025","yes","FTX04","No genuine sensing-communication integration","PDF Abstract/Introduction; Sec.4 experiments; Conclusion — The demonstrated FBG platform performs optical convolution and classification experiments only. Sensing and communication are discussed as prospective applications, with no genuine joint sensing-communication system or evaluation."
"SCR-00187","Cao M.; Zhou G.; Yang Q.; Zhang Y.; Zhang X.; Wang H.. (2025). Enhanced Integration and Performance Analysis of Integrated OFDM-LFM Wireless Optical Communication and Sensing System; [OFDM-LFM 无线光通信感知一体化系统及性能分析]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos241257","2025","yes","FTX07","Insufficient English full technical content","PDF pp.1-11 Chinese technical body; p.12 English extended abstract — The OFDM-LFM system, simulations, and results are presented in Chinese; English content is an extended abstract only and is insufficient under locked FTI02."
"SCR-00200","Shihao F.; Nan F.; Xiaobo Z.; Danping R.; Jijun Z.. (2026). Optimized Sensor Deployment for Integrated Sensing and Communication Optical Networks; [通 感 一 体 光 网 络 中 传 感 设 备 部 署 优 化 研 究]. Laser and Optoelectronics Progress. https://doi.org/10.3788/lop251311","2026","yes","FTX07","Insufficient English full technical content","PDF pp.1-9 Chinese technical body; pp.9-10 English extended abstract — The optical-network deployment model and simulation results are presented in Chinese; English content is an extended abstract only and is insufficient under locked FTI02."
"SCR-00223","Gilligan J.E.; Voshell A.B.; Moody D.M.; Tomasello N.S.; O Connor S.R.; Clark T.R.. (2025). Development of a Frequency Agile RF-Photonic Digital Transceiver. Journal of Lightwave Technology. https://doi.org/10.1109/jlt.2025.3612848","2025","yes","FTX04","No genuine sensing-communication integration","Abstract; application-demonstration sections — Fotonik transceiver donanımı, waveform identification ve spectrum scanning gösteriliyor; aynı çalışmada genuine joint communication-sensing uygulama/performance değerlendirmesi yok."
