row_type,section,study_id,axis,record_id,raw_token,normalized_category,record_eligibility,is_recognized,body_membership_included,recognized_categories_for_study_axis,recognized_category_count_for_study_axis,eligible_raw_token_count_for_study_axis,fallback_body_id,fallback_body_included_for_study_axis,decision_reason
axis_summary,S3,STC-SINGLETON-SCR-00001,communication,,,other_communication_metric,study_domain_summary,NA,no,bandwidth_waveform_configuration|power_energy_device_response,2,4,S3-communication_other_communication_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00001,communication,MET-B20-SCR00001-005,other,other_communication_metric,eligible,no,no,bandwidth_waveform_configuration|power_energy_device_response,2,4,S3-communication_other_communication_metric,no,unmatched_token_audit_only_because_recognized_category_exists
raw_token,S3,STC-SINGLETON-SCR-00001,communication,MET-B20-SCR00001-006,receiver_bandwidth,bandwidth_waveform_configuration,eligible,yes,yes,bandwidth_waveform_configuration|power_energy_device_response,2,4,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00001,communication,MET-B20-SCR00001-007,other,power_energy_device_response,eligible,yes,yes,bandwidth_waveform_configuration|power_energy_device_response,2,4,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00001,communication,MET-B20-SCR00001-009,other,other_communication_metric,eligible,no,no,bandwidth_waveform_configuration|power_energy_device_response,2,4,S3-communication_other_communication_metric,no,unmatched_token_audit_only_because_recognized_category_exists
axis_summary,S3,STC-SINGLETON-SCR-00001,sensing,,,other_sensing_metric,study_domain_summary,NA,no,power_energy_device_response|sensitivity_detection_limit|system_configuration_or_input_parameter,3,8,S3-sensing_other_sensing_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00001,sensing,MET-B20-SCR00001-001,other,power_energy_device_response,eligible,yes,yes,power_energy_device_response|sensitivity_detection_limit|system_configuration_or_input_parameter,3,8,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00001,sensing,MET-B20-SCR00001-002,other,other_sensing_metric,eligible,no,no,power_energy_device_response|sensitivity_detection_limit|system_configuration_or_input_parameter,3,8,S3-sensing_other_sensing_metric,no,unmatched_token_audit_only_because_recognized_category_exists
raw_token,S3,STC-SINGLETON-SCR-00001,sensing,MET-B20-SCR00001-003,other,sensitivity_detection_limit,eligible,yes,yes,power_energy_device_response|sensitivity_detection_limit|system_configuration_or_input_parameter,3,8,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00001,sensing,MET-B20-SCR00001-004,other,other_sensing_metric,eligible,no,no,power_energy_device_response|sensitivity_detection_limit|system_configuration_or_input_parameter,3,8,S3-sensing_other_sensing_metric,no,unmatched_token_audit_only_because_recognized_category_exists
