"pilot_order","source_metric_record_id","candidate_status","canonical_study_cluster_id","canonical_source_report_id","canonical_condition_set_id","canonical_metric_domain","canonical_metric_family_code","canonical_metric_name_reported","canonical_result_representation","canonical_comparison_operator","canonical_value_numeric","canonical_value_low","canonical_value_high","canonical_uncertainty_type","canonical_uncertainty_value","canonical_unit_reported","canonical_measurement_plane_code","canonical_validation_type_code","canonical_scenario_summary","canonical_baseline_comparator","canonical_pdf_page","canonical_section_heading","canonical_table_id","canonical_figure_id","canonical_equation_id","selection_modality_proxy","selection_modality_proxy_basis","selection_diversity_roles","selection_rationale"
"1","MET-SCR00007-003","PILOT_CANDIDATE_REQUIRES_G1_APPROVAL","STC-SINGLETON-SCR-00007","SCR-00007","COND-SCR00007-8OF64-PILOTS","communication","spectral_efficiency","Spectral efficiency (η)","scalar","eq","0.875","","","NR","","fraction","link","simulation","64 total subcarriers, 56 data subcarriers, 8 dual-function pilot subcarriers.","","6;9;11","5.3.1; 6.5; 6.7","","Figs. 6 and 8","Eq. (3)","pilot_subcarrier_ofdm","condition/scenario: 8 of 64 dual-function pilot subcarriers","communication|scalar|figure|equation|simulation|singleton_token","Operator/value check plus multi-page figure/equation locator."
"2","MET-SCR00036-G2-007","PILOT_CANDIDATE_REQUIRES_G1_APPROVAL","STC-SINGLETON-SCR-00036","SCR-00036","COND-SCR00036-BEAM-STEERING","joint","other","Beam-steering switching time","scalar","eq","23","","","","","us","device_component","laboratory_experiment","Thermo-optic switch/time-delay network.","","4;6","2.1 Design and Characterization; 3 Conclusion","Table 1","Fig. 3","","phased_array_time_delay","metric/section/scenario: beam steering, time-delay network, design characterization","joint|scalar|table|figure|laboratory|singleton_token","One of only two table-located candidates; joint device-component timing."
"3","MET-SCR00196-008","PILOT_CANDIDATE_REQUIRES_G1_APPROVAL","STC-SINGLETON-SCR-00196","SCR-00196","COND-SCR00196-SI-2M","communication","data_rate","Data-rate range across structured illuminations","range","range","","3.16","3.52","NR","","Gbit/s","link","laboratory_experiment","2 m link; alpha=1/4","","5","2.C","","Fig. 4","","structured_illumination_link","metric/scenario: structured illuminations over a 2 m link","communication|range|figure|laboratory|singleton_token","Exercises low/high range transcription and link-plane conditions."
"4","MET-SCR00196-021","PILOT_CANDIDATE_REQUIRES_G1_APPROVAL","STC-SINGLETON-SCR-00196","SCR-00196","COND-SCR00196-REFINED-XNEG","sensing","estimation_error","Estimated negative X displacement","mean_SD","eq","-0.491","","","SD","0.006","mm","system","laboratory_experiment","ROI-refined localization after beamforming","","8","2.D","","Fig. 6","","beamformed_localization","scenario: ROI-refined localization after beamforming","sensing|mean_SD|uncertainty|figure|laboratory|singleton_token","Exercises explicit SD uncertainty without inferring missing bounds."
"5","MET-R01-SCR00233-019","PILOT_CANDIDATE_REQUIRES_G1_APPROVAL","STC-SINGLETON-SCR-00233","SCR-00233","COND-SCR00233-COMPLEXITY","joint","other","Inference complexity per OFDM frame","scalar","approx","8500000","","","","","MACs/frame","system","analytical","One 128-unit bidirectional LSTM plus two Transformer layers","Conventional 2D-FFT approximately 5 x 10^5 MACs","8","4.5 Complexity analysis","Table 3","","","neural_ofdm_processing","metric/scenario: bidirectional LSTM plus Transformer processing per OFDM frame","joint|scalar|table|analytical|baseline|singleton_token","Second table locator; approximate operator and explicit complexity baseline."
"6","P03-M004","PILOT_CANDIDATE_REQUIRES_G1_APPROVAL","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00553","C-SCR00553-JW","joint","waveform_period","Triangular repetition period","scalar","eq","800","","","NR","","ns","device_component","laboratory_experiment","2025 joint waveform","","1-2","Experiment; Results","","Figure 2","","thz_fmcw_joint_waveform","study-cluster token: TUNABLE-LASER-THZ-FMCW","joint|scalar|figure|laboratory|non_singleton_cluster_token","Deterministic non-singleton study-cluster candidate for companion handling."
"7","MET-SCR00941-004","PILOT_CANDIDATE_REQUIRES_G1_APPROVAL","STC-SINGLETON-SCR-00941","SCR-00941","COND-SCR00941-ANALYTICAL-CRB","sensing","CRB","Profile-estimation CRB","curve","","","","","NR","","cm","system","analytical","Optimized OPA and waveform; Fig. 5(b)","","6;12","Metric derivation; Numerical Results","","Fig. 5(b)","Eqs. (35)-(37)","opa_waveform_design","scenario: optimized OPA and waveform","sensing|curve|figure|equation|analytical|singleton_token","Exercises non-scalar curve evidence and split derivation/numerical locators."
"8","MET-SCR00056-G2-006","PILOT_CANDIDATE_REQUIRES_G1_APPROVAL","STC-SINGLETON-SCR-00056","SCR-00056","COND-SCR00056-EXP-SENSING-LE20M","sensing","localization_error","Breakpoint localization error within 20 m","range","","","-20","20","","","cm","system","laboratory_experiment","Physical breakpoint experiment using short exposed-end fibers.","","6","4.2 Sensing results","","Fig. 6(b)","","fiber_breakpoint_sensing","scenario: physical breakpoint experiment using exposed-end fibers","sensing|range|figure|laboratory|singleton_token","Signed low/high range and physical fiber experiment."
"9","MET-SCR00086-G2-007","PILOT_CANDIDATE_REQUIRES_G1_APPROVAL","STC-SINGLETON-SCR-00086","SCR-00086","COND-SCR00086-FDE","communication","FEC_threshold","Optical power meeting 7% HD-FEC EVM threshold","threshold","gt","4","","","","","dBm","device_component","laboratory_experiment","UTC-PD input optical power sweep with FDE.","","2-3","3 Experimental Setup and Results","","Fig. 2(d)","","utc_pd_photonic_front_end","scenario: UTC-PD input optical-power sweep with FDE","communication|threshold|figure|laboratory|device_component|singleton_token","Threshold/operator and device-component measurement-plane check."
"10","P03-M039","PILOT_CANDIDATE_REQUIRES_G1_APPROVAL","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","C-SCR00083-JW-R15","communication","occupied_bandwidth","ASK main-lobe bandwidth","scalar","approx","30","","","NR","","GHz","link","laboratory_experiment","2026 joint waveform","","11","4.2 Results and Discussion","","","","thz_fmcw_ask_communication","study-cluster/scenario: TUNABLE-LASER-THZ-FMCW and 2026 joint waveform","communication|scalar|page_section_only|laboratory|companion_pair_with_P03-M004","Pairs the second report in the same study cluster with P03-M004 to exercise companion-report identity."
