"pilot_order","source_metric_record_id","reviewer_1_status","reviewer_2_status","identity_agreement","locator_agreement","operator_value_range_agreement","unit_agreement","verification_outcome_agreement","discrepancy_status","protocol_sequence_status","review_date"
"1","MET-SCR00007-003","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
"2","MET-SCR00036-G2-007","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
"3","MET-SCR00196-008","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
"4","MET-SCR00196-021","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
"5","MET-R01-SCR00233-019","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
"6","P03-M004","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
"7","MET-SCR00941-004","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
"8","MET-SCR00056-G2-006","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
"9","MET-SCR00086-G2-007","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
"10","P03-M039","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
"11","MET-SCR00008-005","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
"12","MET-R01-SCR00238-014","COMPLETE_LOCKED","COMPLETE_LOCKED","yes","yes","yes","yes","yes","none","retrospective_sequence_deviation_recorded","2026-09-01"
