"source_metric_record_id","canonical_study_cluster_id","canonical_source_report_id","modality","canonical_metric_domain","canonical_metric_family_code","canonical_metric_name_reported","canonical_condition_set_id","canonical_comparison_group_id","canonical_comparison_operator","canonical_value_numeric","canonical_value_low","canonical_value_high","canonical_unit_reported","canonical_measurement_plane_code","canonical_validation_type_code","canonical_scenario_summary","canonical_baseline_comparator","canonical_pdf_page","canonical_section_heading","canonical_table_id","canonical_figure_id","canonical_equation_id","reviewed_source_pdf_sha256","reviewer_1_status","reviewer_2_status","discrepancy_status","verification_outcome","recommended_comparison_decision","recommended_survey_use_decision","recommended_card_id","recommendation_status","lock_date"
"MET-SCR00007-003","STC-SINGLETON-SCR-00007","SCR-00007","fiber","communication","spectral_efficiency","Spectral efficiency (η)","COND-SCR00007-8OF64-PILOTS","CG-PILOT-OFDM-DATA-SUBCARRIER-RATIO","eq","0.875","","","fraction","link","simulation","64 total subcarriers, 56 data subcarriers, 8 dual-function pilot subcarriers.","","6;9;11","5.3.1; 6.5; 6.7","","Figs. 6 and 8","Eq. (3)","753CFE02571D015F4A6BA356DB9A5FF6999E4AFDD9DEE0419EA478AB407D6D75","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-003","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Previously reported DBR linewidth","COND-SCR00008-DBR-REFERENCE","CG-FTDVS-REPORTED-LASER-LINEWIDTH","eq","500","","","kHz","device_component","laboratory_experiment","Secondary-source comparator cited as Ref. 19.","Current-work text value approximately 600 kHz.","4","3. Experiments and Result Discussion","","Fig. 3","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-005","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Original-phase drift magnitude","COND-SCR00008-10KHZ-COMM-OFF","CG-FTDVS-RAW-PHASE-DRIFT","gt","50000","","","rad","link","laboratory_experiment","600-kHz DBR laser; 10-kHz single-cycle PZT vibration; communication off.","Differential processing before and after LPN compensation.","4","3. Experiments and Result Discussion","","Fig. 4(a)","Eq. (4)","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-006","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Differential-phase fluctuation before LPN compensation","COND-SCR00008-10KHZ-COMM-OFF","CG-FTDVS-DIFFERENTIAL-PHASE-FLUCTUATION","lt","2000","","","rad","link","laboratory_experiment","600-kHz DBR; 10-kHz PZT; communication off; before LPN compensation.","Original phase drift above 50,000 rad.","4-5","3. Experiments and Result Discussion","","Fig. 4(b)","Eq. (5)","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-007","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","LPN-compensated vibration-phase peak","COND-SCR00008-10KHZ-COMM-OFF","CG-FTDVS-COMPENSATED-PHASE-PEAK","approx","40","","","rad","link","laboratory_experiment","600-kHz DBR; 10-kHz PZT; communication off; after reference-phase LPN compensation.","Differential phase before LPN compensation.","5","3. Experiments and Result Discussion","","Fig. 4(c)","Eq. (11)","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-008","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","sensing_SNR","Signal-to-noise ratio (SNR)","COND-SCR00008-10KHZ-COMM-OFF","CG-FTDVS-SENSING-SNR","eq","45.4","","","dB","link","laboratory_experiment","10-kHz PZT vibration; DBR with LPN compensation; communication signal absent.","Communication-on sensing SNR 44.6 dB; UNLL SNR 45.0 dB.","5","3. Experiments and Result Discussion","","Fig. 4(c)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-009","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Low-frequency background noise floor before LPN compensation","COND-SCR00008-10KHZ-PSD-LT3KHZ","CG-FTDVS-PHASE-PSD-NOISE-FLOOR","eq","11.8","","","dB (ref rad^2/Hz)","link","laboratory_experiment","10-kHz PZT vibration; PSD values below 3 kHz averaged.","After-compensation value -44.1 dB.","5","3. Experiments and Result Discussion","","Fig. 5(a)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","main_text","K2","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-010","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Low-frequency background noise floor after LPN compensation","COND-SCR00008-10KHZ-PSD-LT3KHZ","CG-FTDVS-PHASE-PSD-NOISE-FLOOR","eq","-44.1","","","dB (ref rad^2/Hz)","link","laboratory_experiment","10-kHz PZT vibration; PSD values below 3 kHz averaged.","Before-compensation value 11.8 dB.","5","3. Experiments and Result Discussion","","Fig. 5(a)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","main_text","K2","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-011","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Low-frequency noise-floor reduction","COND-SCR00008-10KHZ-PSD-LT3KHZ","CG-FTDVS-NOISE-FLOOR-REDUCTION","eq","55.9","","","dB","link","laboratory_experiment","10-kHz vibration; mean PSD below 3 kHz.","11.8 to -44.1 dB.","5","3. Experiments and Result Discussion","","Fig. 5(a)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-012","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","No-vibration mean noise floor before LPN compensation","COND-SCR00008-PZT-OFF-PSD-100KHZ","CG-FTDVS-PHASE-PSD-NOISE-FLOOR","eq","-1.6","","","dB (ref rad^2/Hz)","link","laboratory_experiment","PZT drive off; mean PSD up to 100 kHz.","After-compensation value -50.2 dB.","5","3. Experiments and Result Discussion","","Fig. 5(b)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
