paper_id,title,doi,section_type,word_count,sentence_count,paragraph_count,mean_sentence_words,median_sentence_words,p75_sentence_words,max_sentence_words,long_sentence_ratio_35,very_long_sentence_ratio_45,mean_paragraph_words,median_paragraph_words,p75_paragraph_words,max_paragraph_words,citations_per_100_words,numbers_per_100_words,transitions_per_100_words,first_person_per_100_words,method_terms_per_100_words,hype_terms_per_100_words,acronyms_per_100_words,parentheticals_per_100_words,commas_per_sentence,semicolons_per_100_words,list_heavy_sentence_ratio,questions,has_related_surveys,has_contributions,has_organization,has_scope_statement
COMST_001,6G Communication New Paradigm: The Integration of Autonomous Aerial Vehicles and Intelligent Reflecting Surfaces,10.1109/COMST.2025.3526251,abstract,146,6,1,24.333,24.5,32.25,33,0.0,0.0,146,146,146.0,146,0.0,2.74,0.0,0.685,0.0,0.0,4.795,2.055,1.667,0.0,0.1667,0,False,False,False,True
COMST_001,6G Communication New Paradigm: The Integration of Autonomous Aerial Vehicles and Intelligent Reflecting Surfaces,10.1109/COMST.2025.3526251,introduction,2178,83,21,26.217,23,29.0,105,0.1325,0.0602,103.714,99,158.0,202,3.949,6.749,0.781,0.367,0.0,0.0,4.821,3.627,1.699,0.0,0.1566,0,True,True,False,True
COMST_001,6G Communication New Paradigm: The Integration of Autonomous Aerial Vehicles and Intelligent Reflecting Surfaces,10.1109/COMST.2025.3526251,main_body,19525,757,172,25.778,23,31.0,83,0.1783,0.0727,113.517,101.5,156.75,452,2.356,4.784,0.748,0.061,0.067,0.005,5.296,2.361,1.69,0.005,0.2061,0,False,False,False,True
COMST_001,6G Communication New Paradigm: The Integration of Autonomous Aerial Vehicles and Intelligent Reflecting Surfaces,10.1109/COMST.2025.3526251,conclusion,139,8,1,17.375,16.5,20.5,22,0.0,0.0,139,139,139.0,139,0.0,2.158,1.439,4.317,0.0,0.0,8.633,0.0,1.375,0.0,0.125,0,False,False,False,True
COMST_002,"A Comprehensive Survey on Full-Duplex Communication: Current Solutions, Future Trends, and Open Issues",10.1109/COMST.2023.3318198,abstract,232,11,1,21.091,19,23.0,46,0.1818,0.0909,232,232,232.0,232,0.0,0.0,0.862,1.724,0.0,0.0,5.172,3.448,3.091,0.0,0.3636,0,False,False,False,False
COMST_002,"A Comprehensive Survey on Full-Duplex Communication: Current Solutions, Future Trends, and Open Issues",10.1109/COMST.2023.3318198,introduction,1550,71,17,21.817,20,27.0,70,0.0845,0.0141,91.176,64,133.0,225,4.0,2.323,0.71,1.032,0.065,0.0,8.452,3.097,2.451,0.129,0.4225,0,True,True,True,True
COMST_002,"A Comprehensive Survey on Full-Duplex Communication: Current Solutions, Future Trends, and Open Issues",10.1109/COMST.2023.3318198,main_body,30420,1108,302,27.434,24.0,32.0,218,0.1832,0.0758,100.728,80.5,149.75,443,3.386,6.039,0.618,0.082,0.046,0.01,6.565,3.044,1.847,0.03,0.2329,0,True,True,False,True
COMST_002,"A Comprehensive Survey on Full-Duplex Communication: Current Solutions, Future Trends, and Open Issues",10.1109/COMST.2023.3318198,conclusion,113,5,1,22.6,14,33.0,38,0.2,0.0,113,113,113.0,113,0.0,0.885,0.0,1.77,0.0,0.0,8.85,0.0,2.8,0.0,0.2,0,False,True,False,False
COMST_003,"A Comprehensive Survey on Radio Resource Management in 5G HetNets: Current Solutions, Future Trends and Open Issues",10.1109/COMST.2022.3207967,abstract,216,10,1,21.6,22.0,26.5,33,0.0,0.0,216,216,216.0,216,0.0,2.315,0.0,1.389,0.0,0.0,4.63,2.778,1.4,0.0,0.1,0,False,False,False,True
COMST_003,"A Comprehensive Survey on Radio Resource Management in 5G HetNets: Current Solutions, Future Trends and Open Issues",10.1109/COMST.2022.3207967,introduction,1649,71,17,23.169,21,29.0,64,0.1268,0.0704,97,84,133.0,232,1.152,5.215,0.061,0.0,0.0,0.0,5.518,2.304,1.268,0.0,0.1549,0,True,True,True,True
COMST_003,"A Comprehensive Survey on Radio Resource Management in 5G HetNets: Current Solutions, Future Trends and Open Issues",10.1109/COMST.2022.3207967,main_body,21254,922,182,23.031,21.0,28.0,171,0.09,0.0434,116.78,95.5,162.5,532,1.887,3.373,0.315,0.122,0.038,0.005,5.072,1.906,1.256,0.127,0.1584,0,True,True,True,True
COMST_003,"A Comprehensive Survey on Radio Resource Management in 5G HetNets: Current Solutions, Future Trends and Open Issues",10.1109/COMST.2022.3207967,conclusion,203,10,1,20.3,21.0,26.5,30,0.0,0.0,203,203,203.0,203,0.0,4.433,0.0,0.0,0.0,0.0,5.911,1.478,2.0,0.0,0.4,0,False,False,False,False
