"relative_path","bytes","sha256"
"figures/final_submission_2026-08-25/fig01_native_evidence_objects.pdf","40917","89659e1062d583ab7b00bdd2749d9ac3b9c340cfc3b8ec1acc52a2c06885f417"
"figures/final_submission_2026-08-25/fig02_comparison_framework.pdf","44387","27548e68ec2bf474bc1d4aca5c0ceacc183306e8bb510a64403815077aeed26f"
"figures/final_submission_2026-08-25/fig03_prisma_report_study_flow.pdf","50908","f418ee73d160ea3ad4f670a778501e0080530a679f1f2ee6961c456828f7fd1c"
"figures/final_submission_2026-08-25/fig04_tqaf_profile.pdf","62933","a78621045b491dfdc197f39bad43fc4dc76e0e1a99ac36bd88cbddec97b028cf"
"figures/final_submission_2026-08-25/fig05_integration_map.pdf","49401","d4b6be3c78511df4df0039bb17bcd84a71e459a5210c38fc489d9243537eab46"
"figures/final_submission_2026-08-25/fig06_tradeoff_profile.pdf","55065","a64d5b05549287119d4dc0a2dc73c4680b8afe7e68f6d892b62f0c156c3c2c79"
"figures/final_submission_2026-08-25/fig07_validation_profile.pdf","51242","d4c88d8b628e1838672ded46589435310f7dc8db88b3a01b6c14eb592c39198b"
"figures/final_submission_2026-08-25/fig08_technology_application_chain.pdf","54974","d6a6796a91dae4759bd138854265a9c6a77a95aec667b923ae937d4a55ac73b9"
"main.tex","2557","03216078ba9d26ab64e3f3cdbed529eb1753dc6f3f0ea48f6eb25d396f7fec23"
"MANUSCRIPT_BODY_INPUTS.tex","768","704ccb968c660ca88c1f04ecd48c1db0096af234f153043dd7fce0d7710b8b49"
"oisac_bib_control.bib","148","9e8eb6c16f2ab99bfc52fc7a6999f64cfe1c272e3d8862601d5254274f426d45"
"README_OVERLEAF.md","503","ab038ea95d2e6ae68f08d7aab0b61829c81fa4982f365448582af9f515cf866a"
"references_206_candidate.bib","88969","669e3b8acec08246f264f4f73a4a1f2b09420ee54d2fd1b287392dadf493a064"
"references_companion_21_candidate.bib","11377","5c88e4ea73e7f48187244bcc90a56d557382a78d894e96fc7602af7172dd72e2"
"references_context_candidate.bib","20141","fc265abe09a1719539ad56f63edac86a6ded2fb632de1f36444c320667cd3e7e"
"sections/00_ABSTRACT.tex","1764","a0c45546867691720d4aeff2478de623b1c6d6909c54777cc70437ed1166ed58"
"sections/01_INTRODUCTION.tex","7648","ad7afb117d43eb196bfec38ee7ee3cd5559e3e009e70bb8a09d9149bbed6e03a"
"sections/02_FOUNDATIONS_AND_COMPARISON_FRAMEWORK.tex","9697","9b9fb71ac5b5e3acb29ae19c57140e5bc691fadd23c2dee29ea9d81373ac81df"
"sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex","8183","2d17d5f32b5dab0600b6668b46bb9517897e8b6fdbef692f57cc021598c65558"
"sections/04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex","21210","a4472445d2260a48e1a94062668e63d3234689d3cdf46e990c8c5177cc83d01b"
"sections/05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex","32739","e35a7078035da781b98c32b010cf30bd7dec90b8184f5884bd28dc630691258a"
"sections/06_VALIDATION_REPRODUCIBILITY_AND_BENCHMARK_READINESS.tex","10513","aa1ffd7ecfe94858643f5495633e6551b1b80f9226590fc4dbe0279cbc02ee37"
"sections/07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G.tex","16616","5c9fae9703753db0f1f7d20431baec7586edbf4e912b83b19f4973ba08a38589"
"sections/08_DISCUSSION_ROADMAP_AND_LIMITATIONS.tex","8423","8146e0b02c39b4101ce7f199e2cbab550d0547516834416aa85f869137ea33c3"
"sections/09_CONCLUSION.tex","1728","1b52b9d25255caa12f9a7b892d53ea1b205e74eab25b2c2b107f3ff800954f8e"
