track_id,title,doi,corpus_dir,title_source,doi_source,present_in_extraction_v4_unified,present_in_legacy_included_studies_list,present_in_excluded_fulltext_log,notes
O_ISAC_001,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,10.1109/ICTON67126.2025.11125210,data/proc_markdowns/O_ISAC_001,meta_json_toc,legacy_included_list,yes,yes,no,
O_ISAC_002,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,,data/proc_markdowns/O_ISAC_002,meta_json_toc,,yes,yes,no,
O_ISAC_003,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,10.1109/WCNC61545.2025.10978645,data/proc_markdowns/O_ISAC_003,meta_json_toc,legacy_included_list,yes,yes,no,
O_ISAC_004,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication,10.1109/ICOCN67308.2025.11145535,data/proc_markdowns/O_ISAC_004,meta_json_toc,legacy_included_list,yes,yes,no,
O_ISAC_005,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,10.1109/WCNC61545.2025.10978163,data/proc_markdowns/O_ISAC_005,meta_json_toc,legacy_included_list,yes,yes,no,
O_ISAC_006,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,10.1109/ICCT62411.2024.10946617,data/proc_markdowns/O_ISAC_006,meta_json_toc,legacy_included_list,yes,yes,no,
O_ISAC_007,Miniaturized optical fiber displacement probe with large-collection-angle,10.1109/ICOCN67308.2025.11145514,data/proc_markdowns/O_ISAC_007,meta_json_toc,legacy_included_list,yes,yes,no,
O_ISAC_008,Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna,10.23919/OECC/PSC62146.2025.11111436,data/proc_markdowns/O_ISAC_008,meta_json_toc,legacy_included_list,yes,yes,no,
O_ISAC_009,Integrated Positioning and Communication Relying on Wireless Optical OFDM,10.1109/JSAC.2025.3543532,data/proc_markdowns/O_ISAC_009,meta_json_toc,legacy_included_list,yes,yes,no,
O_ISAC_010,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber,10.1109/ICWOC65853.2025.11150794,data/proc_markdowns/O_ISAC_010,meta_json_toc,legacy_included_list,yes,yes,no,
O_ISAC_011,Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments,10.1109/ACP/IPOC63121.2024.10809915,data/proc_markdowns/O_ISAC_011,meta_json_toc,legacy_included_list,yes,yes,no,
O_ISAC_012,Phase-Coded FMCW for Optical Integrated Sensing and Communication,10.1109/ACP/IPOC63121.2024.10809937,data/proc_markdowns/O_ISAC_012,meta_json_toc,legacy_included_list,yes,yes,no,
O_ISAC_013,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient,10.1109/JSEN.2025.3554542,data/proc_markdowns/O_ISAC_013,meta_json_toc,legacy_included_list,yes,yes,no,
