Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename
"Integrated Sensing and Communication with Reconfigurable Intelligent Surfaces: Opportunities, Applications, and Future Directions","Rang Liu, Ming Li, Honghao Luo, Qian Liu, A. L. Swindlehurst",10.1109/MWC.002.2200206,https://doi.org/10.1109/MWC.002.2200206,IEEE wireless communications,122,2022,-
Integrated Sensing and Communications With Reconfigurable Intelligent Surfaces: From signal modeling to processing,"S. Chepuri, Nir Shlezinger, F. Liu, G. C. Alexandropoulos, S. Buzzi, Y. Eldar",10.1109/MSP.2023.3279986,https://doi.org/10.1109/MSP.2023.3279986,IEEE Signal Processing Magazine,72,2022,-
RIS-assisted Integrated Sensing and Communications: A Subspace Rotation Approach: Invited Paper,"Xiao Meng, F. Liu, Shih-Jung Lu, S. Chepuri, C. Masouros",10.1109/RadarConf2351548.2023.10149664,https://doi.org/10.1109/RadarConf2351548.2023.10149664,International Radar Conference,24,2022,-
Joint Waveform and Phase Shift Design for RIS-Assisted Integrated Sensing and Communication Based on Mutual Information,Hongliang Zhang,10.1109/LCOMM.2022.3195062,https://doi.org/10.1109/LCOMM.2022.3195062,IEEE Communications Letters,52,2022,-
Passive Versus Active Reconfigurable Intelligent Surfaces for Integrated Sensing and Communication: Challenges and Opportunities,"Mohamed Rihan, Alessio Zappone, Stefano Buzzi, Gábor Fodor, M. Debbah",10.1109/MNET.2023.3321542,https://doi.org/10.1109/MNET.2023.3321542,IEEE Network,11,2024,-
"A Survey on Integrated Sensing and Communication with Intelligent Metasurfaces: Trends, Challenges, and Opportunities","Ahmed Magbool, Vaibhav Kumar, Qingqing Wu, M. D. Renzo, M. Flanagan",10.48550/arXiv.2401.15562,https://doi.org/10.48550/arXiv.2401.15562,arXiv.org,29,2024,-
Beamforming in Integrated Sensing and Communication Systems With Reconfigurable Intelligent Surfaces,"Student Member Ieee R.S. Prasobh Sankar, Member Ieee Sundeep Prabhakar Chepuri, F. I. Yonina C. Eldar",10.1109/TWC.2023.3313938,https://doi.org/10.1109/TWC.2023.3313938,IEEE Transactions on Wireless Communications,71,2022,-
RIS-Aided Integrated Sensing and Communication: Joint Beamforming and Reflection Design,"Honghao Luo, Rang Liu, Ming Li, Qian Liu",10.1109/TVT.2023.3248657,https://doi.org/10.1109/TVT.2023.3248657,IEEE Transactions on Vehicular Technology,55,2023,-
Joint Active and Passive Beamforming Design for Reconfigurable Intelligent Surface Enabled Integrated Sensing and Communication,"Zhe Xing, Rui Wang, Xiaojun Yuan",10.1109/TCOMM.2023.3244246,https://doi.org/10.1109/TCOMM.2023.3244246,IEEE Transactions on Communications,59,2022,-
Location Awareness in Beyond 5G Networks via Reconfigurable Intelligent Surfaces,"Ziyi Wang, Zhenyu Liu, Yuan Shen, A. Conti, M. Win",10.1109/jsac.2022.3155542,https://doi.org/10.1109/jsac.2022.3155542,IEEE Journal on Selected Areas in Communications,98,2022,-
Joint Beamforming Design for RIS-Assisted Integrated Sensing and Communication Systems,"H. Luo, Rang Liu, Ming Li, Yang Liu, Qian Liu",10.1109/TVT.2022.3197448,https://doi.org/10.1109/TVT.2022.3197448,IEEE Transactions on Vehicular Technology,104,2022,-
Toward STAR-RIS-Empowered Integrated Sensing and Communications: Joint Active and Passive Beamforming Design,"Zhipeng Liu, Xi Li, Hong Ji, Heli Zhang, Victor C. M. Leung",10.1109/TVT.2023.3294338,https://doi.org/10.1109/TVT.2023.3294338,IEEE Transactions on Vehicular Technology,41,2023,-
Integrated Sensing and Communication for RIS-Assisted Backscatter Systems,"Xinyi Wang, Zesong Fei, Qingqing Wu",10.1109/JIOT.2023.3262867,https://doi.org/10.1109/JIOT.2023.3262867,IEEE Internet of Things Journal,40,2023,-
Exploiting NOMA and RIS in Integrated Sensing and Communication,"Jia-kuo Zuo, Yuanwei Liu, Chenming Zhu, Yixuan Zou, Deng-yin Zhang, N. Al-Dhahir",10.1109/TVT.2023.3272036,https://doi.org/10.1109/TVT.2023.3272036,IEEE Transactions on Vehicular Technology,56,2022,-
Joint Transceiver Beamforming and Reflecting Design for Active RIS-Aided ISAC Systems,"Qi Zhu, Ming Li, Rang Liu, Qian Liu",10.1109/TVT.2023.3249752,https://doi.org/10.1109/TVT.2023.3249752,IEEE Transactions on Vehicular Technology,99,2023,-
SNR/CRB-Constrained Joint Beamforming and Reflection Designs for RIS-ISAC Systems,"Rang Liu, Ming Li, Qian Liu, A. L. Swindlehurst",10.1109/TWC.2023.3341429,https://doi.org/10.1109/TWC.2023.3341429,IEEE Transactions on Wireless Communications,63,2023,-
"Reconfigurable Intelligent Surfaces for 6G: Emerging Hardware Architectures, Applications, and Open Challenges","E. Başar, G. C. Alexandropoulos, Yuanwei Liu, Qingqing Wu, Shi Jin, Chau Yuen, O. Dobre, Robert Schober",10.1109/MVT.2024.3415570,https://doi.org/10.1109/MVT.2024.3415570,IEEE Vehicular Technology Magazine,49,2023,-
CRB Minimization for RIS-Aided mmWave Integrated Sensing and Communications,"Wanting Lyu, Songjie Yang, Yue Xiu, Ya Li, Hongjun He, Chau Yuen, Zhongpei Zhang",10.1109/JIOT.2024.3361939,https://doi.org/10.1109/JIOT.2024.3361939,IEEE Internet of Things Journal,32,2024,-
Active Reconfigurable Intelligent Surface-Assisted MISO Integrated Sensing and Communication Systems for Secure Operation,"A. A. Salem, Mahmoud H. Ismail, A. Ibrahim",10.1109/TVT.2022.3227319,https://doi.org/10.1109/TVT.2022.3227319,IEEE Transactions on Vehicular Technology,92,2023,-
Cramér-Rao Bound Optimization for Active RIS-Empowered ISAC Systems,"Qi Zhu, Ming Li, Rang Liu, Qian Liu",10.1109/TWC.2024.3384501,https://doi.org/10.1109/TWC.2024.3384501,IEEE Transactions on Wireless Communications,30,2023,-
A RIS-Based Vehicle DOA Estimation Method With Integrated Sensing and Communication System,"Zhimin Chen, Peng Chen, Ziyu Guo, Yudong Zhang, Xianbin Wang",10.1109/TITS.2023.3330172,https://doi.org/10.1109/TITS.2023.3330172,IEEE transactions on intelligent transportation systems (Print),42,2022,-
Beamforming in Hybrid RIS assisted Integrated Sensing and Communication Systems,"R. Sankar, S. Chepuri",10.48550/arXiv.2203.05902,https://doi.org/10.48550/arXiv.2203.05902,European Signal Processing Conference,49,2022,-
Joint Waveform and Beamforming Design for RIS-Aided ISAC Systems,"Kai Zhong, Jinfeng Hu, Cunhua Pan, Minglong Deng, Jun Fang",10.1109/LSP.2023.3242554,https://doi.org/10.1109/LSP.2023.3242554,IEEE Signal Processing Letters,102,2023,-
Joint Beamforming and Reflection Design for RIS-assisted ISAC Systems,"Rang Liu, Ming Li, A. L. Swindlehurst",10.23919/EUSIPCO55093.2022.9909807,https://doi.org/10.23919/EUSIPCO55093.2022.9909807,European Signal Processing Conference,57,2022,-
A reconfigurable intelligent surface with integrated sensing capability,"Idban Alamzadeh, G. C. Alexandropoulos, Nir Shlezinger, M. Imani",10.1038/s41598-021-99722-x,https://doi.org/10.1038/s41598-021-99722-x,Scientific Reports,115,2021,-
"Doubly-Dispersive MIMO Channels with Stacked Intelligent Metasurfaces: Modeling, Parametrization, and Receiver Design","Kuranage Roche Rayan Ranasinghe, Iván Alexander Morales Sandoval, Hyeon Seok Rou, Giuseppe Thadeu Freitas de Abreu, G. C. Alexandropoulos",-,-,-,4,2025,-
Optimizing Secure Multi-User ISAC Systems With STAR-RIS: A Deep Reinforcement Learning Approach for 6G Networks,"Mian Muhammad Kamal, Syed Zain Ul Abideen, M. Al-Khasawneh, Amerah A. Alabrah, Raja Sohail Ahmed Larik, M. I. Marwat",10.1109/ACCESS.2025.3542607,https://doi.org/10.1109/ACCESS.2025.3542607,IEEE Access,4,2025,-
Beamforming for STAR-RIS-Aided Integrated Sensing and Communication Using Meta DRL,"Y. Eghbali, Sajad Faramarzi, Shiva Kazemi Taskou, Mohammad Robat Mili, M. Rasti, Ekram Hossain",10.1109/LWC.2024.3350446,https://doi.org/10.1109/LWC.2024.3350446,IEEE Wireless Communications Letters,12,2024,-
Semi-Blind Receivers for Hybrid Reflecting and Sensing RIS,"Amarilton L. Magalhães, A. L. F. D. Almeida",-,-,-,0,2024,-
Joint Beamforming Design for Active RIS Aided Integrated Sensing and Communication System,"Yingwen Fang, Shouyi Yang",10.1109/ISCEIC63613.2024.10810158,https://doi.org/10.1109/ISCEIC63613.2024.10810158,2024 5th International Symposium on Computer Engineering and Intelligent Communications (ISCEIC),0,2024,-
Enhancing Robustness and Security in ISAC Network Design: Leveraging Transmissive Reconfigurable Intelligent Surface with RSMA,"Ziwei Liu, Wen Chen, Qing-Bin Wu, Zhendong Li, Xusheng Zhu, Qiong Wu, Nan Cheng",10.48550/arXiv.2407.06767,https://doi.org/10.48550/arXiv.2407.06767,IEEE Transactions on Communications,8,2024,-
