study_cluster_id,primary_report_id,primary_screening_record_id,title,year,venue,canonical_modality,validation_maturity_max,survey_use_status,eligible_report_count,eligible_report_lineage,independent_human_status
STC-ACO-OFDM-LFM-LIDAR-2025,RPT-SCR-01115-01,SCR-01115,Integrated Design of OFDM-LFM Lidar Communication in IoV Environment,2024,"2024 IEEE 12th International Conference on Information, Communication and Networks (ICICN)",FSO,4,survey_ready,1,RPT-SCR-01115-01 (SCR-01115; primary_source; primary_report),not_documented
STC-DP-IMDD-THZ-RANGING-2025-2026,RPT-SCR-00989-01,SCR-00989,310Gbps Transmission and Centimeter-Level Ranging Photonic THz ISAC System,2026,Journal of Lightwave Technology,photonic_THz,5,survey_ready,2,RPT-SCR-00989-01 (SCR-00989; primary_source; journal_version); RPT-SCR-00933-01 (SCR-00933; supplementary_source; conference_version),not_documented
STC-DSCM-ANN-DT-ECL-2025-2026,RPT-SCR-01185-01,SCR-01185,Machine-learning-enhanced phase-based vibration sensing in coherent DSCM systems under commercial ECLs,2026,Science China Information Sciences,fiber,4,survey_ready,2,RPT-SCR-01185-01 (SCR-01185; primary_source; journal_version); RPT-SCR-00722-01 (SCR-00722; supplementary_source; conference_version),not_documented
STC-EADO-OFDM-RANGING-2024-2025,RPT-SCR-00956-01,SCR-00956,Optical Wireless Integrated Sensing and Communication Based on EADO-OFDM: A Flexible Resource Allocation Perspective,2025,IEEE Transactions on Wireless Communications,FSO,2,survey_ready,2,RPT-SCR-00956-01 (SCR-00956; primary_source; journal_version); RPT-SCR-00955-01 (SCR-00955; supplementary_source; conference_version),not_documented
STC-ENDOGENOUS-TS-FRFT-DAS-2025,RPT-SCR-00072-01,SCR-00072,Endogenous integration of communication and interference fading free sensing using telecom pilots via joint polarization-fraction domain multiplexing,2025,Optics Express,fiber,4,survey_ready,2,RPT-SCR-00072-01 (SCR-00072; primary_source; canonical_journal_report); RPT-SCR-00099-01 (SCR-00099; supplementary_source; conference_companion_report),not_documented
STC-FRDM-POLARIZATION-SENSING-2025-2026,RPT-SCR-00220-01,SCR-00220,Integrated Communication and In-Band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access,2026,Journal of Lightwave Technology,fiber,4,survey_ready,2,RPT-SCR-00220-01 (SCR-00220; primary_source; canonical_journal_report); RPT-SCR-00592-01 (SCR-00592; supplementary_source; conference_companion_report),not_documented
STC-ICP-RL-HLLB-3650KM-2024-2025,RPT-SCR-01100-01,SCR-01100,Simultaneous Transmission and Sensing Emulation Using Interconnected Counter-Propagating Recirculating Loops,2025,2025 European Conference on Optical Communications (ECOC),fiber,4,survey_ready,1,RPT-SCR-01100-01 (SCR-01100; primary_source; companion_report),not_documented
STC-III-NITRIDE-MOTION-VLC-2023,RPT-SCR-00763-01,SCR-00763,Integrated Sensing and Communication Chip Based on III-Nitride for Motion Detection,2023,ACS Omega,VLC_LiFi,5,survey_ready_with_claim_restrictions,2,RPT-SCR-00763-01 (SCR-00763; primary_source; primary_report); RPT-SCR-00619-01 (SCR-00619; supplementary_source; companion_report),not_documented
STC-LED-OISAC-2024-2025,RPT-SCR-00901-01,SCR-00901,Optical Integrated Sensing and Communication With Light-Emitting Diode,2025,IEEE Internet of Things Journal,VLC_LiFi,2,survey_ready,1,RPT-SCR-00901-01 (SCR-00901; primary_source; journal_version),not_documented
STC-MMW-OFDM-PENG-2023-2024,RPT-SCR-00889-01,SCR-00889,Photonics-assisted integrated sensing and communication with ranging resolution improvement by multiple signal classification,2024,Optics Express,photonic_THz,4,survey_ready,2,RPT-SCR-00889-01 (SCR-00889; primary_source; journal_version); RPT-SCR-00900-01 (SCR-00900; supplementary_source; conference_version),not_documented
