metric_record_id,study_id,source_screening_record_id,source_locator,raw_comparability,raw_admissibility,resolved_comparability,resolved_admissibility,resolution_reason
MET-B20-SCR00001-001,STC-SINGLETON-SCR-00001,SCR-00001,pdf_page=3; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2c,,,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction
MET-B20-SCR00001-002,STC-SINGLETON-SCR-00001,SCR-00001,pdf_page=4; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2d,,,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction
MET-B20-SCR00001-003,STC-SINGLETON-SCR-00001,SCR-00001,pdf_page=4; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2e,,,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction
MET-B20-SCR00001-004,STC-SINGLETON-SCR-00001,SCR-00001,pdf_page=5; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2h-i; equation_id=Equation 5,,,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction
MET-B20-SCR00001-005,STC-SINGLETON-SCR-00001,SCR-00001,pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3a,,,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction
MET-B20-SCR00001-006,STC-SINGLETON-SCR-00001,SCR-00001,pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3b,,,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction
MET-B20-SCR00001-007,STC-SINGLETON-SCR-00001,SCR-00001,pdf_page=6; section_heading=4. Device Architecture and Optoelectronic Performance; figure_id=Figure 4e,,,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction
MET-B20-SCR00001-008,STC-SINGLETON-SCR-00001,SCR-00001,pdf_page=7; section_heading=5. Applications of Flexible O-ISAC System; figure_id=Figure 5d,,,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction
MET-B20-SCR00001-009,STC-SINGLETON-SCR-00001,SCR-00001,pdf_page=6;8; section_heading=4. Device Architecture; 6. Conclusion,,,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction
MET-B20-SCR00002-001,STC-SINGLETON-SCR-00002,SCR-00002,pdf_page=4; section_heading=2. Results and Discussion; figure_id=Figure 3,,,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction,insufficient_information_due_legacy_extraction
