field,raw_value,raw_study_frequency,normalized_values,mapping_mode,audit_bucket,unresolved_fragments,blocking_for_current_synthesis
integration_mechanism_codes,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|joint_design_or_optimization,7,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|joint_design_or_optimization,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|shared_resource_allocation|joint_design_or_optimization,4,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|shared_resource_allocation|joint_design_or_optimization,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_waveform|shared_hardware|shared_optical_carrier|shared_resource_allocation|joint_design_or_optimization,4,shared_waveform|shared_hardware|shared_optical_carrier|shared_resource_allocation|joint_design_or_optimization,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_hardware|shared_application_scenario,3,shared_hardware|shared_application_scenario,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_hardware|shared_waveform|shared_link_or_channel|shared_resource_allocation,3,shared_waveform|shared_hardware|shared_link_or_channel|shared_resource_allocation,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_waveform|shared_hardware|shared_resource_allocation|joint_design_or_optimization,3,shared_waveform|shared_hardware|shared_resource_allocation|joint_design_or_optimization,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_hardware|shared_application_scenario|joint_design_or_optimization,2,shared_hardware|joint_design_or_optimization|shared_application_scenario,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_hardware|shared_link_or_channel|joint_design_or_optimization|shared_application_scenario,2,shared_hardware|shared_link_or_channel|joint_design_or_optimization|shared_application_scenario,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_hardware|shared_link_or_channel|shared_application_scenario,2,shared_hardware|shared_link_or_channel|shared_application_scenario,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_hardware|shared_optical_carrier|shared_link_or_channel|shared_resource_allocation|joint_design_or_optimization,2,shared_hardware|shared_optical_carrier|shared_link_or_channel|shared_resource_allocation|joint_design_or_optimization,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_hardware|shared_resource_allocation|joint_design_or_optimization|shared_application_scenario,2,shared_hardware|shared_resource_allocation|joint_design_or_optimization|shared_application_scenario,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_hardware|shared_waveform|shared_resource_allocation,2,shared_waveform|shared_hardware|shared_resource_allocation,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_link_or_channel|shared_resource_allocation,2,shared_link_or_channel|shared_resource_allocation,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|joint_design_or_optimization|shared_application_scenario,2,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|joint_design_or_optimization|shared_application_scenario,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|shared_application_scenario,2,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|shared_application_scenario,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|shared_resource_allocation|joint_design_or_optimization|shared_application_scenario,2,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|shared_resource_allocation|joint_design_or_optimization|shared_application_scenario,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_waveform|shared_link_or_channel|shared_resource_allocation,2,shared_waveform|shared_link_or_channel|shared_resource_allocation,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,shared_waveform|shared_optical_carrier|shared_link_or_channel|shared_hardware,2,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel,controlled_exact,controlled_or_fully_mapped,,no
integration_mechanism_codes,ACO_OFDM_LFM_integrated_waveform|shared_VCSEL_APD_front_end|odd_subcarrier_4QAM_mapping|LFM_matched_filter_ranging|Gamma_Gamma_channel,1,shared_waveform|shared_hardware|shared_resource_allocation,keyword_normalized,mapped_with_fine_grained_long_tail_preserved,odd_subcarrier_4QAM_mapping|LFM_matched_filter_ranging|Gamma_Gamma_channel,no
integration_mechanism_codes,CEO_OFDM|IM_DD|cyclic_prefix_autocorrelation|communication_signal_reuse|pilot_free_passive_sensing|TOA|TDOA|distance_estimation|relative_velocity_estimation|CRLB,1,shared_waveform|shared_resource_allocation,keyword_normalized,mapped_with_fine_grained_long_tail_preserved,IM_DD|cyclic_prefix_autocorrelation|pilot_free_passive_sensing|TOA|TDOA|distance_estimation|relative_velocity_estimation|CRLB,no
integration_mechanism_codes,DSCM_frequency_domain_pilot_tones|shared_forward_communication_signal|pilot_based_phase_extraction|dispersion_phase_non_reciprocity|single_coherent_receiver|Levenberg_Marquardt_localization,1,shared_waveform|shared_hardware|shared_resource_allocation,keyword_normalized,mapped_with_fine_grained_long_tail_preserved,pilot_based_phase_extraction|dispersion_phase_non_reciprocity|Levenberg_Marquardt_localization,no
integration_mechanism_codes,DWDM_adjacent_channel_coexistence|counter_propagating_sensing_and_communication|dual_heterodyne_BOTDR_DAS|Brillouin_Rayleigh_backscatter|shared_fiber_OTN,1,shared_link_or_channel|shared_resource_allocation|shared_application_scenario,keyword_normalized,mapped_with_fine_grained_long_tail_preserved,counter_propagating_sensing_and_communication|dual_heterodyne_BOTDR_DAS|Brillouin_Rayleigh_backscatter,no
