restriction_dimension,category,count,denominator,percent
study_survey_use_status,survey_ready,175,206,85.0
study_survey_use_status,survey_ready_with_claim_restrictions,31,206,15.0
adjudication_tier,historical_extraction_reviewed,25,206,12.1
adjudication_tier,machine_resolved_by_survey_rule,49,206,23.8
adjudication_tier,source_audited_no_elevated_issue,88,206,42.7
adjudication_tier,source_author_required_for_exact_claim,28,206,13.6
adjudication_tier,targeted_pdf_resolved,16,206,7.8
independent_human_status,not_documented,206,206,100.0
claim_restriction,quarantined_conflict_excluded,72,8306,0.9
claim_restriction,context_only_excluded_from_primary_synthesis,31,8234,0.4
claim_restriction,conditional_inclusive_nonquarantined_subset,1532,8234,18.6
claim_restriction,conditional_primary_synthesis_subset,1505,8203,18.3
