category,claim_count,unique_study_count,percent_of_206_studies,conditional_claim_count,eligible_quantitative_claim_count,eligible_qualitative_claim_count,context_only_claim_count
sensing,1816,203,98.5,505,1816,0,0
communication,1328,194,94.2,296,1328,0,0
joint,870,158,76.7,260,870,0,0
implementation,476,64,31.1,28,476,0,0
system,104,11,5.3,0,104,0,0
energy,25,5,2.4,23,25,0,0
scenario,12,5,2.4,0,12,0,0
waveform,11,5,2.4,4,11,0,0
channel,9,4,1.9,0,9,0,0
tradeoff,5,4,1.9,3,5,0,0
illumination,9,3,1.5,1,9,0,0
optical,8,3,1.5,0,8,0,0
resource,5,3,1.5,0,5,0,0
security,40,2,1.0,0,40,0,0
machine_learning,31,2,1.0,0,31,0,0
component,8,2,1.0,8,8,0,0
network,2,2,1.0,0,2,0,0
simulation,2,2,1.0,0,2,0,0
power_transfer,4,1,0.5,0,4,0,0
algorithm,3,1,0.5,3,3,0,0
control,3,1,0.5,0,3,0,0
mobility,2,1,0.5,0,2,0,0
operations,2,1,0.5,0,2,0,0
baseline,1,1,0.5,1,1,0,0
optimization,1,1,0.5,0,1,0,0
processing,1,1,0.5,0,1,0,0
resource_performance,1,1,0.5,0,1,0,0
