category,claim_count,unique_study_count,percent_of_206_studies,conditional_claim_count,eligible_quantitative_claim_count,eligible_qualitative_claim_count,context_only_claim_count
data_rate,124,85,41.3,44,124,0,0
BER,108,60,29.1,33,108,0,0
range_resolution,73,50,24.3,15,73,0,0
other,154,40,19.4,80,154,0,0
wireless_distance,31,30,14.6,3,31,0,0
carrier_frequency,40,27,13.1,10,40,0,0
laser_linewidth,28,25,12.1,9,28,0,0
symbol_rate,24,21,10.2,8,24,0,0
SNR,39,19,9.2,19,39,0,0
bandwidth,27,18,8.7,15,27,0,0
AWG_sampling_rate,18,18,8.7,3,18,0,0
resolution,27,16,7.8,19,27,0,0
modulation_order,17,16,7.8,3,17,0,0
sampling_rate,23,15,7.3,5,23,0,0
fiber_length,15,15,7.3,1,15,0,0
EVM,51,14,6.8,11,51,0,0
range_error,38,13,6.3,15,38,0,0
propagation_distance,15,13,6.3,8,15,0,0
spatial_resolution,15,13,6.3,2,15,0,0
theoretical_range_resolution,13,13,6.3,0,13,0,0
PSLR,24,12,5.8,6,24,0,0
vibration_frequency,15,12,5.8,2,15,0,0
subcarrier_count,12,12,5.8,2,12,0,0
localization_error,24,11,5.3,11,24,0,0
fiber_distance,12,11,5.3,9,12,0,0
laser_power,11,11,5.3,3,11,0,0
wavelength,11,11,5.3,5,11,0,0
sensing_SNR,33,10,4.9,15,33,0,0
estimation_error,24,10,4.9,16,24,0,0
optical_wavelength,11,10,4.9,1,11,0,0
oscilloscope_sampling_rate,11,10,4.9,1,11,0,0
room_dimensions,10,10,4.9,2,10,0,0
target_range,11,9,4.4,2,11,0,0
laser_wavelength,9,9,4.4,0,9,0,0
range_accuracy,12,8,3.9,3,12,0,0
subcarrier_spacing,12,8,3.9,6,12,0,0
antenna_gain,9,8,3.9,3,9,0,0
spectral_efficiency,8,8,3.9,4,8,0,0
link_budget,12,7,3.4,6,12,0,0
sensitivity,11,7,3.4,8,11,0,0
coverage,10,7,3.4,2,10,0,0
FEC_threshold,9,7,3.4,5,9,0,0
waveform_bandwidth,9,7,3.4,0,9,0,0
THz_carrier_frequency,8,7,3.4,0,8,0,0
net_data_rate,8,7,3.4,1,8,0,0
LFM_bandwidth,7,7,3.4,1,7,0,0
transmission_distance,7,7,3.4,1,7,0,0
ranging_error,14,6,2.9,4,14,0,0
data_subcarriers,8,6,2.9,3,8,0,0
photodiode_bandwidth,7,6,2.9,3,7,0,0
pulse_duration,7,6,2.9,3,7,0,0
symbol_duration,7,6,2.9,3,7,0,0
ADC_sampling_rate,6,6,2.9,3,6,0,0
FFT_size,6,6,2.9,2,6,0,0
OFDM_bandwidth,6,6,2.9,0,6,0,0
cyclic_prefix,6,6,2.9,0,6,0,0
cyclic_prefix_length,6,6,2.9,0,6,0,0
learning_rate,6,6,2.9,3,6,0,0
pulse_width,6,6,2.9,0,6,0,0
ranging_resolution,6,6,2.9,2,6,0,0
received_optical_power,6,6,2.9,3,6,0,0
OSNR,13,5,2.4,2,13,0,0
target_separation,9,5,2.4,4,9,0,0
target_distance,8,5,2.4,4,8,0,0
IFFT_size,6,5,2.4,2,6,0,0
receiver_bandwidth,6,5,2.4,4,6,0,0
vibration_position,6,5,2.4,0,6,0,0
PRBS_length,5,5,2.4,1,5,0,0
clipping_ratio,5,5,2.4,2,5,0,0
drive_voltage,5,5,2.4,2,5,0,0
fiber_attenuation,5,5,2.4,2,5,0,0
latency,5,5,2.4,1,5,0,0
optical_carrier_frequency,5,5,2.4,1,5,0,0
optical_power,5,5,2.4,1,5,0,0
strain_sensitivity,5,5,2.4,0,5,0,0
upsampling_ratio,5,5,2.4,3,5,0,0
classification_accuracy,10,4,1.9,4,10,0,0
frequency,8,4,1.9,5,8,0,0
receiver_sensitivity_gain,7,4,1.9,0,7,0,0
FMCW_bandwidth,6,4,1.9,5,6,0,0
intermediate_frequency,6,4,1.9,1,6,0,0
maximum_unambiguous_range,6,4,1.9,0,6,0,0
occupied_bandwidth,6,4,1.9,5,6,0,0
ranging_RMSE,6,4,1.9,2,6,0,0
transmit_power,6,4,1.9,6,6,0,0
BER_threshold,5,4,1.9,0,5,0,0
DSO_sampling_rate,5,4,1.9,2,5,0,0
SD_FEC_threshold,5,4,1.9,0,5,0,0
gross_data_rate,5,4,1.9,0,5,0,0
laser_frequency,5,4,1.9,3,5,0,0
link_distance,5,4,1.9,2,5,0,0
modulation,5,4,1.9,1,5,0,0
optimal_launch_power,5,4,1.9,2,5,0,0
sensing_rate,5,4,1.9,3,5,0,0
target_velocity,5,4,1.9,2,5,0,0
FEC_BER_threshold,4,4,1.9,2,4,0,0
FEC_overhead,4,4,1.9,0,4,0,0
HD_FEC_threshold,4,4,1.9,0,4,0,0
atmospheric_attenuation,4,4,1.9,0,4,0,0
beam_divergence,4,4,1.9,1,4,0,0
maximum_data_rate,4,4,1.9,0,4,0,0
noise_variance,4,4,1.9,3,4,0,0
phase_noise,4,4,1.9,1,4,0,0
photodiode_responsivity,4,4,1.9,0,4,0,0
reference_distance,4,4,1.9,0,4,0,0
sample_count,4,4,1.9,2,4,0,0
signal_bandwidth,4,4,1.9,0,4,0,0
sweep_period,4,4,1.9,1,4,0,0
user_count,4,4,1.9,2,4,0,0
peak_sidelobe_ratio,9,3,1.5,3,9,0,0
range_estimate,8,3,1.5,0,8,0,0
NGMI,6,3,1.5,3,6,0,0
dataset_size,5,3,1.5,1,5,0,0
power_penalty,5,3,1.5,1,5,0,0
DC_bias,4,3,1.5,3,4,0,0
PSLR_gain,4,3,1.5,0,4,0,0
Rytov_variance,4,3,1.5,1,4,0,0
SNR_penalty,4,3,1.5,0,4,0,0
batch_size,4,3,1.5,0,4,0,0
baud_rate,4,3,1.5,0,4,0,0
data_rate_range,4,3,1.5,1,4,0,0
line_rate,4,3,1.5,0,4,0,0
linearity,4,3,1.5,3,4,0,0
noise_floor,4,3,1.5,1,4,0,0
radar_bandwidth,4,3,1.5,2,4,0,0
strain_resolution,4,3,1.5,1,4,0,0
total_bandwidth,4,3,1.5,0,4,0,0
AWG_bandwidth,3,3,1.5,1,3,0,0
IQ_modulator_bandwidth,3,3,1.5,0,3,0,0
LFM_duration,3,3,1.5,1,3,0,0
LNA_gain,3,3,1.5,0,3,0,0
Monte_Carlo_trials,3,3,1.5,1,3,0,0
SNR_gain,3,3,1.5,1,3,0,0
acquisition_time,3,3,1.5,1,3,0,0
capacity_resolution_quotient,3,3,1.5,0,3,0,0
convergence_iterations,3,3,1.5,0,3,0,0
cross_range_resolution,3,3,1.5,2,3,0,0
data_subcarrier_count,3,3,1.5,1,3,0,0
dechirped_frequency,3,3,1.5,0,3,0,0
field_of_view,3,3,1.5,0,3,0,0
guard_band,3,3,1.5,1,3,0,0
guard_interval,3,3,1.5,2,3,0,0
initial_learning_rate,3,3,1.5,1,3,0,0
laser_switching_time,3,3,1.5,0,3,0,0
