category,claim_count,unique_study_count,percent_of_206_studies,conditional_claim_count,eligible_quantitative_claim_count,eligible_qualitative_claim_count,context_only_claim_count
bandwidth_spectrum_or_resource_allocation,95,71,34.5,90,50,45,0
power_energy_or_dynamic_range,90,64,31.1,81,50,40,0
communication_reliability_vs_sensing_quality,59,48,23.3,55,37,22,0
rate_resolution,46,39,18.9,41,26,20,0
rate_accuracy_or_localization,40,33,16.0,39,22,18,0
waveform_hardware_or_complexity,21,20,9.7,21,6,15,0
rate_range_or_coverage,21,16,7.8,18,10,11,0
other_joint_tradeoff,19,15,7.3,18,14,5,0
qualitative_or_partial_general,11,9,4.4,8,2,9,0
security_or_resilience_tradeoff,1,1,0.5,1,1,0,0
synergy_or_non_antagonistic_coupling,1,1,0.5,1,0,1,0
